force_type	primary_slot_template	primary_slot_type	secondary_slot_template	secondary_slot_type	slot_cap
#military_force_type_horde_details_tables;1;db/military_force_type_horde_details_tables/data__					
CHARACTER_BOUND_HORDE	horde_primary	horde_primary	horde_secondary	horde_secondary	10
HORDE	horde_primary	horde_primary	horde_secondary	horde_secondary	10
HORDE_KHAZRAK	horde_primary	horde_primary	horde_secondary	horde_secondary	10
HORDE_MALAGOR	horde_primary	horde_primary	horde_secondary	horde_secondary	10
HORDE_MORGHUR	horde_primary	horde_primary	horde_secondary	horde_secondary	10
HORDE_TAUROX	horde_primary	horde_primary	horde_secondary	horde_secondary	10
MALAKAI_BOUND_HORDE	horde_primary	horde_primary	horde_secondary	horde_secondary	10
NAKAI_BOUND_HORDE	nakai_horde_primary	horde_primary	nakai_horde_secondary	horde_secondary	10
NAVAL_HORDE	horde_primary	horde_primary	horde_secondary	horde_secondary	10
OGRE_CAMP	horde_primary	horde_primary	horde_secondary	horde_secondary	10
SEA_LOCKED_HORDE	horde_primary	horde_primary	horde_secondary	horde_secondary	10
SPECIALIST_HORDE	horde_primary	horde_primary	horde_secondary	horde_secondary	10
