key	offset	slope
#unit_quality_progression_functions_tables;0;db/unit_quality_progression_functions_tables/data__		
chaff_units_1_value	1.0000	0.0000
chaff_units_2_value	2.0000	0.0000
characters_only	80.0000	0.0000
tier_1_rors	5.0000	0.0400
tier_1_step_1_units	0.0000	0.0200
tier_1_step_2_units	1.0000	0.0200
tier_1_step_3_units	3.0000	0.0200
tier_1_step_4_units	6.0000	0.0200
tier_1_step_5_units	9.0000	0.0200
tier_2_rors	10.0000	0.0600
tier_2_step_1_units	12.0000	0.0300
tier_2_step_2_units	16.0000	0.0300
tier_2_step_3_units	20.0000	0.0300
tier_2_step_4_units	24.0000	0.0300
tier_2_step_5_units	28.0000	0.0300
tier_3_rors	15.0000	0.0700
tier_3_step_1_units	23.0000	0.0400
tier_3_step_2_units	28.0000	0.0400
tier_3_step_3_units	33.0000	0.0400
tier_3_step_4_units	38.0000	0.0400
tier_3_step_5_units	43.0000	0.0400
tier_4_rors	20.0000	0.0700
tier_4_step_1_units	48.0000	0.0400
tier_4_step_2_units	53.0000	0.0400
tier_4_step_3_units	58.0000	0.0400
tier_4_step_4_units	63.0000	0.0400
tier_4_step_5_units	68.0000	0.0400
tier_5_rors	104.0000	0.0300
tier_5_units	94.0000	0.0200
