key	value
#custom_battle_settings_tables;0;db/custom_battle_settings_tables/data__	
ai_level_easy	1.0000
ai_level_hard	-1.0000
ai_level_normal	0.0000
ai_level_very_hard	-2.0000
escalation_level_0	0.0000
escalation_level_1	7.0000
escalation_level_2	8.0000
filter_all_funds	-3.0000
funds_custom	5.0000
funds_large	2.0000
settlement_level_1	3.0000
settlement_level_2	4.0000
settlement_level_3	5.0000
settlement_level_4	6.0000
time_limit_long	3600.0000
time_limit_medium	2400.0000
time_limit_short	1200.0000
time_limit_unlimited	-1.0000
time_of_day_day	0.0000
time_of_day_night	1.0000
unit_scale_large	2.0000
unit_scale_normal	1.0000
unit_scale_small	0.0000
unit_scale_ultra	3.0000
