domain_variable	domain_variable_set	value
#cai_domain_variable_set_junctions_tables;0;db/cai_domain_variable_set_junctions_tables/data__		
when_root_include_unknown_items	wh3_domain_variable_set_include_unknown_items	true
modifier_plague_recipe	wh3_domain_variable_set_nurgle_plague_recipe_ague	wh3_plague_recipe_base_ague
modifier_plague_recipe	wh3_domain_variable_set_nurgle_plague_recipe_buboes	wh3_plague_recipe_base_buboes
modifier_plague_recipe	wh3_domain_variable_set_nurgle_plague_recipe_pox	wh3_plague_recipe_base_pox
modifier_plague_recipe	wh3_domain_variable_set_nurgle_plague_recipe_rot	wh3_plague_recipe_base_rot
modifier_region_range	wh3_domain_variable_set_region_range_2	2
modifier_region_range	wh3_domain_variable_set_region_range_3	3
modifier_point_of_interest_type	wh3_domain_variable_set_rift	WH3_RIFT_NETWORK
modifier_teleportation_network	wh3_domain_variable_set_teleportation_networks_dlc20	wh3_dlc20_teleportation_network_chaos
modifier_teleportation_network	wh3_domain_variable_set_teleportation_networks_main	wh3_main_teleportation_network_chaos
