diplomatic_stance	faction_set	faction_set_relation_with	campaign_effect_list
#diplomatic_relationship_effects_tables;0;db/diplomatic_relationship_effects_tables/data__			
vassal	all	faction_set_azazel	wh3_dlc20_diplomacy_effect_azazel_to_vassal
vassal	all	faction_set_festus	wh3_dlc20_diplomacy_effect_festus_to_vassal
vassal	all	faction_set_sigvald	wh3_dlc20_diplomacy_effect_azazel_to_vassal
vassal	all	faction_set_valkia	wh3_dlc20_diplomacy_effect_valkia_to_vassal
vassal	all	faction_set_vilitch	wh3_dlc20_diplomacy_effect_vilitch_to_vassal
vassal	all	slaaneshi_factions	wh3_main_effect_vassal_of_slaanesh
master	archaon	all	wh3_dlc20_archaon_vassal_bonus
defensive_allies	faction_set_karl_franz	all	wh3_dlc25_karl_alliance_bonus
military_allies	faction_set_karl_franz	all	wh3_dlc25_karl_alliance_bonus
master	kholek	all	wh3_dlc20_kholek_vassal_bonus
war	orion	all	wh3_main_effect_orion_war_bonus
master	wh3_dlc27_sla_dechala	all	wh3_dlc27_dechala_master_bonus
