ancillary_key	set_key
#ancillary_set_ancillary_junctions_tables;0;db/ancillary_set_ancillary_junctions_tables/data__	
wh2_dlc09_anc_arcane_item_staff_of_nagash	wh3_main_ancillary_set_tmb_arkhan
wh2_dlc09_anc_enchanted_item_the_crown_of_nehekhara	wh3_main_ancillary_set_tmb_settra
wh2_dlc09_anc_weapon_the_blessed_blade_of_ptra	wh3_main_ancillary_set_tmb_settra
wh2_dlc09_anc_weapon_the_tomb_blade_of_arkhan	wh3_main_ancillary_set_tmb_arkhan
wh2_dlc10_anc_arcane_item_stave_of_avelorn	wh3_main_ancillary_set_hef_alarielle
wh2_dlc10_anc_enchanted_item_star_of_avelorn	wh3_main_ancillary_set_hef_alarielle
wh2_dlc10_anc_enchanted_item_the_shadow_crown	wh3_main_ancillary_set_hef_alith_anar
wh2_dlc10_anc_talisman_amulet_of_dark_fire	wh3_main_ancillary_set_def_crone_hellebron
wh2_dlc10_anc_talisman_shieldstone_of_isha	wh3_main_ancillary_set_hef_alarielle
wh2_dlc10_anc_talisman_stone_of_midnight	wh3_main_ancillary_set_hef_alith_anar
wh2_dlc10_anc_weapon_deathsword_and_the_cursed_blade	wh3_main_ancillary_set_def_crone_hellebron
wh2_dlc10_anc_weapon_moonbow	wh3_main_ancillary_set_hef_alith_anar
wh2_dlc11_anc_weapon_red_blades	wh3_main_ancillary_set_def_lokhir
wh2_dlc12_anc_armour_brt_armour_of_brilliance	wh3_main_ancillary_set_brt_louen_leoncouer
wh2_dlc12_anc_armour_iron_frame	wh3_main_ancillary_set_skv_ikit_claw
wh2_dlc12_anc_enchanted_item_brt_braid_of_bordeleaux	wh3_main_ancillary_set_brt_alberic
wh2_dlc12_anc_enchanted_item_mask_of_heavens	wh3_main_ancillary_set_lzd_tiktaqto
wh2_dlc12_anc_enchanted_item_plaque_of_sotek	wh3_main_ancillary_set_lzd_tehenhauin
wh2_dlc12_anc_weapon_blade_of_the_serpents_tongue	wh3_main_ancillary_set_lzd_tehenhauin
wh2_dlc12_anc_weapon_storm_daemon	wh3_main_ancillary_set_skv_ikit_claw
wh2_dlc12_anc_weapon_the_blade_of_ancient_skies	wh3_main_ancillary_set_lzd_tiktaqto
wh2_dlc13_anc_armour_the_shield_of_aeons	wh3_main_ancillary_set_lzd_gor_rok
wh2_dlc13_anc_enchanted_item_golden_tributes	wh3_main_ancillary_set_lzd_nakai
wh2_dlc13_anc_weapon_mace_of_ulumak	wh3_main_ancillary_set_lzd_gor_rok
wh2_dlc13_talisman_the_ogham_shard	wh3_main_ancillary_set_lzd_nakai
wh2_dlc14_anc_armour_the_cloak_of_shadows	wh3_main_ancillary_set_skv_deathmaster_snikch
wh2_dlc14_anc_weapon_whirl_of_weeping_blades	wh3_main_ancillary_set_skv_deathmaster_snikch
wh2_dlc15_anc_armour_armour_of_caledor	wh3_main_ancillary_set_hef_imrik
wh2_dlc15_anc_armour_helm_of_yvresse	wh3_main_ancillary_set_hef_eltharion
wh2_dlc15_anc_enchanted_item_lucky_banner	wh3_main_ancillary_set_grn_grom_the_paunch
wh2_dlc15_anc_talisman_talisman_of_hoeth	wh3_main_ancillary_set_hef_eltharion
wh2_dlc15_anc_weapon_axe_of_grom	wh3_main_ancillary_set_grn_grom_the_paunch
wh2_dlc15_anc_weapon_fangsword_of_eltharion	wh3_main_ancillary_set_hef_eltharion
wh2_dlc15_anc_weapon_star_lance	wh3_main_ancillary_set_hef_imrik
wh2_dlc16_anc_enchanted_item_whip_of_domination	wh3_main_ancillary_set_skv_throt_the_unclean
wh2_dlc16_anc_weapon_creature_killer	wh3_main_ancillary_set_skv_throt_the_unclean
wh2_dlc17_anc_armour_thoreks_rune_armour	wh3_main_ancillary_set_dwf_thorek
wh2_dlc17_anc_weapon_klad_brakak	wh3_main_ancillary_set_dwf_thorek
wh2_main_anc_arcane_item_circlet_of_iron	wh3_main_ancillary_set_def_malekith
wh2_main_anc_arcane_item_moon_staff_of_lileath	wh3_main_ancillary_set_hef_teclis
wh2_main_anc_arcane_item_the_liber_bubonicus	wh3_main_ancillary_set_skv_lord_skrolk
wh2_main_anc_arcane_item_wand_of_the_kharaidon	wh3_main_ancillary_set_def_morathi
wh2_main_anc_armour_armour_of_midnight	wh3_main_ancillary_set_def_malekith
wh2_main_anc_armour_dragon_armour_of_aenarion	wh3_main_ancillary_set_hef_tyrion
wh2_main_anc_armour_helm_of_the_kraken	wh3_main_ancillary_set_def_lokhir
wh2_main_anc_armour_war_crown_of_saphery	wh3_main_ancillary_set_hef_teclis
wh2_main_anc_armour_warp_shard_armour	wh3_main_ancillary_set_skv_queek_headtaker
wh2_main_anc_enchanted_item_hand_of_gods	wh3_main_ancillary_set_lzd_kroq_gar
wh2_main_anc_enchanted_item_heart_of_avelorn	wh3_main_ancillary_set_hef_tyrion
wh2_main_anc_enchanted_item_scroll_of_hoeth	wh3_main_ancillary_set_hef_teclis
wh2_main_anc_enchanted_item_supreme_spellshield	wh3_main_ancillary_set_def_malekith
wh2_main_anc_magic_standard_sunburst_standard_of_hexoatl	wh3_main_ancillary_set_lzd_lord_mazdamundi
wh2_main_anc_talisman_amber_amulet	wh3_main_ancillary_set_def_morathi
wh2_main_anc_weapon_cobra_mace_of_mazdamundi	wh3_main_ancillary_set_lzd_lord_mazdamundi
wh2_main_anc_weapon_destroyer	wh3_main_ancillary_set_def_malekith
wh2_main_anc_weapon_dwarf_gouger	wh3_main_ancillary_set_skv_queek_headtaker
wh2_main_anc_weapon_heartrender_and_the_darksword	wh3_main_ancillary_set_def_morathi
wh2_main_anc_weapon_revered_spear_of_tlanxla	wh3_main_ancillary_set_lzd_kroq_gar
wh2_main_anc_weapon_rod_of_corruption	wh3_main_ancillary_set_skv_lord_skrolk
wh2_main_anc_weapon_sunfang	wh3_main_ancillary_set_hef_tyrion
wh2_main_anc_weapon_sword_of_teclis	wh3_main_ancillary_set_hef_teclis
wh2_twa03_anc_armour_beast_armour_of_karond_kar	wh3_main_ancillary_set_def_rakarth
wh2_twa03_anc_weapon_whip_of_agony	wh3_main_ancillary_set_def_rakarth
wh3_dlc20_anc_armour_the_scarlet_armour	wh3_dlc20_ancillary_set_chs_valkia
wh3_dlc20_anc_enchanted_item_daemonshield	wh3_dlc20_ancillary_set_chs_valkia
wh3_dlc20_anc_weapon_the_spear_slaupnir	wh3_dlc20_ancillary_set_chs_valkia
wh3_dlc23_anc_arcane_item_daemonspite_crucible	wh3_dlc23_ancillary_set_chd_drazhoath
wh3_dlc23_anc_armour_armour_of_bazherak_the_cruel	wh3_dlc23_ancillary_set_chd_bazheraks_doom
wh3_dlc23_anc_armour_chd_armour_of_gazrakh	wh3_dlc23_ancillary_set_chd_zhatan
wh3_dlc23_anc_enchanted_item_chd_chaos_runeshield	wh3_dlc23_ancillary_set_chd_zhatan
wh3_dlc23_anc_enchanted_item_gauntlets_of_bazherak_the_cruel	wh3_dlc23_ancillary_set_chd_bazheraks_doom
wh3_dlc23_anc_talisman_hellshard_amulet	wh3_dlc23_ancillary_set_chd_drazhoath
wh3_dlc23_anc_weapon_chd_the_obsidian_axe	wh3_dlc23_ancillary_set_chd_zhatan
wh3_dlc23_anc_weapon_the_graven_sceptre	wh3_dlc23_ancillary_set_chd_drazhoath
wh3_dlc24_anc_arcane_item_crown_of_claws	wh3_dlc24_ancillary_set_ksl_mother_ostankya
wh3_dlc24_anc_armour_armour_of_the_dragons_gaze	wh3_dlc24_ancillary_set_cth_yuan_bo
wh3_dlc24_anc_armour_horns_of_shang_yang	wh3_dlc24_ancillary_set_cth_zhao_ming
wh3_dlc24_anc_armour_storm_wind_coronal	wh3_dlc24_ancillary_set_cth_miao_ying
wh3_dlc24_anc_enchanted_item_cauldron_of_power	wh3_dlc24_ancillary_set_ksl_mother_ostankya
wh3_dlc24_anc_enchanted_item_the_burning_vambraces	wh3_dlc24_ancillary_set_cth_zhao_ming
wh3_dlc24_anc_enchanted_item_vambraces_of_yin	wh3_dlc24_ancillary_set_cth_miao_ying
wh3_dlc24_anc_weapon_the_dragons_fang	wh3_dlc24_ancillary_set_cth_yuan_bo
wh3_main_anc_arcane_item_halfling_cookbook	wh3_main_ancillary_set_ogr_halfling_meat
wh3_main_anc_arcane_item_scrolls_of_astromancy	wh3_main_ancillary_set_cth_tools_of_astromancy
wh3_main_anc_arcane_item_skullmantle	wh3_main_ancillary_set_ogr_skull_collecta
wh3_main_anc_armour_armour_of_khorne	wh3_main_ancillary_set_kho_trappings_of_blood
wh3_main_anc_armour_armour_of_ursun	wh3_main_ancillary_set_ksl_the_red_tzars_attire
wh3_main_anc_armour_ascendant_celestial_armour	wh3_main_ancillary_set_cth_the_celestial_champion
wh3_main_anc_armour_bullgut	wh3_main_ancillary_set_ogr_bull_balls
wh3_main_anc_armour_great_bear_pelt	wh3_main_ancillary_set_ksl_ursire
wh3_main_anc_armour_greatskull	wh3_main_ancillary_set_ogr_skull_collecta
wh3_main_anc_armour_iron_ice_armour	wh3_main_ancillary_set_ksl_druzhina_of_ice
wh3_main_anc_armour_robes_of_shang_yang	wh3_main_ancillary_set_cth_shang_yang_elementalist
wh3_main_anc_armour_shield_of_the_nan_gau	wh3_main_ancillary_set_cth_nan_gau_sentinel
wh3_main_anc_armour_the_crystal_cloak	wh3_main_ancillary_set_ksl_raiment_of_office
wh3_main_anc_armour_wyrm_harness	wh3_main_ancillary_set_ksl_wyrmhunter
wh3_main_anc_enchanted_item_astromancers_spyglass	wh3_main_ancillary_set_cth_tools_of_astromancy
wh3_main_anc_enchanted_item_celestial_silk_robe	wh3_main_ancillary_set_cth_the_celestial_champion
wh3_main_anc_enchanted_item_daemon_killer_scars	wh3_main_ancillary_set_ogr_the_scarred
wh3_main_anc_magic_standard_banner_of_ecstacy	wh3_main_ancillary_set_sla_accoutrements_of_desire
wh3_main_anc_magic_standard_bull_standard	wh3_main_ancillary_set_ogr_bull_balls
wh3_main_anc_magic_standard_icon_of_sorcery	wh3_main_ancillary_set_tze_raiment_of_change
wh3_main_anc_magic_standard_standard_of_nan_gau	wh3_main_ancillary_set_cth_nan_gau_sentinel
wh3_main_anc_magic_standard_standard_of_seeping_decay	wh3_main_ancillary_set_nur_impedimenta_of_plague
wh3_main_anc_magic_standard_standard_of_shang_yang	wh3_main_ancillary_set_cth_shang_yang_elementalist
wh3_main_anc_talisman_blizzard_broach	wh3_main_ancillary_set_ksl_druzhina_of_ice
wh3_main_anc_talisman_overtyrants_crown	wh3_main_ancillary_set_ogr_da_crown_jewelz
wh3_main_anc_weapon_ascendant_celestial_blade	wh3_main_ancillary_set_cth_the_celestial_champion
wh3_main_anc_weapon_axe_of_khorne	wh3_main_ancillary_set_kho_trappings_of_blood
wh3_main_anc_weapon_blood_cleaver	wh3_main_ancillary_set_ogr_the_scarred
wh3_main_anc_weapon_frost_fang	wh3_main_ancillary_set_ksl_raiment_of_office
wh3_main_anc_weapon_frost_shard_glaive	wh3_main_ancillary_set_ksl_druzhina_of_ice
wh3_main_anc_weapon_lash_of_despair	wh3_main_ancillary_set_sla_accoutrements_of_desire
wh3_main_anc_weapon_sceptre_of_titans	wh3_main_ancillary_set_ogr_da_crown_jewelz
wh3_main_anc_weapon_shard_blade	wh3_main_ancillary_set_ksl_the_red_tzars_attire
wh3_main_anc_weapon_skull_plucker	wh3_main_ancillary_set_ogr_skull_collecta
wh3_main_anc_weapon_staff_of_change	wh3_main_ancillary_set_tze_raiment_of_change
wh3_main_anc_weapon_staff_of_nurgle	wh3_main_ancillary_set_nur_impedimenta_of_plague
wh3_main_anc_weapon_the_tenderiser	wh3_main_ancillary_set_ogr_halfling_meat
wh3_main_anc_weapon_ursuns_claws	wh3_main_ancillary_set_ksl_ursire
wh3_main_anc_weapon_wyrmspike	wh3_main_ancillary_set_ksl_wyrmhunter
wh_dlc03_anc_armour_the_dark_mail	wh3_main_ancillary_set_bst_khazrak
wh_dlc03_anc_weapon_scourge	wh3_main_ancillary_set_bst_khazrak
wh_dlc04_anc_talisman_jade_griffon	wh3_main_ancillary_set_emp_volkmar
wh_dlc04_anc_talisman_the_carstein_ring	wh3_main_ancillary_set_vmp_vlad_con_carstein
wh_dlc04_anc_weapon_blood_drinker	wh3_main_ancillary_set_vmp_vlad_con_carstein
wh_dlc04_anc_weapon_staff_of_command	wh3_main_ancillary_set_emp_volkmar
wh_dlc05_anc_enchanted_item_horn_of_the_wild_hunt	wh3_main_ancillary_set_wef_orion
wh_dlc05_anc_talisman_cloak_of_isha	wh3_main_ancillary_set_wef_orion
wh_dlc05_anc_weapon_spear_of_kurnous	wh3_main_ancillary_set_wef_orion
wh_dlc06_anc_arcane_item_squiggly_beast	wh3_main_ancillary_set_grn_wurrzag_da_great_prophet
wh_dlc06_anc_armour_shield_of_defiance	wh3_main_ancillary_set_dwf_belegar
wh_dlc06_anc_enchanted_item_baleful_mask	wh3_main_ancillary_set_grn_wurrzag_da_great_prophet
wh_dlc06_anc_weapon_bonewood_staff	wh3_main_ancillary_set_grn_wurrzag_da_great_prophet
wh_dlc06_anc_weapon_the_hammer_of_angrund	wh3_main_ancillary_set_dwf_belegar
wh_dlc07_anc_weapon_trident_of_manann	wh3_main_ancillary_set_brt_alberic
wh_main_anc_arcane_item_skull_staff	wh3_main_ancillary_set_vmp_heinrich_kemmler
wh_main_anc_arcane_item_staff_of_volans	wh3_main_ancillary_set_emp_balthasar_gelt
wh_main_anc_armour_armour_of_templehof	wh3_main_ancillary_set_vmp_mannfred_von_carstein
wh_main_anc_armour_auric_armour	wh3_main_ancillary_set_chs_prince_sigvald
wh_main_anc_armour_azhags_ard_armour	wh3_main_ancillary_set_grn_azhag_the_slaughterer
wh_main_anc_armour_blood-forged_armour	wh3_main_ancillary_set_grn_grimgor_ironhide
wh_main_anc_armour_the_armour_of_morkar	wh3_main_ancillary_set_chs_archaon
wh_main_anc_armour_the_armour_of_skaldour	wh3_main_ancillary_set_dwf_thorgrim_grudgebearer
wh_main_anc_armour_the_slayer_crown	wh3_main_ancillary_set_dwf_ungrim_ironfist
wh_main_anc_enchanted_item_cloak_of_mists_and_shadows	wh3_main_ancillary_set_vmp_heinrich_kemmler
wh_main_anc_enchanted_item_cloak_of_molten_metal	wh3_main_ancillary_set_emp_balthasar_gelt
wh_main_anc_enchanted_item_the_crown_of_domination	wh3_main_ancillary_set_chs_archaon
wh_main_anc_enchanted_item_the_crown_of_sorcery	wh3_main_ancillary_set_grn_azhag_the_slaughterer
wh_main_anc_enchanted_item_the_great_book_of_grudges	wh3_main_ancillary_set_dwf_thorgrim_grudgebearer
wh_main_anc_mount_chs_archaon_dorghar	wh3_main_ancillary_set_chs_archaon
wh_main_anc_talisman_amulet_of_sea_gold	wh3_main_ancillary_set_emp_balthasar_gelt
wh_main_anc_talisman_dragon_cloak_of_fyrskar	wh3_main_ancillary_set_dwf_ungrim_ironfist
wh_main_anc_talisman_the_dragon_crown_of_karaz	wh3_main_ancillary_set_dwf_thorgrim_grudgebearer
wh_main_anc_talisman_the_eye_of_sheerian	wh3_main_ancillary_set_chs_archaon
wh_main_anc_talisman_the_silver_seal	wh3_main_ancillary_set_emp_karl_franz
wh_main_anc_weapon_axe_of_dargo	wh3_main_ancillary_set_dwf_ungrim_ironfist
wh_main_anc_weapon_chaos_tomb_blade	wh3_main_ancillary_set_vmp_heinrich_kemmler
wh_main_anc_weapon_ghal_maraz	wh3_main_ancillary_set_emp_karl_franz
wh_main_anc_weapon_gitsnik	wh3_main_ancillary_set_grn_grimgor_ironhide
wh_main_anc_weapon_slaggas_slashas	wh3_main_ancillary_set_grn_azhag_the_slaughterer
wh_main_anc_weapon_sliverslash	wh3_main_ancillary_set_chs_prince_sigvald
wh_main_anc_weapon_sword_of_unholy_power	wh3_main_ancillary_set_vmp_mannfred_von_carstein
wh_main_anc_weapon_the_axe_of_grimnir	wh3_main_ancillary_set_dwf_thorgrim_grudgebearer
wh_main_anc_weapon_the_slayer_of_kings	wh3_main_ancillary_set_chs_archaon
wh_main_anc_weapon_the_sword_of_couronne	wh3_main_ancillary_set_brt_louen_leoncouer
wh_pro01_anc_armour_armour_of_glimril_scales	wh3_main_ancillary_set_dwf_grombrindal
wh_pro01_anc_enchanted_item_rune_helm_of_zhufbar	wh3_main_ancillary_set_dwf_grombrindal
wh_pro01_anc_talisman_cloak_of_valaya	wh3_main_ancillary_set_dwf_grombrindal
wh_pro01_anc_weapon_the_rune_axe_of_grombrindal	wh3_main_ancillary_set_dwf_grombrindal
