displayed_trait	displayed_trait_set
#cai_personality_displayed_trait_set_junctions_tables;0;db/cai_personality_displayed_trait_set_junctions_tables/data__	
wh3_cai_displayed_trait_corruptor	wh3_dlc20_personality_displayed_trait_set_azazel
wh3_cai_displayed_trait_destroyer	wh3_dlc20_personality_displayed_trait_set_azazel
wh3_cai_displayed_trait_seducer	wh3_dlc20_personality_displayed_trait_set_azazel
wh3_cai_displayed_trait_warbringer	wh3_dlc20_personality_displayed_trait_set_azazel
wh3_cai_displayed_trait_corruptor	wh3_dlc20_personality_displayed_trait_set_festus
wh3_cai_displayed_trait_destroyer	wh3_dlc20_personality_displayed_trait_set_festus
wh3_cai_displayed_trait_plaguebearer_festus	wh3_dlc20_personality_displayed_trait_set_festus
wh3_cai_displayed_trait_warbringer	wh3_dlc20_personality_displayed_trait_set_festus
wh3_cai_displayed_trait_brutal	wh3_dlc20_personality_displayed_trait_set_valkia
wh3_cai_displayed_trait_corruptor	wh3_dlc20_personality_displayed_trait_set_valkia
wh3_cai_displayed_trait_destroyer	wh3_dlc20_personality_displayed_trait_set_valkia
wh3_cai_displayed_trait_warbringer	wh3_dlc20_personality_displayed_trait_set_valkia
wh3_cai_displayed_trait_changer_of_ways_vilitch	wh3_dlc20_personality_displayed_trait_set_vilitch
wh3_cai_displayed_trait_corruptor	wh3_dlc20_personality_displayed_trait_set_vilitch
wh3_cai_displayed_trait_destroyer	wh3_dlc20_personality_displayed_trait_set_vilitch
wh3_cai_displayed_trait_warbringer	wh3_dlc20_personality_displayed_trait_set_vilitch
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_beastmen_khazrak
wh3_cai_displayed_trait_herdstone_tribe	wh3_personality_displayed_trait_set_beastmen_khazrak
wh3_cai_displayed_trait_raider	wh3_personality_displayed_trait_set_beastmen_khazrak
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_beastmen_malagor
wh3_cai_displayed_trait_herdstone_tribe	wh3_personality_displayed_trait_set_beastmen_malagor
wh3_cai_displayed_trait_raider	wh3_personality_displayed_trait_set_beastmen_malagor
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_beastmen_minor
wh3_cai_displayed_trait_raider	wh3_personality_displayed_trait_set_beastmen_minor
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_beastmen_morghur
wh3_cai_displayed_trait_herdstone_tribe	wh3_personality_displayed_trait_set_beastmen_morghur
wh3_cai_displayed_trait_raider	wh3_personality_displayed_trait_set_beastmen_morghur
wh3_cai_displayed_trait_brutal	wh3_personality_displayed_trait_set_beastmen_taurox
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_beastmen_taurox
wh3_cai_displayed_trait_herdstone_tribe	wh3_personality_displayed_trait_set_beastmen_taurox
wh3_cai_displayed_trait_raider	wh3_personality_displayed_trait_set_beastmen_taurox
wh3_cai_displayed_trait_blood_voyage	wh3_personality_displayed_trait_set_blood_voyage
wh3_cai_displayed_trait_naval_aggressor	wh3_personality_displayed_trait_set_blood_voyage
wh3_cai_displayed_trait_slaver	wh3_personality_displayed_trait_set_blood_voyage
wh3_cai_displayed_trait_honourable	wh3_personality_displayed_trait_set_bretonnia_minor
wh3_cai_displayed_trait_protective	wh3_personality_displayed_trait_set_bretonnia_minor
wh3_cai_displayed_trait_honourable	wh3_personality_displayed_trait_set_bretonnia_repanse
wh3_cai_displayed_trait_purifier	wh3_personality_displayed_trait_set_bretonnia_repanse
wh3_cai_displayed_trait_bastion_guardian	wh3_personality_displayed_trait_set_cathay_miao_ying
wh3_cai_displayed_trait_caravan_master	wh3_personality_displayed_trait_set_cathay_miao_ying
wh3_cai_displayed_trait_protective	wh3_personality_displayed_trait_set_cathay_miao_ying
wh3_cai_displayed_trait_bastion_guardian	wh3_personality_displayed_trait_set_cathay_minor
wh3_cai_displayed_trait_caravan_master	wh3_personality_displayed_trait_set_cathay_minor
wh3_cai_displayed_trait_aggressive	wh3_personality_displayed_trait_set_cathay_zhao_ming
wh3_cai_displayed_trait_bastion_guardian	wh3_personality_displayed_trait_set_cathay_zhao_ming
wh3_cai_displayed_trait_caravan_master	wh3_personality_displayed_trait_set_cathay_zhao_ming
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_chaos_gatedestroyer
wh3_cai_displayed_trait_destroyer	wh3_personality_displayed_trait_set_chaos_gatedestroyer
wh3_cai_displayed_trait_warbringer	wh3_personality_displayed_trait_set_chaos_gatedestroyer
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_chaos_settled
wh3_cai_displayed_trait_destroyer	wh3_personality_displayed_trait_set_chaos_settled
wh3_cai_displayed_trait_warbringer	wh3_personality_displayed_trait_set_chaos_settled
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_daemon_prince
wh3_cai_displayed_trait_daemonic_ascendant	wh3_personality_displayed_trait_set_daemon_prince
wh3_cai_displayed_trait_vengeful	wh3_personality_displayed_trait_set_daemon_prince
wh3_cai_displayed_trait_warbringer	wh3_personality_displayed_trait_set_daemon_prince
wh3_cai_displayed_trait_naval_aggressor	wh3_personality_displayed_trait_set_darkelf_minor
wh3_cai_displayed_trait_slaver	wh3_personality_displayed_trait_set_darkelf_minor
wh3_cai_displayed_trait_dwarf_endgame	wh3_personality_displayed_trait_set_dwarf_endgame
wh3_cai_displayed_trait_holds_grudges	wh3_personality_displayed_trait_set_dwarf_minor
wh3_cai_displayed_trait_protective	wh3_personality_displayed_trait_set_dwarf_minor
wh3_cai_displayed_trait_reliable	wh3_personality_displayed_trait_set_dwarf_minor
wh3_cai_displayed_trait_resource_hoarder	wh3_personality_displayed_trait_set_dwarf_minor
wh3_cai_displayed_trait_holds_grudges	wh3_personality_displayed_trait_set_dwarf_ungrim
wh3_cai_displayed_trait_protective	wh3_personality_displayed_trait_set_dwarf_ungrim
wh3_cai_displayed_trait_purifier	wh3_personality_displayed_trait_set_dwarf_ungrim
wh3_cai_displayed_trait_reliable	wh3_personality_displayed_trait_set_dwarf_ungrim
wh3_cai_displayed_trait_resource_hoarder	wh3_personality_displayed_trait_set_dwarf_ungrim
wh3_cai_displayed_trait_empire_endgame	wh3_personality_displayed_trait_set_empire_endgame
wh3_cai_displayed_trait_imperial_authority	wh3_personality_displayed_trait_set_empire_minor
wh3_cai_displayed_trait_protective	wh3_personality_displayed_trait_set_empire_minor
wh3_cai_displayed_trait_artefact_hunter	wh3_personality_displayed_trait_set_empire_volkmar
wh3_cai_displayed_trait_purifier	wh3_personality_displayed_trait_set_empire_volkmar
wh3_cai_displayed_trait_glade_protector	wh3_personality_displayed_trait_set_forest_dweller
wh3_cai_displayed_trait_greenskin_endgame	wh3_personality_displayed_trait_set_greenskin_endgame
wh3_cai_displayed_trait_aggressive	wh3_personality_displayed_trait_set_greenskin_minor
wh3_cai_displayed_trait_destroyer	wh3_personality_displayed_trait_set_greenskin_minor
wh3_cai_displayed_trait_aloof	wh3_personality_displayed_trait_set_highelf_eltharion
wh3_cai_displayed_trait_diplomat	wh3_personality_displayed_trait_set_highelf_eltharion
wh3_cai_displayed_trait_guardian	wh3_personality_displayed_trait_set_highelf_eltharion
wh3_cai_displayed_trait_protective	wh3_personality_displayed_trait_set_highelf_eltharion
wh3_cai_displayed_trait_aloof	wh3_personality_displayed_trait_set_highelf_minor
wh3_cai_displayed_trait_diplomat	wh3_personality_displayed_trait_set_highelf_minor
wh3_cai_displayed_trait_guardian	wh3_personality_displayed_trait_set_highelf_minor
wh3_cai_displayed_trait_aggressive	wh3_personality_displayed_trait_set_khorne_minor
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_khorne_minor
wh3_cai_displayed_trait_warbringer	wh3_personality_displayed_trait_set_khorne_minor
wh3_cai_displayed_trait_brutal	wh3_personality_displayed_trait_set_khorne_skarbrand
wh3_cai_displayed_trait_champion_of_great_game	wh3_personality_displayed_trait_set_khorne_skarbrand
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_khorne_skarbrand
wh3_cai_displayed_trait_warbringer	wh3_personality_displayed_trait_set_khorne_skarbrand
wh3_cai_displayed_trait_aggressive	wh3_personality_displayed_trait_set_kislev_boris
wh3_cai_displayed_trait_faithful_to_motherland	wh3_personality_displayed_trait_set_kislev_boris
wh3_cai_displayed_trait_faithful_to_motherland	wh3_personality_displayed_trait_set_kislev_katarin
wh3_cai_displayed_trait_purifier	wh3_personality_displayed_trait_set_kislev_katarin
wh3_cai_displayed_trait_faithful_to_motherland	wh3_personality_displayed_trait_set_kislev_kostaltyn
wh3_cai_displayed_trait_protective	wh3_personality_displayed_trait_set_kislev_kostaltyn
wh3_cai_displayed_trait_vengeful	wh3_personality_displayed_trait_set_kislev_kostaltyn
wh3_cai_displayed_trait_faithful_to_motherland	wh3_personality_displayed_trait_set_kislev_minor
wh3_cai_displayed_trait_protective	wh3_personality_displayed_trait_set_kislev_minor
wh3_cai_displayed_trait_cold_blooded	wh3_personality_displayed_trait_set_lizardmen_minor
wh3_cai_displayed_trait_protective	wh3_personality_displayed_trait_set_lizardmen_minor
wh3_cai_displayed_trait_lizardmen_vassal	wh3_personality_displayed_trait_set_lizardmen_vassal
wh3_cai_displayed_trait_naval_aggressor	wh3_personality_displayed_trait_set_norsca_minor
wh3_cai_displayed_trait_raider	wh3_personality_displayed_trait_set_norsca_minor
wh3_cai_displayed_trait_aggressive	wh3_personality_displayed_trait_set_norsca_throgg
wh3_cai_displayed_trait_naval_aggressor	wh3_personality_displayed_trait_set_norsca_throgg
wh3_cai_displayed_trait_raider	wh3_personality_displayed_trait_set_norsca_throgg
wh3_cai_displayed_trait_norsca_vassal	wh3_personality_displayed_trait_set_norsca_vassal
wh3_cai_displayed_trait_raider	wh3_personality_displayed_trait_set_norsca_vassal
wh3_cai_displayed_trait_aggressive	wh3_personality_displayed_trait_set_norsca_wulfrik
wh3_cai_displayed_trait_naval_aggressor	wh3_personality_displayed_trait_set_norsca_wulfrik
wh3_cai_displayed_trait_raider	wh3_personality_displayed_trait_set_norsca_wulfrik
wh3_cai_displayed_trait_champion_of_great_game	wh3_personality_displayed_trait_set_nurgle_kugath
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_nurgle_kugath
wh3_cai_displayed_trait_plaguefather	wh3_personality_displayed_trait_set_nurgle_kugath
wh3_cai_displayed_trait_warbringer	wh3_personality_displayed_trait_set_nurgle_kugath
wh3_cai_displayed_trait_corruptor	wh3_personality_displayed_trait_set_nurgle_minor
wh3_cai_displayed_trait_plaguebearer	wh3_personality_displayed_trait_set_nurgle_minor
wh3_cai_displayed_trait_warbringer	wh3_personality_displayed_trait_set_nurgle_minor
wh3_cai_displayed_trait_aggressive	wh3_personality_displayed_trait_set_ogre_greasus
wh3_cai_displayed_trait_camp_builder	wh3_personality_displayed_trait_set_ogre_greasus
wh3_cai_displayed_trait_greedy	wh3_personality_displayed_trait_set_ogre_greasus
wh3_cai_displayed_trait_aggressive	wh3_personality_displayed_trait_set_ogre_minor
wh3_cai_displayed_trait_camp_builder	wh3_personality_displayed_trait_set_ogre_minor
wh3_cai_displayed_trait_aggressive	wh3_personality_displayed_trait_set_ogre_skrag
wh3_cai_displayed_trait_camp_builder	wh3_personality_displayed_trait_set_ogre_skrag
wh3_cai_displayed_trait_opportunist	wh3_personality_displayed_trait_set_ogre_skrag
wh3_cai_displayed_trait_challenger	wh3_personality_displayed_trait_set_realms
wh3_cai_displayed_trait_opportunist	wh3_personality_displayed_trait_set_rogue
wh3_cai_displayed_trait_rogue	wh3_personality_displayed_trait_set_rogue
wh3_cai_displayed_trait_sentinel	wh3_personality_displayed_trait_set_sentinels
wh3_cai_displayed_trait_skaven_endgame	wh3_personality_displayed_trait_set_skaven_endgame
wh3_cai_displayed_trait_opportunist	wh3_personality_displayed_trait_set_skaven_minor
