loading_quote	campaign
#loading_screen_quotes_to_campaigns_tables;2;db/loading_screen_quotes_to_campaigns_tables/data__	
wh2_dlc10_hp_campaign_sword_of_khaine	wh3_main_combi_map_1
wh2_dlc10_hp_campaign_sword_of_khaine	wh3_main_combi_map_2
wh2_dlc10_hp_campaign_sword_of_khaine	wh3_main_combi_map_3
wh2_dlc12_lzd_cha_tehenhauin_0	wh3_main_combi_map_1
wh2_dlc12_lzd_cha_tehenhauin_0	wh3_main_combi_map_2
wh2_dlc12_lzd_cha_tehenhauin_0	wh3_main_combi_map_3
wh2_dlc12_lzd_cha_tiktaqto_0	wh3_main_combi_map_1
wh2_dlc12_lzd_cha_tiktaqto_0	wh3_main_combi_map_2
wh2_dlc12_lzd_cha_tiktaqto_0	wh3_main_combi_map_3
wh2_dlc12_lzd_lzd_cha_kroak_0	wh3_main_combi_map_1
wh2_dlc12_lzd_lzd_cha_kroak_0	wh3_main_combi_map_2
wh2_dlc12_lzd_lzd_cha_kroak_0	wh3_main_combi_map_3
wh2_dlc12_skv_cha_ikit_claw_0	wh3_main_combi_map_1
wh2_dlc12_skv_cha_ikit_claw_0	wh3_main_combi_map_2
wh2_dlc12_skv_cha_ikit_claw_0	wh3_main_combi_map_3
wh2_dlc13_emp_cha_markus_wulfhart_0	wh3_main_combi_map_1
wh2_dlc13_emp_cha_markus_wulfhart_0	wh3_main_combi_map_2
wh2_dlc13_emp_cha_markus_wulfhart_0	wh3_main_combi_map_3
wh2_dlc13_lzd_cha_gor_rok_0	wh3_main_combi_map_1
wh2_dlc13_lzd_cha_gor_rok_0	wh3_main_combi_map_2
wh2_dlc13_lzd_cha_gor_rok_0	wh3_main_combi_map_3
wh2_dlc13_lzd_cha_nakai_0	wh3_main_combi_map_1
wh2_dlc13_lzd_cha_nakai_0	wh3_main_combi_map_2
wh2_dlc13_lzd_cha_nakai_0	wh3_main_combi_map_3
wh2_dlc14_brt_cha_repanse_de_lyonesse_0	wh3_main_combi_map_1
