key	group	initial_unit_count	pool	faction_requirement	subculture_requirement	tech_requirement
#mercenary_pool_to_groups_junctions_tables;3;db/mercenary_pool_to_groups_junctions_tables/data__						
1000002232	wh3_dlc25_dwf_grudges_hammerers	0	wh3_dlc25_dwf_book_of_grudges_mercenary_pool		wh_main_sc_dwf_dwarfs	
1001173460	wh2_dlc14_skv_inf_death_runners_ror_0	1	wh2_dlc12_skv_units_of_renown_pool		wh2_main_sc_skv_skaven	
1005628637	wh3_dlc29_chs_mon_chaos_siege_giant_warriors_faction_pool	0	wh3_main_belakor_faction_pool			
1005930984	wh3_main_nur_mon_great_unclean_one_0_warriors_faction_pool	0	wh3_dlc20_chs_faction_pool		wh_main_sc_chs_chaos	
1007329529	wh3_dlc29_chs_inf_chosen_mnur_ror	1	wh3_dlc20_renown_pool	wh3_dlc20_chs_festus		
1007505507	wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0	1	wh2_main_hef_units_of_renown_pool		wh2_main_sc_hef_high_elves	
1011649707	wh2_dlc13_emp_cav_empire_knights_imperial_supply	0	wh2_dlc13_emp_imperial_supply_pool	wh2_dlc13_emp_the_huntmarshals_expedition		
1011968358	wh3_twa06_nur_inf_plaguebearers_ror_0	1	wh3_dlc20_renown_pool	wh3_dlc29_chs_host_of_the_triplets		
1013627300	wh3_dlc26_grn_inf_rugluds_armoured_orcs	1	wh_dlc06_grn_units_of_renown_pool		wh_main_sc_grn_greenskins	
1015320368	wh3_dlc29_nag_tmb_cav_necropolis_knights_0_faction_pool	999999	wh3_dlc29_nag_raise_dead_tmb_faction_pool		wh3_dlc29_sc_nag_undead_legions	
1015320407	wh2_dlc11_cst_inf_zombie_gunnery_mob_2	0	wh2_dlc11_cst_vampire_pirate_merc_pool		wh2_dlc11_sc_cst_vampire_coast	
1016162402	wh3_dlc29_chs_mon_chaos_siege_giant_warriors_faction_pool	0	wh3_dlc20_coc_faction_pool		wh_main_sc_chs_chaos	
1016796404	wh3_dlc29_emp_middenland_hunting_hounds	1	wh3_dlc29_emp_middenland_merc_pool_boris	wh_main_emp_middenland		
1017607806	wh3_main_nur_inf_forsaken_0_province_pool	0	wh3_dlc20_chs_province_pool	wh3_main_chs_shadow_legion		
1020728437	wh3_dlc25_nur_chieftains_chs_inf_aspiring_champions_0	0	wh3_dlc25_nur_tamurkhan_chieftains_pool	wh3_dlc25_nur_tamurkhan		
1023553155	wh3_main_sla_inf_daemonette_0_warriors_faction_pool	1	wh3_dlc20_coc_faction_pool	wh3_dlc20_chs_sigvald		
1025775080	wh2_dlc16_skv_mon_rat_ogre_mutant_flesh_lab	0	wh2_dlc16_skv_throt_flesh_lab_pool	wh2_main_skv_clan_moulder		
1026583012	wh_dlc01_chs_inf_forsaken_0_province_pool	0	wh3_dlc20_chs_province_pool	wh3_dlc20_chs_sigvald		
102862214	wh2_dlc16_wef_cav_great_stag_knights_ror_0	1	wh_dlc05_wef_units_of_renown_pool		wh_dlc05_sc_wef_wood_elves	
103011971	wh2_dlc13_emp_cav_pistoliers_ror_0	0	wh2_dlc13_emp_elector_counts_merc_pool_volkmar		wh_main_sc_emp_empire	
1032976742	wh3_dlc29_vmp_inf_lahmian_handmaidens_death	999999	wh3_dlc29_vmp_raise_dead_faction		wh_main_sc_vmp_vampire_counts	
1034665181	wh3_main_nur_mon_spawn_of_nurgle_0_province_pool	0	wh3_dlc20_chs_province_pool	wh3_dlc29_chs_host_of_the_triplets		
1037385237	wh2_dlc09_tmb_inf_skeleton_archers_ror	1	wh3_dlc29_nag_units_of_renown_ror		wh3_dlc29_sc_nag_undead_legions	
1037862628	wh3_dlc20_chs_inf_chaos_marauders_mkho_province_pool	0	wh3_dlc20_chs_province_pool	wh3_dlc20_chs_valkia		
104159065	wh_main_chs_mon_chaos_warhounds_0_province_pool	1	wh3_dlc20_chs_province_pool	wh_main_chs_chaos		
1050375183	wh3_dlc27_nor_cav_marauder_horsemen_ror	1	wh3_dlc20_renown_pool	wh3_dlc20_chs_sigvald		
1051344757	wh2_dlc11_cst_inf_zombie_gunnery_mob_0	2	wh2_dlc11_cst_vampire_pirate_province_pool		wh2_dlc11_sc_cst_vampire_coast	
1051646759	wh_dlc08_nor_art_hellcannon_battery	1	wh_dlc08_nor_units_of_renown_pool		wh_dlc08_sc_nor_norsca	
105183902	wh3_dlc25_nur_chieftains_chs_art_hellcannon	0	wh3_dlc25_nur_tamurkhan_chieftains_pool	wh3_dlc25_nur_tamurkhan		
1052545886	wh3_dlc27_nor_cav_marauder_horsemasters_0	0	wh3_dlc27_nor_monstrous_arcanum		wh_dlc08_sc_nor_norsca	
1053442586	wh3_dlc29_nag_cst_inf_depth_guard_0_faction_pool	999999	wh3_dlc29_nag_raise_dead_cst_faction_pool		wh3_dlc29_sc_nag_undead_legions	
1055635124	wh2_dlc12_lzd_inf_temple_guards_ror_0	1	wh2_dlc12_lzd_units_of_renown_pool		wh2_main_sc_lzd_lizardmen	
1056904731	wh_dlc01_chs_mon_dragon_ogre_province_pool	0	wh3_dlc20_chs_province_pool		wh_main_sc_chs_chaos	
1057612761	wh3_main_sla_mon_soul_grinder_0_warriors_faction_pool	0	wh3_main_belakor_faction_pool			
1060590307	wh3_dlc29_chs_mon_giant_spined_chaos_beast_ror	1	wh_dlc01_chs_units_of_renown_pool		wh_main_sc_chs_chaos	
1061409574	wh3_dlc26_kho_inf_wrathmongers_ror	1	wh3_dlc20_renown_pool	wh3_dlc20_chs_valkia		
1061783541	wh2_twa03_def_mon_wolves_0	0	wh2_twa03_def_rakarth_merc_pool			
1061905494	wh2_main_lzd_inf_skink_skirmishers_blessed_0	1	wh2_main_lzd_spawnings_pool		wh2_main_sc_lzd_lizardmen	
1064929778	wh_pro04_nor_mon_war_mammoth_ror_0	1	wh_dlc08_nor_units_of_renown_pool		wh_dlc08_sc_nor_norsca	
