key	icon	battle_environment_override	owning_limit_group	prioritise_port_for_playing_audio
#settlement_types_tables;4;db/settlement_types_tables/data__				
wh3_dlc23_chd_factory	ui/skins/wh3_dlc23_chd_chaos_dwarfs/icon_chd_factory.png			true
wh3_dlc23_chd_outpost	ui/skins/wh3_dlc23_chd_chaos_dwarfs/icon_chd_outpost.png			true
wh3_dlc23_chd_tower	ui/skins/wh3_dlc23_chd_chaos_dwarfs/icon_chd_tower.png			true
wh3_dlc27_dechala_pleasure_palace	ui/skins/default/wh3_dlc27_dechala_pleasure_palace.png			true
wh3_dlc27_dechala_thrall_camp	ui/skins/default/wh3_dlc27_dechala_thrall_camp.png			true
wh3_dlc27_dechala_war_pit	ui/skins/default/wh3_dlc27_dechala_war_pit.png			true
wh3_dlc27_norsca_altars_kho	ui/skins/default/dlc27_nor_allegiance/icon_nor_hound.png			true
wh3_dlc27_norsca_altars_nur	ui/skins/default/dlc27_nor_allegiance/icon_nor_crow.png			true
wh3_dlc27_norsca_altars_sla	ui/skins/default/dlc27_nor_allegiance/icon_nor_serpent.png			true
wh3_dlc27_norsca_altars_tze	ui/skins/default/dlc27_nor_allegiance/icon_nor_eagle.png			true
wh3_dlc27_norsca_altars_und	ui/skins/default/dlc27_nor_allegiance/icon_nor_undivided.png			true
wh3_dlc27_norsca_core_settlement	ui/skins/default/dlc27_nor_allegiance/icon_nor_settlement.png			true
wh3_dlc29_chs_altar	ui/skins/default/dlc29_chs_blessings_of_nurgle/icon_chaos_altar.png			true
wh3_dlc29_chs_dark_fortress	ui/skins/default/icon_dark_fortress.png			true
wh3_dlc29_devastated	ui/skins/default/placeholder.png			true
wh3_dlc29_nag_chambers	ui/skins/default/wh3_dlc29_nag_settlement_type_chambers.png			true
wh3_dlc29_nag_cove	ui/skins/default/wh3_dlc29_nag_settlement_type_cove.png			true
wh3_dlc29_nag_mausoleum	ui/skins/default/wh3_dlc29_nag_settlement_type_mausoleum.png			true
wh3_dlc29_nag_necropolis	ui/skins/default/wh3_dlc29_nag_settlement_type_necropolis.png			true
wh3_dlc29_woc_glottkin_garden_of_nurgle_major	ui/skins/default/dlc29_chs_blessings_of_nurgle/settlement_type_icon_garden_of_nurgle.png	weather/battle/wh3_dlc29_endtimes_26.environment_group	wh3_dlc29_woc_glottkin_garden_of_nurgle_owning_limit	false
wh3_dlc29_woc_glottkin_garden_of_nurgle_minor	ui/skins/default/dlc29_chs_blessings_of_nurgle/settlement_type_icon_garden_of_nurgle.png	weather/battle/wh3_dlc29_endtimes_26.environment_group	wh3_dlc29_woc_glottkin_garden_of_nurgle_owning_limit	false
wh3_main_dae_khorne	ui/skins/wh3_dae_main_dae_daemons/icon_dae_khorne_points.png			true
wh3_main_dae_nurgle	ui/skins/wh3_dae_main_dae_daemons/icon_dae_nurgle_points.png			true
wh3_main_dae_slaanesh	ui/skins/wh3_dae_main_dae_daemons/icon_dae_slaanesh_points.png			true
wh3_main_dae_tzeentch	ui/skins/wh3_dae_main_dae_daemons/icon_dae_tzeentch_points.png			true
