feature	region
#region_features_tables;0;db/region_features_tables/data__	
settlement_granted_attack_on_passers	wh3_main_chaos_region_dragon_gate
settlement_granted_attack_on_passers	wh3_main_chaos_region_fort_bergbres
regionless_area_is_hostile	wh3_main_chaos_region_land_of_the_plaguelord
regionless_area_is_hostile	wh3_main_chaos_region_realm_of_chaos
regionless_area_is_hostile	wh3_main_chaos_region_realm_of_the_sorcerer_1
regionless_area_is_hostile	wh3_main_chaos_region_realm_of_the_sorcerer_2
regionless_area_is_hostile	wh3_main_chaos_region_realm_of_the_sorcerer_3
regionless_area_is_hostile	wh3_main_chaos_region_realm_of_the_sorcerer_4
regionless_area_is_hostile	wh3_main_chaos_region_realm_of_the_sorcerer_5
regionless_area_is_hostile	wh3_main_chaos_region_realm_of_the_sorcerer_6
regionless_area_is_hostile	wh3_main_chaos_region_realm_of_the_sorcerer_7
regionless_area_is_hostile	wh3_main_chaos_region_slaanesh_fifth
regionless_area_is_hostile	wh3_main_chaos_region_slaanesh_first
regionless_area_is_hostile	wh3_main_chaos_region_slaanesh_fourth
regionless_area_is_hostile	wh3_main_chaos_region_slaanesh_second
regionless_area_is_hostile	wh3_main_chaos_region_slaanesh_sixth
regionless_area_is_hostile	wh3_main_chaos_region_slaanesh_start_01
regionless_area_is_hostile	wh3_main_chaos_region_slaanesh_start_02
regionless_area_is_hostile	wh3_main_chaos_region_slaanesh_start_03
regionless_area_is_hostile	wh3_main_chaos_region_slaanesh_start_04
regionless_area_is_hostile	wh3_main_chaos_region_slaanesh_start_05
regionless_area_is_hostile	wh3_main_chaos_region_slaanesh_start_06
regionless_area_is_hostile	wh3_main_chaos_region_slaanesh_start_07
regionless_area_is_hostile	wh3_main_chaos_region_slaanesh_start_08
regionless_area_is_hostile	wh3_main_chaos_region_slaanesh_third
settlement_granted_attack_on_passers	wh3_main_chaos_region_snake_gate
regionless_area_is_hostile	wh3_main_chaos_region_the_blood_gods_domain
regionless_area_is_hostile	wh3_main_chaos_region_the_dark_princes_realm
regionless_area_is_hostile	wh3_main_chaos_region_the_forge_of_souls
settlement_granted_attack_on_passers	wh3_main_chaos_region_turtle_gate
settlement_granted_attack_on_passers	wh3_main_combi_region_dragon_gate
settlement_granted_attack_on_passers	wh3_main_combi_region_eagle_gate
settlement_granted_attack_on_passers	wh3_main_combi_region_fort_bergbres
settlement_granted_attack_on_passers	wh3_main_combi_region_fort_soll
settlement_granted_attack_on_passers	wh3_main_combi_region_griffon_gate
settlement_granted_attack_on_passers	wh3_main_combi_region_helmgart
settlement_granted_attack_on_passers	wh3_main_combi_region_phoenix_gate
settlement_granted_attack_on_passers	wh3_main_combi_region_snake_gate
settlement_granted_attack_on_passers	wh3_main_combi_region_turtle_gate
settlement_granted_attack_on_passers	wh3_main_combi_region_unicorn_gate
