key	value
#_kv_key_buildings_tables;0;db/_kv_key_buildings_tables/data__	
domination_capture_point_time_lock	120.0000
fort_tower_fire_arc	90.0000
fort_tower_fire_frequency_large	1.5000
fort_tower_fire_frequency_medium	2.0000
fort_tower_fire_frequency_small	2.5000
fort_tower_fire_frequency_ultra	1.0000
gate_capture_time	20.0000
gate_points_required_to_capture	200.0000
gate_points_restore_per_second	2.0000
keep_capture_time	60.0000
key_building_a_points_required_to_capture	300.0000
key_building_a_points_restore_per_second	10.0000
key_building_a_tickets_per_second	0.0000
key_building_b_points_required_to_capture	200.0000
key_building_b_points_restore_per_second	10.0000
key_building_b_tickets_per_second	0.0000
local_bonus_radius	55.0000
major_points_required_to_capture	500.0000
major_points_restore_per_second	2.0000
major_tickets_per_second	5.0000
minor_points_required_to_capture	300.0000
minor_points_restore_per_second	2.0000
minor_tickets_per_second	0.0000
score_points_required_to_capture	150.0000
score_points_restore_per_second	10.0000
score_tickets_per_second	1.0000
settlement_location_capture_time	60.0000
settlement_victory_condition_time	30.0000
toggle_system_decal_terrain_offset	0.3000
toggle_system_destruction_hide_delay	120.0000
toggle_system_downgrade_delay	30.0000
toggle_system_survival_destruction_hide_delay	30.0000
toggle_system_upgrade_delay	30.0000
toggle_system_vfx_hide_time	5.0000
tower_capture_time	30.0000
tower_points_required_to_capture	50.0000
tower_points_restore_per_second	12.5000
