key	network	position_x	position_y	template
#teleportation_network_nodes_tables;0;db/teleportation_network_nodes_tables/data__				
wh3_dlc20_champions_node_chaos_province_albion	wh3_dlc20_teleportation_network_chaos	26	302	
wh3_dlc20_champions_node_chaos_province_ancient_giant_lands	wh3_dlc20_teleportation_network_chaos	878	384	
wh3_dlc20_champions_node_chaos_province_black_blood_pass	wh3_dlc20_teleportation_network_chaos	380	190	
wh3_dlc20_champions_node_chaos_province_black_water	wh3_dlc20_teleportation_network_chaos	569	40	
wh3_dlc20_champions_node_chaos_province_bloodfire_falls	wh3_dlc20_teleportation_network_chaos	320	452	
wh3_dlc20_champions_node_chaos_province_bone_road	wh3_dlc20_teleportation_network_chaos	860	462	
wh3_dlc20_champions_node_chaos_province_broken_lands_of_tian_li	wh3_dlc20_teleportation_network_chaos	1086	414	
wh3_dlc20_champions_node_chaos_province_celestial_riverlands	wh3_dlc20_teleportation_network_chaos	1039	490	
wh3_dlc20_champions_node_chaos_province_dukhlys_forest	wh3_dlc20_teleportation_network_chaos	516	215	
wh3_dlc20_champions_node_chaos_province_eastern_oblast	wh3_dlc20_teleportation_network_chaos	480	148	
wh3_dlc20_champions_node_chaos_province_eastern_steppes	wh3_dlc20_teleportation_network_chaos	865	635	
wh3_dlc20_champions_node_chaos_province_forests_of_the_moon	wh3_dlc20_teleportation_network_chaos	1030	598	
wh3_dlc20_champions_node_chaos_province_gash_kadrak	wh3_dlc20_teleportation_network_chaos	821	340	
wh3_dlc20_champions_node_chaos_province_gianthome_mountains	wh3_dlc20_teleportation_network_chaos	382	269	
wh3_dlc20_champions_node_chaos_province_gunpowder_road	wh3_dlc20_teleportation_network_chaos	908	535	
wh3_dlc20_champions_node_chaos_province_helspire_mountains	wh3_dlc20_teleportation_network_chaos	198	348	
wh3_dlc20_champions_node_chaos_province_hochland	wh3_dlc20_teleportation_network_chaos	282	77	
wh3_dlc20_champions_node_chaos_province_ice_pass	wh3_dlc20_teleportation_network_chaos	918	363	
wh3_dlc20_champions_node_chaos_province_ice_tooth_mountains	wh3_dlc20_teleportation_network_chaos	165	308	
wh3_dlc20_champions_node_chaos_province_imperial_road	wh3_dlc20_teleportation_network_chaos	947	655	
wh3_dlc20_champions_node_chaos_province_ivory_road	wh3_dlc20_teleportation_network_chaos	974	258	
wh3_dlc20_champions_node_chaos_province_kdatha	wh3_dlc20_teleportation_network_chaos	680	468	
wh3_dlc20_champions_node_chaos_province_lands_of_stone_and_steel	wh3_dlc20_teleportation_network_chaos	949	585	
wh3_dlc20_champions_node_chaos_province_marches_of_couronne	wh3_dlc20_teleportation_network_chaos	59	189	
wh3_dlc20_champions_node_chaos_province_middenland	wh3_dlc20_teleportation_network_chaos	152	87	
wh3_dlc20_champions_node_chaos_province_middle_mountains	wh3_dlc20_teleportation_network_chaos	266	84	
wh3_dlc20_champions_node_chaos_province_mountains_of_hel	wh3_dlc20_teleportation_network_chaos	303	301	
wh3_dlc20_champions_node_chaos_province_mountains_of_mourn	wh3_dlc20_teleportation_network_chaos	881	296	
wh3_dlc20_champions_node_chaos_province_nordland	wh3_dlc20_teleportation_network_chaos	163	149	
wh3_dlc20_champions_node_chaos_province_northern_grey_mountains	wh3_dlc20_teleportation_network_chaos	51	62	
wh3_dlc20_champions_node_chaos_province_northern_oblast	wh3_dlc20_teleportation_network_chaos	307	178	
wh3_dlc20_champions_node_chaos_province_northern_wasteland	wh3_dlc20_teleportation_network_chaos	117	193	
wh3_dlc20_champions_node_chaos_province_northern_wastes	wh3_dlc20_teleportation_network_chaos	148	492	
