id	component	payload	value
#ritual_payload_basic_components_tables;0;db/ritual_payload_basic_components_tables/data__			
1018037183	ABANDON_SETTLEMENT	wh3_dlc27_sayl_manipulations_region_destroy	1
103821749	TAKE_OWNERSHIP_OF_SETTLEMENT	wh2_dlc14_eshin_actions_payload_coup	1
1125340427	TAKE_OWNERSHIP_OF_SETTLEMENT	wh3_main_ritual_kho_gg_2_upgraded	1
11273769	DAMAGE_ARMY	wh3_main_ritual_sla_gg_1	6
1292062365	DAMAGE_ARMY	wh3_main_ritual_belakor_gg_3	35
1348793886	DAMAGE_ARMY	wh3_main_ritual_belakor_gg_3_upgraded	35
137302484	SPAWN_REBELLION	wh2_dlc14_eshin_actions_payload_cause_disorder	1
1381320890	TAKE_OWNERSHIP_OF_ARMY	wh2_dlc14_eshin_actions_payload_mutiny	1
1381736808	PROCESS_BUILDING_QUEUE_IN_SETTLEMENT	wh3_main_ritual_ksl_winter_dazh_province	1
1469878549	DAMAGE_ARMY	wh2_dlc14_eshin_actions_payload_ambush_camp	10
1730975023	REVEAL_FOREIGN_SLOTS	wh2_dlc14_eshin_actions_payload_scout_province	5
1741984612	PROCESS_BUILDING_QUEUE_IN_SETTLEMENT	wh3_dlc27_hef_tyrion_imperatives_general_6	10
1742420175	LOAN_ARMY	wh3_dlc24_ritual_cth_mos_steel_army_loan_target	1
178377663	DAMAGE_ARMY	wh3_main_ritual_sla_gg_1_upgraded	6
1865553149	LOAN_ARMY	wh3_dlc27_hef_tyrion_imperatives_general_8	1
202469339	ADVANCE_RECRUITMENT	wh3_dlc25_emperors_decrees_conscription_upgraded	2
2096966195	DESTROY_FACTION	wh2_dlc14_eshin_actions_payload_decapitation	1
2118252189	DEMOLISH_REGION_SECONDARY_BUILDINGS	wh2_dlc14_eshin_actions_payload_great_fire	-1
2142766341	TAKE_OWNERSHIP_OF_SETTLEMENT	wh3_main_ritual_kho_gg_2	1
214884821	ABANDON_SETTLEMENT	wh3_main_ritual_kho_gg_4	1
328182482	ADVANCE_RECRUITMENT	wh3_dlc27_sayl_manipulations_self_recruit	1
34096736	PROCESS_BUILDING_QUEUE_IN_SETTLEMENT	wh3_dlc24_ritual_cth_mos_stone_settlement_rush_construction	9999
343333433	GRANT_PROVINCE_VISION	wh2_dlc14_eshin_actions_payload_plant_agent	20
419519958	DAMAGE_ARMY	wh3_dlc27_sayl_manipulations_force_damage	20
427107024	ABANDON_SETTLEMENT	wh3_main_ritual_kho_gg_4_upgraded	1
434300245	WOUND_CHARACTER	wh2_dlc14_eshin_actions_payload_assassination	1
502820730	ADVANCE_RECRUITMENT	wh3_dlc24_ritual_cth_mos_steel_army_rush_recruitment	1
517291213	DAMAGE_ARMY	wh3_dlc27_hef_tyrion_imperatives_alliance_4	30
589503667	DAMAGE_ARMY_NON_CHARACTER_UNITS	wh3_dlc27_hef_tyrion_imperatives_general_6	50
606947840	LOAN_ARMY	wh3_dlc25_emperors_decrees_call_to_arms	1
654138108	DEMOLISH_REGION_SECONDARY_BUILDINGS	wh2_dlc14_eshin_actions_payload_sabotage	1
693830270	GRANT_PROVINCE_VISION	wh2_dlc14_eshin_actions_payload_scout_province	5
734062996	TAKE_OWNERSHIP_OF_FOREIGN_SLOT	wh2_dlc14_eshin_actions_payload_take_under_empire	1
747506654	RESET_RELIABILITY	wh3_dlc24_ritual_cth_mos_stone_faction_treachery_reset	1
805976805	DAMAGE_ARMY	wh2_dlc14_eshin_actions_payload_fleet_bombing	100
966440450	ADVANCE_RECRUITMENT	wh3_dlc25_emperors_decrees_conscription	1
