faction	ownership_content_pack
#faction_ownership_content_pack_junctions_tables;0;db/faction_ownership_content_pack_junctions_tables/data__	
wh2_dlc09_skv_clan_rictus	wh2_tretch_free
wh2_dlc09_tmb_dune_kingdoms	wh2_tomb_kings
wh2_dlc09_tmb_exiles_of_nehek	wh2_tomb_kings
wh2_dlc09_tmb_followers_of_nagash	wh2_tomb_kings
wh2_dlc09_tmb_khemri	wh2_tomb_kings
wh2_dlc09_tmb_lybaras	wh2_tomb_kings
wh2_dlc09_tmb_numas	wh2_tomb_kings
wh2_dlc09_tmb_rakaph_dynasty	wh2_tomb_kings
wh2_dlc09_tmb_the_sentinels	wh2_tomb_kings
wh2_dlc09_tmb_tomb_kings	wh2_tomb_kings
wh2_dlc11_cst_harpoon_the_sunken_land_corsairs	wh2_dlc11_vampire_coast
wh2_dlc11_cst_noctilus_separatists	wh2_dlc11_vampire_coast
wh2_dlc11_cst_noctilus	wh2_dlc11_vampire_coast
wh2_dlc11_cst_pirates_of_sartosa_separatists	wh2_dlc11_vampire_coast
wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_vampire_coast
wh2_dlc11_cst_rogue_bleak_coast_buccaneers	wh2_dlc11_vampire_coast
wh2_dlc11_cst_rogue_boyz_of_the_forbidden_coast	wh2_dlc11_vampire_coast
wh2_dlc11_cst_rogue_freebooters_of_port_royale	wh2_dlc11_vampire_coast
wh2_dlc11_cst_rogue_grey_point_scuttlers	wh2_dlc11_vampire_coast
wh2_dlc11_cst_rogue_terrors_of_the_dark_straights	wh2_dlc11_vampire_coast
wh2_dlc11_cst_rogue_the_churning_gulf_raiders	wh2_dlc11_vampire_coast
wh2_dlc11_cst_rogue_tyrants_of_the_black_ocean	wh2_dlc11_vampire_coast
wh2_dlc11_cst_shanty_dragon_spine_privateers	wh2_dlc11_vampire_coast
wh2_dlc11_cst_shanty_middle_sea_brigands	wh2_dlc11_vampire_coast
wh2_dlc11_cst_shanty_shark_straight_seadogs	wh2_dlc11_vampire_coast
wh2_dlc11_cst_the_drowned_separatists	wh2_dlc11_vampire_coast
wh2_dlc11_cst_the_drowned	wh2_dlc11_vampire_coast
wh2_dlc11_cst_vampire_coast_encounters	wh2_dlc11_vampire_coast
wh2_dlc11_cst_vampire_coast_qb1	wh2_dlc11_vampire_coast
wh2_dlc11_cst_vampire_coast_qb2	wh2_dlc11_vampire_coast
wh2_dlc11_cst_vampire_coast_qb3	wh2_dlc11_vampire_coast
wh2_dlc11_cst_vampire_coast_qb4	wh2_dlc11_vampire_coast
wh2_dlc11_cst_vampire_coast_rebellion_rebels	wh2_dlc11_vampire_coast
wh2_dlc11_cst_vampire_coast_rebels	wh2_dlc11_vampire_coast
wh2_dlc11_cst_vampire_coast_separatists	wh2_dlc11_vampire_coast
wh2_dlc11_cst_vampire_coast	wh2_dlc11_vampire_coast
wh2_dlc11_def_the_blessed_dread	wh2_dlc11_lokhir_free
wh2_dlc11_vmp_the_barrow_legion	wh1_base_game
wh2_dlc12_grn_leaf_cutterz_tribe	wh1_base_game
wh2_dlc12_lzd_cult_of_sotek	wh2_dlc12_prophet
wh2_dlc12_skv_clan_fester	wh2_base_game
wh2_dlc12_skv_clan_mange	wh2_base_game
wh2_dlc13_emp_golden_order	wh1_base_game
wh2_dlc13_emp_the_huntmarshals_expedition	wh2_dlc13_hunter
wh2_dlc13_lzd_defenders_of_the_great_plan	wh2_base_game
wh2_dlc13_lzd_spirits_of_the_jungle	wh2_dlc13_hunter
wh2_dlc13_skv_skaven_invasion	wh2_base_game
wh2_dlc13_wef_laurelorn_forest	wh1_wood_elves
wh2_dlc14_brt_chevaliers_de_lyonesse	wh2_dlc14_repanse_free
wh2_dlc14_grn_red_cloud	wh1_base_game
wh2_dlc14_skv_rictus_clan_nest	wh2_base_game
wh2_dlc15_dwf_clan_helhein	wh1_base_game
wh2_dlc15_grn_bonerattlaz	wh1_base_game
wh2_dlc15_grn_broken_axe	wh2_dlc15_warden
wh2_dlc15_grn_skull_crag	wh1_base_game
wh2_dlc15_hef_imrik	wh2_dlc15_imrik_free
wh2_dlc15_skv_clan_ferrik	wh2_base_game
wh2_dlc15_skv_clan_kreepus	wh2_base_game
wh2_dlc16_grn_creeping_death	wh1_base_game
wh2_dlc16_grn_naggaroth_orcs	wh1_base_game
wh2_dlc16_lzd_wardens_of_the_living_pools	wh2_base_game
wh2_dlc16_skv_clan_gritus	wh2_base_game
wh2_dlc16_vmp_lahmian_sisterhood	wh1_base_game
wh2_dlc16_wef_drycha	wh1_wood_elves
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_twilight
wh2_dlc17_bst_malagor	wh1_beastmen
wh2_dlc17_bst_taurox	wh2_dlc17_silence
