agent_record_key	agent_type_key	agent_subtype_key
#cai_agent_record_to_cai_agent_type_junctions_tables;1;db/cai_agent_record_to_cai_agent_type_junctions_tables/data__		
champion	cai_agent_type_champion	
dignitary	cai_agent_type_dignitary	
engineer	cai_agent_type_engineer	
runesmith	cai_agent_type_runesmith	
engineer	cai_agent_type_self_destructive	wh2_dlc09_tmb_necrotect_ritual
engineer	cai_agent_type_self_destructive	wh2_main_skv_warlock_engineer_ritual
wizard	cai_agent_type_self_destructive	wh2_main_skv_plague_priest_ritual
spy	cai_agent_type_spy	
wizard	cai_agent_type_wizard	
