key	subculture	for_army
#military_force_legacy_names_tables;1;db/military_force_legacy_names_tables/data__		
wh2_dlc09_tmb_legacy_01	wh2_dlc09_sc_tmb_tomb_kings	true
wh2_dlc09_tmb_legacy_navy_01	wh2_dlc09_sc_tmb_tomb_kings	false
wh2_dlc11_sc_cst_vampire_coast_legacy_01	wh2_dlc11_sc_cst_vampire_coast	true
wh2_dlc11_sc_cst_vampire_coast_legacy_navy_01	wh2_dlc11_sc_cst_vampire_coast	false
wh2_main_def_legacy_01	wh2_main_sc_def_dark_elves	true
wh2_main_def_legacy_navy_01	wh2_main_sc_def_dark_elves	false
wh2_main_hef_legacy_01	wh2_main_sc_hef_high_elves	true
wh2_main_hef_legacy_navy_01	wh2_main_sc_hef_high_elves	false
wh2_main_lzd_legacy_01	wh2_main_sc_lzd_lizardmen	true
wh2_main_lzd_legacy_navy_01	wh2_main_sc_lzd_lizardmen	false
wh2_main_rogue_chaos_legacy_01	wh2_main_rogue_chaos	true
wh2_main_rogue_chaos_legacy_navy_01	wh2_main_rogue_chaos	false
wh2_main_rogue_legacy_01	wh2_main_rogue	true
wh2_main_rogue_legacy_navy_01	wh2_main_rogue	false
wh2_main_skv_legacy_01	wh2_main_sc_skv_skaven	true
wh2_main_skv_legacy_navy_01	wh2_main_sc_skv_skaven	false
wh3_main_cth_legacy_01	wh3_main_sc_cth_cathay	true
wh3_main_cth_legacy_navy_01	wh3_main_sc_cth_cathay	false
wh3_main_dae_legacy_01	wh3_main_sc_dae_daemons	true
wh3_main_dae_legacy_navy_01	wh3_main_sc_dae_daemons	false
wh3_main_kho_legacy_01	wh3_main_sc_kho_khorne	true
wh3_main_kho_legacy_navy_01	wh3_main_sc_kho_khorne	false
wh3_main_ksl_legacy_01	wh3_main_sc_ksl_kislev	true
wh3_main_ksl_legacy_navy_01	wh3_main_sc_ksl_kislev	false
wh3_main_nur_legacy_01	wh3_main_sc_nur_nurgle	true
wh3_main_nur_legacy_navy_01	wh3_main_sc_nur_nurgle	false
wh3_main_ogr_legacy_01	wh3_main_sc_ogr_ogre_kingdoms	true
wh3_main_ogr_legacy_navy_01	wh3_main_sc_ogr_ogre_kingdoms	false
wh3_main_sla_legacy_01	wh3_main_sc_sla_slaanesh	true
wh3_main_sla_legacy_navy_01	wh3_main_sc_sla_slaanesh	false
wh3_main_tze_legacy_01	wh3_main_sc_tze_tzeentch	true
wh3_main_tze_legacy_navy_01	wh3_main_sc_tze_tzeentch	false
wh_dlc03_bst_legacy_01	wh_dlc03_sc_bst_beastmen	true
wh_dlc03_bst_legacy_navy_01	wh_dlc03_sc_bst_beastmen	false
wh_dlc05_wef_legacy_01	wh_dlc05_sc_wef_wood_elves	true
wh_dlc05_wef_legacy_navy_01	wh_dlc05_sc_wef_wood_elves	false
wh_main_brt_legacy_01	wh_main_sc_brt_bretonnia	true
wh_main_brt_legacy_navy_01	wh_main_sc_brt_bretonnia	false
wh_main_chs_legacy_01	wh_main_sc_chs_chaos	true
wh_main_chs_legacy_navy_01	wh_main_sc_chs_chaos	false
wh_main_dwf_legacy_01	wh_main_sc_dwf_dwarfs	true
wh_main_dwf_legacy_navy_01	wh_main_sc_dwf_dwarfs	false
wh_main_emp_legacy_01	wh_main_sc_emp_empire	true
wh_main_emp_legacy_navy_01	wh_main_sc_emp_empire	false
wh_main_grn_legacy_01	wh_main_sc_grn_greenskins	true
wh_main_grn_legacy_01	wh_main_sc_grn_savage_orcs	true
wh_main_grn_legacy_navy_01	wh_main_sc_grn_greenskins	false
wh_main_grn_legacy_navy_01	wh_main_sc_grn_savage_orcs	false
wh_main_nor_legacy_01	wh_dlc08_sc_nor_norsca	true
wh_main_nor_legacy_navy_01	wh_dlc08_sc_nor_norsca	false
wh_main_teb_legacy_01	wh_main_sc_teb_teb	true
wh_main_teb_legacy_navy_01	wh_main_sc_teb_teb	false
wh_main_vmp_legacy_01	wh_main_sc_vmp_vampire_counts	true
wh_main_vmp_legacy_navy_01	wh_main_sc_vmp_vampire_counts	false
