agent_subtype	initiative
#ui_initiative_to_agent_subtypes_tables;0;db/ui_initiative_to_agent_subtypes_tables/data__	
wh3_dlc20_chs_daemon_prince_khorne	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_khorne_from_und
wh3_dlc20_chs_daemon_prince_khorne	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_khorne
wh3_dlc20_chs_daemon_prince_nurgle	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_nurgle_from_und
wh3_dlc20_chs_daemon_prince_nurgle	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_nurgle
wh3_dlc20_chs_daemon_prince_slaanesh	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_slaanesh_from_und
wh3_dlc20_chs_daemon_prince_slaanesh	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_slaanesh
wh3_dlc20_chs_daemon_prince_tzeentch	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_tzeentch_from_und
wh3_dlc20_chs_daemon_prince_tzeentch	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_tzeentch
wh3_dlc20_chs_daemon_prince_undivided	wh3_dlc20_character_initiative_ascend_lord_to_daemon_prince_undivided
wh3_dlc20_chs_exalted_hero_mkho	wh3_dlc20_character_initiative_devote_exalted_hero_to_khorne
wh3_dlc20_chs_exalted_hero_mnur	wh3_dlc20_character_initiative_devote_exalted_hero_to_nurgle
wh3_dlc20_chs_lord_mkho	wh3_dlc20_character_initiative_devote_lord_to_khorne
wh3_dlc20_chs_lord_msla	wh3_dlc20_character_initiative_devote_lord_to_slaanesh
wh3_dlc20_chs_sorcerer_lord_death_mnur	wh3_dlc20_character_initiative_devote_sorceror_lord_to_nurgle_death
wh3_dlc20_chs_sorcerer_lord_nurgle_mnur	wh3_dlc20_character_initiative_devote_sorceror_lord_to_nurgle_nurgle
wh3_dlc20_chs_sorcerer_lord_metal_mtze	wh3_dlc20_character_initiative_devote_sorceror_lord_to_tzeentch_metal
wh3_dlc20_chs_sorcerer_lord_tzeentch_mtze	wh3_dlc20_character_initiative_devote_sorceror_lord_to_tzeentch_tzeentch
wh3_dlc20_chs_sorcerer_shadows_msla	wh3_dlc20_character_initiative_devote_sorceror_to_slaanesh_shadows
wh3_dlc20_chs_sorcerer_slaanesh_msla	wh3_dlc20_character_initiative_devote_sorceror_to_slaanesh_slaanesh
wh3_dlc20_chs_sorcerer_metal_mtze	wh3_dlc20_character_initiative_devote_sorceror_to_tzeentch_metal
wh3_dlc20_chs_sorcerer_tzeentch_mtze	wh3_dlc20_character_initiative_devote_sorceror_to_tzeentch_tzeentch
