key	event	max_attenuation	obstruction_size	use_reverb	group_sound	only_trigger_once_per_volley	sphere_of_influence
#audio_explosions_tables;6;db/audio_explosions_tables/data__							
group	Battle_Individual_Projectile_Casket_Of_Souls_Explosion	800.0000	0.0000	true		false	large_explosion_short
none		0.0000	0.0000	false		false	
wh2_DLC15_giant_explodin_spores_explosion	Battle_IND_Magic_Giant_Explodin_Spores	350.0000	0.0000	true		false	
wh2_casket_of_souls	Battle_Individual_Projectile_Casket_Of_Souls_Explosion	800.0000	0.0000	true	wh2_grp_projectile_casket_of_souls_explosion	true	large_explosion_short
wh2_dlc09_abilities_venom_staff_impact_secondary	IND_Magic_Venom_Staff_Impact_Secondary	600.0000	0.0000	true		false	large_explosion_long
wh2_dlc10_ability_the_moonbow	Battle_IND_Magic_The_Moon_Bow_Impact	500.0000	0.0000	true		false	large_explosion_long
wh2_dlc10_dragon_breath_ice_multi		300.0000	0.0000	true	wh2_grp_projectile_dragons_breath_ice_multi_explosion	false	
wh2_dlc11_cst_necrofex_colossus_flamethrower	Battle_Individual_Projectile_Necrofex_Colossus_Flamethrower_Impact	240.0000	0.0000	true		false	
wh2_dlc11_gaseous_demise	Battle_Individual_Projectile_Gaseous_Demise_Start	400.0000	0.0000	true		true	large_explosion_short
wh2_dlc12_ability_warpstorm_doomrocket	Battle_IND_Magic_Warpstorm_Doomrocket_Impact	500.0000	0.0000	true		false	magic_global_mute_one_shot_long
wh2_dlc12_drop_sphere_of_tepok	Battle_Individual_Projectile_Sphere_Of_Tepok_Explosion	500.0000	0.0000	true		false	large_explosion_short
wh2_dlc12_salamander_fireball	Battle_Individual_Projectile_Salamander_Explosion	400.0000	0.0000	true		false	
wh2_dlc12_salamander_fireball_large		85.0000	0.0000	false		false	large_explosion_short
wh2_dlc12_solar_engine	Battle_Individual_Solar_Engine_Explosion	1200.0000	0.0000	true		false	
wh2_dlc12_thunderous_one	Battle_IND_Magic_Thunderous_One_Lightning_Impact	500.0000	0.0000	true		true	large_explosion_long
wh2_dlc12_warplightning_cannon	Battle_Individual_Explosion_Warp_Lightning_Cannon	500.0000	0.0000	true		false	
wh2_dlc13_amber_bow	Battle_IND_Magic_Amber_Bow_Impact_Cluster	350.0000	0.0000	true		true	
wh2_dlc13_arrow_of_aqshy	Battle_IND_Magic_Arrow_Of_Aqshy_Impact	350.0000	0.0000	true		false	
wh2_dlc13_big_boom	Battle_IND_Magic_Big_Boom_Impact	350.0000	0.0000	true		false	
wh2_dlc13_deathblow	Battle_IND_Magic_Deathblow_Impact	350.0000	0.0000	true		false	
wh2_dlc13_luminark	Battle_Individual_Projectile_Luminark_Explosion	1200.0000	0.0000	true		false	
wh2_dlc13_oil_flask	Battle_IND_Magic_Oil_Flask_Impact	350.0000	0.0000	true		false	
wh2_dlc14_ability_cracklebomb	Battle_IND_Magic_Cracklebomb_Impact	500.0000	0.0000	true		false	large_explosion_long
