campaign group	prison action
#campaign_group_campaign_prison_actions_tables;0;db/campaign_group_campaign_prison_actions_tables/data__	
wh2_dlc15_prison_action_execute	wh2_dlc15_prison_action_execute
wh2_dlc15_prison_action_indoctrinate	wh2_dlc15_prison_action_indoctrinate
wh2_dlc15_prison_action_interrogate_beastmen	wh2_dlc15_prison_action_interrogate_beastmen
wh2_dlc15_prison_action_interrogate_bretonnia	wh2_dlc15_prison_action_interrogate_bretonnia
wh2_dlc15_prison_action_interrogate_cathay	wh2_dlc15_prison_action_interrogate_cathay
wh2_dlc15_prison_action_interrogate_chaos_warriors	wh2_dlc15_prison_action_interrogate_chaos_warriors
wh2_dlc15_prison_action_interrogate_daemons	wh2_dlc15_prison_action_interrogate_daemons
wh2_dlc15_prison_action_interrogate_dark_elves	wh2_dlc15_prison_action_interrogate_dark_elves
wh2_dlc15_prison_action_interrogate_dwarfs	wh2_dlc15_prison_action_interrogate_dwarfs
wh2_dlc15_prison_action_interrogate_empire	wh2_dlc15_prison_action_interrogate_empire
wh2_dlc15_prison_action_interrogate_greenskins	wh2_dlc15_prison_action_interrogate_greenskins
wh2_dlc15_prison_action_interrogate_high_elves	wh2_dlc15_prison_action_interrogate_high_elves
wh2_dlc15_prison_action_interrogate_kislev	wh2_dlc15_prison_action_interrogate_kislev
wh2_dlc15_prison_action_interrogate_lizardmen	wh2_dlc15_prison_action_interrogate_lizardmen
wh2_dlc15_prison_action_interrogate_norsca	wh2_dlc15_prison_action_interrogate_norsca
wh2_dlc15_prison_action_interrogate_ogre_kingdoms	wh2_dlc15_prison_action_interrogate_ogre_kingdoms
wh2_dlc15_prison_action_interrogate_rogue_army	wh2_dlc15_prison_action_interrogate_rogue_army
wh2_dlc15_prison_action_interrogate_savage	wh2_dlc15_prison_action_interrogate_savage
wh2_dlc15_prison_action_interrogate_skaven	wh2_dlc15_prison_action_interrogate_skaven
wh2_dlc15_prison_action_interrogate_teb	wh2_dlc15_prison_action_interrogate_teb
wh2_dlc15_prison_action_interrogate_tomb_kings	wh2_dlc15_prison_action_interrogate_tomb_kings
wh2_dlc15_prison_action_interrogate_vampire_coast	wh2_dlc15_prison_action_interrogate_vampire_coast
wh2_dlc15_prison_action_interrogate_vampire_counts	wh2_dlc15_prison_action_interrogate_vampire_counts
wh2_dlc15_prison_action_interrogate_wood_elves	wh2_dlc15_prison_action_interrogate_wood_elves
