bold	key	size
#fonts_tables;0;db/fonts_tables/data__		
false	Calligraph421	10
false	Calligraph421	12
false	Calligraph421	14
false	Calligraph421	16
false	Calligraph421	18
false	Calligraph421	20
false	Calligraph421	22
false	Calligraph421	24
false	Calligraph421	26
false	Calligraph421	28
false	Calligraph421	30
false	Calligraph421	32
false	Calligraph421	34
false	Norse-Bold	10
false	Norse-Bold	12
false	Norse-Bold	14
false	Norse-Bold	16
false	Norse-Bold	18
false	Norse-Bold	50
false	Norse	10
false	Norse	12
false	Norse	14
false	Norse	16
false	brand_header	10
false	brand_header	12
false	brand_header	14
false	brand_header	16
false	brand_header	18
false	brand_header	20
false	brand_header	22
false	brand_header	24
false	brand_header	26
false	brand_header	28
false	brand_header	30
false	dev_font	10
false	dev_font	12
false	dev_font	14
false	dev_font	15
false	dev_font	16
false	dev_font	18
false	dev_font	20
false	dev_font	22
false	dev_font	24
false	georgia_italic	10
false	georgia_italic	12
false	georgia_italic	14
false	georgia_italic	16
false	georgia_italic	18
false	georgia_italic	20
false	georgia_italic	22
false	georgia_italic	24
false	georgia_italic	26
false	georgia_italic	28
false	georgia_italic	30
false	georgia_italic	32
false	georgia_italic	34
false	la_gioconda	10
false	la_gioconda	12
false	la_gioconda	14
false	la_gioconda	16
false	la_gioconda	18
false	la_gioconda	20
false	la_gioconda	22
false	la_gioconda	26
false	la_gioconda	28
false	la_gioconda	30
false	la_gioconda	32
false	la_gioconda	34
false	la_gioconda	36
false	la_gioconda	38
false	la_gioconda_uppercase	10
false	la_gioconda_uppercase	12
false	la_gioconda_uppercase	14
false	la_gioconda_uppercase	16
false	la_gioconda_uppercase	18
false	la_gioconda_uppercase	20
false	la_gioconda_uppercase	22
false	la_gioconda_uppercase	24
false	la_gioconda_uppercase	26
false	la_gioconda_uppercase	28
false	la_gioconda_uppercase	30
false	la_gioconda_uppercase	32
false	la_gioconda_uppercase	34
false	la_gioconda_uppercase	36
false	la_gioconda_uppercase	38
