key	image	max_displays	weighting	first_shown_weighting	category
#loading_screen_quotes_tables;5;db/loading_screen_quotes_tables/data__					
wh2_dlc09_hp_battle_realm_of_souls	ui/loading_ui/diagrams/battle_realm_of_souls.png	-1	1	10	battle
wh2_dlc09_hp_campaign_books_of_nagash	ui/loading_ui/diagrams/campaign_books_of_nagash.png	-1	1	10	campaign
wh2_dlc09_hp_campaign_canopic_jars	ui/loading_ui/diagrams/campaign_canopic_jars.png	-1	1	10	campaign
wh2_dlc09_hp_campaign_day_of_awakening	ui/loading_ui/diagrams/campaign_day_of_awakening.png	-1	1	10	campaign
wh2_dlc09_hp_campaign_dynasties	ui/loading_ui/diagrams/campaign_dynasties.png	-1	1	10	campaign
wh2_dlc09_hp_campaign_mortuary_cult	ui/loading_ui/diagrams/campaign_mortuary_cult.png	-1	1	10	campaign
wh2_dlc09_quest_item_lucky_skullhelm	UI/skins/default/pre_battle_items_enchanted.png	-1	1	0	quest_item
wh2_dlc09_quest_item_staff_of_nagash	UI/skins/default/pre_battle_items_arcane.png	-1	1	0	quest_item
wh2_dlc09_quest_item_the_blessed_blade_of_ptra	UI/skins/default/pre_battle_items_weapon.png	-1	1	0	quest_item
wh2_dlc09_quest_item_the_crown_of_nehekhara	UI/skins/default/pre_battle_items_enchanted.png	-1	1	0	quest_item
wh2_dlc09_quest_item_the_liche_staff	UI/skins/default/pre_battle_items_arcane.png	-1	1	0	quest_item
wh2_dlc09_quest_item_the_tomb_blade_of_arkhan	UI/skins/default/pre_battle_items_weapon.png	-1	1	0	quest_item
wh2_dlc09_quest_item_the_venom_staff	UI/skins/default/pre_battle_items_weapon.png	-1	1	0	quest_item
wh2_dlc11_hp_campaign_vampire_coast	UI\Flags\wh2_dlc11_cst_vampire_coast\mon_rotated.png	-1	1	4	campaign
wh2_dlc12_lzd_cav_ripperdactyl_riders_0	UI/units/infopics/wh2_dlc12_lzd_cav_ripperdactyl_riders.png	-1	1	3	unit
wh2_dlc12_lzd_cha_tehenhauin_0	ui/portraits/portholes/no_culture/lzd_tehenhauin_0.png	-1	1	2	generic
wh2_dlc12_lzd_cha_tiktaqto_0	ui/portraits/portholes/no_culture/lzd_tiktaqto_0.png	-1	1	2	generic
wh2_dlc12_lzd_inf_skink_red_crested_0	UI/units/infopics/wh2_dlc12_lzd_inf_red_crested_skinks.png	-1	1	3	unit
wh2_dlc12_lzd_lzd_cha_kroak_0	ui/portraits/portholes/no_culture/lzd_lord_kroak_0.png	-1	1	2	generic
wh2_dlc12_lzd_mon_ancient_salamander_0	UI/units/infopics/wh2_dlc12_lzd_mon_ancient_salamander.png	-1	1	3	unit
wh2_dlc12_lzd_mon_ancient_stegadon_1	UI/units/infopics/wh2_dlc12_lzd_mon_ancient_stegadon_engine_gods.png	-1	1	3	unit
wh2_dlc12_lzd_mon_bastiladon_3	UI/units/infopics/wh2_dlc12_lzd_mon_bastiladon_ark_of_sotek.png	-1	1	3	unit
wh2_dlc12_lzd_mon_salamander_pack_0	UI/units/infopics/wh2_dlc12_lzd_mon_salamander_hunting_pack.png	-1	1	3	unit
wh2_dlc12_skv_cha_ikit_claw_0	ui/portraits/portholes/no_culture/skv_ikit_claw_campaign_0.png	-1	1	2	generic
wh2_dlc12_skv_inf_ratling_gun_0	UI/units/infopics/wh2_dlc12_skv_ratling_gun_team.png	-1	1	3	unit
wh2_dlc12_skv_inf_warplock_jezzails_0	UI/units/infopics/wh2_dlc12_skv_warplock_jezzails.png	-1	1	3	unit
wh2_dlc12_skv_veh_doom_flayer_0	UI/units/infopics/wh2_dlc12_skv_doom_flayer.png	-1	1	3	unit
wh2_dlc13_emp_cha_markus_wulfhart_0	UI/Portraits/portholes/no_culture/emp_markus_0.png	-1	1	2	generic
