key	exit_event	enter_event
#audio_campaign_region_groups_tables;1;db/audio_campaign_region_groups_tables/data__		
Region_Group_Blood_Marsh	Campaign_Environment_Ambiences_Region_Group_Blood_Marsh_Stop	Campaign_Environment_Ambiences_Region_Group_Blood_Marsh_Play
Region_Group_Cathay	Campaign_Environment_Cathay_Grassland_Ambience_Stop	Campaign_Environment_Cathay_Grassland_Ambience_Play
Region_Group_Chaos_Dwarf_Mines	Campaign_Environment_CHD_Mines_Region_Group_Stop	Campaign_Environment_CHD_Mines_Region_Group_Play
Region_Group_Chaos_Realm	Campaign_Environment_Chaos_Realm_Ambience_Stop	Campaign_Environment_Chaos_Realm_Ambience_Play
Region_Group_Darklands	Campaign_Environment_Generic_Dark_Lands_Stop	Campaign_Environment_Generic_Dark_Lands_Play
Region_Group_Khorne	Campaign_Environment_Khorne_Ambience_Stop	Campaign_Environment_Khorne_Ambience_Play
Region_Group_Nurgle	Campaign_Environment_Nurgle_Ambience_Stop	Campaign_Environment_Nurgle_Ambience_Play
Region_Group_Slaanesh	Campaign_Environment_Slaanesh_Ambience_Stop	Campaign_Environment_Slaanesh_Ambience_Play
Region_Group_Tzeentch	Campaign_Environment_Tzeentch_Ambience_Stop	Campaign_Environment_Tzeentch_Ambience_Play
Region_Group_Vampires	Campaign_Environment_Ambiences_Region_Group_Vampires_Stop	Campaign_Environment_Ambiences_Region_Group_Vampires_Play
