key	recruitment_source	ui_recruitment_info
#mercenary_pools_tables;1;db/mercenary_pools_tables/data__		
wh2_dlc09_tmb_units_of_renown_pool		renown
wh2_dlc11_cst_units_of_renown_pool		renown
wh2_dlc11_cst_vampire_pirate_merc_pool		raise_dead
wh2_dlc11_cst_vampire_pirate_province_pool		raise_dead
wh2_dlc12_lzd_cult_of_sotek_pool		renown
wh2_dlc12_lzd_units_of_renown_pool		renown
wh2_dlc12_skv_tech_lab_pool		renown
wh2_dlc12_skv_units_of_renown_pool		renown
wh2_dlc13_emp_elector_counts_merc_pool		imperial_supply
wh2_dlc13_emp_elector_counts_merc_pool_non_replenish		imperial_supply
wh2_dlc13_emp_elector_counts_merc_pool_volkmar		imperial_supply
wh2_dlc13_emp_imperial_supply_pool		imperial_supply
wh2_dlc14_skv_units_of_renown_doppelgang_pool		renown
wh2_dlc15_grn_waaagh_pool		waaagh_units
wh2_dlc15_hef_imrik_dragon_units_of_renown_pool		renown
wh2_dlc15_hef_mistwalkers_pool		renown
wh2_dlc16_skv_throt_flesh_lab_pool		flesh_lab
wh2_dlc16_wef_drycha_province_merc_pool		raise_dead
wh2_main_def_units_of_renown_pool		renown
wh2_main_hef_units_of_renown_pool		renown
wh2_main_lzd_spawnings_pool		blessed_spawning
wh2_twa03_def_rakarth_merc_pool		monster_pen
wh3_dlc20_chs_faction_pool	daemonic_summoning	nurgle_buildings
wh3_dlc20_chs_province_pool		raise_dead
wh3_dlc20_coc_faction_pool	daemonic_summoning	nurgle_buildings
wh3_dlc20_renown_pool		renown
wh3_dlc23_chd_units_of_renown_pool		renown
wh3_dlc25_dwf_book_of_grudges_mercenary_pool	grudge_settler	dwarf_grudges_units
wh3_dlc25_dwf_malakai_feature_mercenary_pool		malakai_adventure_units
wh3_dlc25_emp_amethyst_unit_pool	amethyst_units	amethyst_units
wh3_dlc25_nur_cav_plague_drones_1_ror		renown
wh3_dlc25_nur_cav_rot_knights_ror		renown
wh3_dlc25_nur_tamurkhan_chieftains_pool	tamurkhan_chieftains	tamurkhan_chieftains
wh3_main_belakor_faction_pool	daemonic_summoning_belakor	nurgle_buildings
wh3_main_cth_units_of_renown_pool		renown
wh3_main_kho_units_of_renown_pool		renown
wh3_main_ksl_units_of_renown_pool		renown
wh3_main_nur_units		nurgle_buildings
wh3_main_nur_units_of_renown_pool		renown
wh3_main_ogr_merc_pool	ogre_mercenaries	mercenary_recruitment
wh3_main_ogr_units_of_renown_pool		renown
wh3_main_pro_ksl_ror		renown
wh3_main_sla_units_of_renown_pool		renown
wh3_main_tze_units_of_renown_pool		renown
wh_dlc01_chs_units_of_renown_pool		renown
wh_dlc03_bst_units_of_renown_pool		renown
wh_dlc04_emp_units_of_renown_pool		renown
wh_dlc04_vmp_units_of_renown_pool		renown
wh_dlc05_wef_units_of_renown_pool		renown
wh_dlc06_dwf_units_of_renown_pool		renown
wh_dlc06_grn_units_of_renown_pool		renown
wh_dlc07_brt_units_of_renown_pool		renown
wh_dlc08_monster_hunt_of_renown_pool		renown
wh_dlc08_nor_units_of_renown_pool		renown
wh_main_vmp_province_pool		raise_dead
wh_main_vmp_vampire_merc_pool		raise_dead
