agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/data__			
colonel	wh2_dlc09_rogue_black_creek_raiders	wh2_main_def_dreadlord	false
general	wh2_dlc09_rogue_black_creek_raiders	wh2_dlc14_def_high_beastmaster	false
general	wh2_dlc09_rogue_black_creek_raiders	wh2_main_def_dreadlord	false
colonel	wh2_dlc09_rogue_dwellers_of_zardok	wh_dlc03_bst_beastlord	false
general	wh2_dlc09_rogue_dwellers_of_zardok	wh2_twa04_bst_great_bray_shaman_beasts	false
general	wh2_dlc09_rogue_dwellers_of_zardok	wh2_twa04_bst_great_bray_shaman_death	false
general	wh2_dlc09_rogue_dwellers_of_zardok	wh2_twa04_bst_great_bray_shaman_shadows	false
general	wh2_dlc09_rogue_dwellers_of_zardok	wh2_twa04_bst_great_bray_shaman_wild	false
general	wh2_dlc09_rogue_dwellers_of_zardok	wh_dlc03_bst_beastlord	false
colonel	wh2_dlc09_rogue_eyes_of_the_jungle	wh_dlc05_wef_glade_lord	false
general	wh2_dlc09_rogue_eyes_of_the_jungle	wh_dlc05_wef_glade_lord	false
colonel	wh2_dlc09_rogue_pilgrims_of_myrmidia	wh_main_brt_lord	false
general	wh2_dlc09_rogue_pilgrims_of_myrmidia	wh_main_brt_lord	false
champion	wh2_dlc09_skv_clan_rictus_separatists	wh2_dlc16_skv_chieftain	false
colonel	wh2_dlc09_skv_clan_rictus_separatists	wh2_main_skv_warlord	false
engineer	wh2_dlc09_skv_clan_rictus_separatists	wh2_main_skv_warlock_engineer	false
engineer	wh2_dlc09_skv_clan_rictus_separatists	wh2_main_skv_warlock_engineer_ritual	false
general	wh2_dlc09_skv_clan_rictus_separatists	wh2_dlc09_skv_tretch_craventail	false
general	wh2_dlc09_skv_clan_rictus_separatists	wh2_dlc12_skv_warlock_master	false
general	wh2_dlc09_skv_clan_rictus_separatists	wh2_dlc14_skv_master_assassin	false
general	wh2_dlc09_skv_clan_rictus_separatists	wh2_main_skv_grey_seer_plague	false
general	wh2_dlc09_skv_clan_rictus_separatists	wh2_main_skv_grey_seer_ruin	false
general	wh2_dlc09_skv_clan_rictus_separatists	wh2_main_skv_queek_headtaker	false
general	wh2_dlc09_skv_clan_rictus_separatists	wh2_main_skv_warlord	false
minister	wh2_dlc09_skv_clan_rictus_separatists	wh2_main_skv_warlord	false
runesmith	wh2_dlc09_skv_clan_rictus_separatists	wh2_dlc16_skv_packmaster	false
spy	wh2_dlc09_skv_clan_rictus_separatists	wh2_main_skv_assassin	false
wizard	wh2_dlc09_skv_clan_rictus_separatists	wh2_dlc14_skv_eshin_sorcerer	false
wizard	wh2_dlc09_skv_clan_rictus_separatists	wh2_main_skv_plague_priest	false
wizard	wh2_dlc09_skv_clan_rictus_separatists	wh2_main_skv_plague_priest_ritual	false
champion	wh2_dlc09_skv_clan_rictus	wh2_dlc16_skv_chieftain	false
champion	wh2_dlc09_skv_clan_rictus	wh2_dlc16_skv_ghoritch	false
colonel	wh2_dlc09_skv_clan_rictus	wh2_main_skv_warlord	false
engineer	wh2_dlc09_skv_clan_rictus	wh2_main_skv_warlock_engineer	false
engineer	wh2_dlc09_skv_clan_rictus	wh2_main_skv_warlock_engineer_ritual	false
general	wh2_dlc09_skv_clan_rictus	wh2_dlc09_skv_tretch_craventail	false
general	wh2_dlc09_skv_clan_rictus	wh2_dlc12_skv_warlock_master	false
general	wh2_dlc09_skv_clan_rictus	wh2_dlc14_skv_master_assassin	false
general	wh2_dlc09_skv_clan_rictus	wh2_main_skv_grey_seer_plague	false
general	wh2_dlc09_skv_clan_rictus	wh2_main_skv_grey_seer_ruin	false
general	wh2_dlc09_skv_clan_rictus	wh2_main_skv_queek_headtaker	false
general	wh2_dlc09_skv_clan_rictus	wh2_main_skv_warlord	false
minister	wh2_dlc09_skv_clan_rictus	wh2_main_skv_warlord	false
runesmith	wh2_dlc09_skv_clan_rictus	wh2_dlc16_skv_packmaster	false
spy	wh2_dlc09_skv_clan_rictus	wh2_main_skv_assassin	false
wizard	wh2_dlc09_skv_clan_rictus	wh2_dlc14_skv_eshin_sorcerer	false
wizard	wh2_dlc09_skv_clan_rictus	wh2_main_skv_plague_priest	false
wizard	wh2_dlc09_skv_clan_rictus	wh2_main_skv_plague_priest_ritual	false
champion	wh2_dlc09_tmb_dune_kingdoms	wh2_dlc09_tmb_tomb_prince	false
colonel	wh2_dlc09_tmb_dune_kingdoms	wh2_dlc09_tmb_tomb_king	false
engineer	wh2_dlc09_tmb_dune_kingdoms	wh2_dlc09_tmb_necrotect	false
engineer	wh2_dlc09_tmb_dune_kingdoms	wh2_dlc09_tmb_necrotect_ritual	false
general	wh2_dlc09_tmb_dune_kingdoms	wh2_dlc09_tmb_tomb_king	false
minister	wh2_dlc09_tmb_dune_kingdoms	wh2_dlc09_tmb_tomb_king	false
wizard	wh2_dlc09_tmb_dune_kingdoms	wh2_dlc09_tmb_liche_priest_death	false
wizard	wh2_dlc09_tmb_dune_kingdoms	wh2_dlc09_tmb_liche_priest_light	false
wizard	wh2_dlc09_tmb_dune_kingdoms	wh2_dlc09_tmb_liche_priest_nehekhara	false
wizard	wh2_dlc09_tmb_dune_kingdoms	wh2_dlc09_tmb_liche_priest_shadow	false
champion	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_tomb_prince	false
colonel	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_tomb_king	false
engineer	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_necrotect	false
engineer	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_necrotect_ritual	false
general	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_arkhan	false
general	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_khalida	false
general	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_khatep	false
general	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_settra	false
general	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_tomb_king	false
general	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_tomb_king_alkhazzar_ii	false
general	wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_tomb_king_lahmizzash	false
