ritual	mission	target_faction
#nagash_confederation_rituals_to_missions_tables;0;db/nagash_confederation_rituals_to_missions_tables/data__		
wh3_dlc29_nag_mortarchs_arkhan	wh3_dlc29_nag_mortarchs_arkhan	wh2_dlc09_tmb_followers_of_nagash
wh3_dlc29_nag_mortarchs_dieter	wh3_dlc29_nag_mortarchs_dieter	
wh3_dlc29_nag_mortarchs_krell	wh3_dlc29_nag_mortarchs_krell	wh2_dlc11_vmp_the_barrow_legion
wh3_dlc29_nag_mortarchs_luthor	wh3_dlc29_nag_mortarchs_luthor	wh2_dlc11_cst_vampire_coast
wh3_dlc29_nag_mortarchs_mannfred	wh3_dlc29_nag_mortarchs_mannfred	wh_main_vmp_vampire_counts
wh3_dlc29_nag_mortarchs_nameless	wh3_dlc29_nag_mortarchs_nameless	
wh3_dlc29_nag_mortarchs_neferata	wh3_dlc29_nag_mortarchs_neferata	wh3_dlc29_vmp_neferata
wh3_dlc29_nag_mortarchs_vlad	wh3_dlc29_nag_mortarchs_vlad	wh_main_vmp_schwartzhafen
wh3_dlc29_nag_mortarchs_walach	wh3_dlc29_nag_mortarchs_walach	
