attribute	phase	attribute_type
#special_ability_phase_attribute_effects_tables;1;db/special_ability_phase_attribute_effects_tables/data__		
stalk	wh2_dlc09_army_abilities_sand_veil	positive
unspottable	wh2_dlc09_army_abilities_sand_veil	positive
rampage	wh2_dlc09_character_abilities_curse_of_djaf	positive
stalk	wh2_dlc09_character_abilities_stay_here_ill_get_help_miscast	positive
unspottable	wh2_dlc09_character_abilities_stay_here_ill_get_help_miscast	positive
causes_terror	wh2_dlc09_character_abilities_strike_of_nagash	positive
causes_terror	wh2_dlc09_character_abilities_strike_of_nehekhara	positive
causes_terror	wh2_dlc09_character_abilities_strike_of_tombs	positive
stalk	wh2_dlc09_item_abilities_cloak_of_the_dunes	positive
unspottable	wh2_dlc09_item_abilities_cloak_of_the_dunes	positive
stalk	wh2_dlc09_quest_passive_full_hide	positive
unspottable	wh2_dlc09_quest_passive_full_hide	positive
stalk	wh2_dlc10_item_abilities_speed_of_lykos	positive
unspottable	wh2_dlc10_item_abilities_speed_of_lykos	positive
rampage	wh2_dlc10_lord_abilities_gaze_of_khaine	positive
snipe	wh2_dlc10_lord_abilities_mislead	positive
stalk	wh2_dlc10_lord_abilities_mislead	positive
unspottable	wh2_dlc10_lord_abilities_mislead	positive
immune_to_psychology	wh2_dlc10_lord_passive_boon_of_isha	positive
rampage	wh2_dlc10_quest_abilities_insane_head	positive
unbreakable	wh2_dlc10_unit_passive_unbreakable_hidden	positive
fatigue_immune	wh2_dlc10_weapon_passive_ironwardens_hammer	positive
causes_terror	wh2_dlc10_weapon_passive_shadow_of_khaine	positive
unbreakable	wh2_dlc10_weapon_passive_shadow_of_khaine	positive
unbreakable	wh2_dlc11_item_abilities_moonshine	positive
silenced	wh2_dlc11_unit_contact_disrupted	positive
strider	wh2_dlc12_item_passive_braid_of_bordeleaux	positive
rampage	wh2_dlc12_lord_abilities_focus_instincts	negative
unbreakable	wh2_dlc12_lord_passive_adrenaline_rush	positive
cannot_die	wh2_dlc12_unit_abilities_refuse_to_die	positive
rampage	wh2_dlc12_unit_abilities_toad_rage	positive
immune_to_psychology	wh2_dlc12_unit_passive_demagoguery	positive
invulnerable	wh2_dlc13_army_abilities_protection_of_quetzl_upgraded	positive
