missile_weapon	projectile
#missile_weapons_to_projectiles_tables;0;db/missile_weapons_to_projectiles_tables/data__	
wh2_dlc16_hef_sisters_of_twilight_bow	wh2_dlc16_wef_talon_of_dusk_arrow
wh2_main_def_reaper_bolt_thrower_bolt	wh2_main_def_reaper_bolt_thrower_bolt_spread
wh2_main_hef_eagle_claw_bolt	wh2_main_hef_eagle_claw_bolt_spread
wh2_twa03_def_reaper_bolt_thrower_bolt_suppressing	wh2_twa03_def_reaper_bolt_thrower_bolt_spread_suppressing
wh3_dlc23_chd_veh_deathshrieker_rocket_primary	wh3_dlc23_chd_deathshrieker_rocket_demolition
wh3_dlc23_chd_veh_deathshrieker_rocket_secondary	wh3_dlc23_chd_deathshrieker_rocket_demolition
wh3_dlc25_dwf_cannon_grapeshot	wh3_dlc25_dwf_cannon_ball_grapeshot
wh3_dlc25_emp_cannon_hammer_witches_upgraded	wh3_dlc25_emp_great_cannon_hammer_witches_grape_shot
wh3_dlc25_emp_cannon_upgraded	wh3_dlc25_great_cannon_grape_shot
wh_main_emp_rifle_repeater_upgraded_engineer	wh3_dlc25_emp_rifle_repeater_bullet_upgraded_engineer_exploding
