key	move_points	line_of_sight	playable	url?	primary_attribute	faction_total_cap	in_encyclopedia	portrait override?
#agents_tables;0;db/agents_tables/data__								
champion	3500	14	true		zeal	100	true	
colonel	3500	14	true		zeal	-1	false	
dignitary	3500	14	true		authority	100	true	
engineer	3500	14	true		zeal	100	true	
general	4200	14	true		authority	100	true	
minister	0	0	false		authority	-1	false	
runesmith	3500	14	true		subterfuge	100	true	
spy	3500	14	true		subterfuge	100	true	
wizard	3500	14	true		authority	100	true	
