key	event_start	event_stop	limitation_scale	use_obstruction	use_reverb	rtpc_1_name	rtpc_1_assignment	rtpc_2_name	rtpc_2_assignment	switch_1	doppler_rtpc_name	culling_distance	x_offset	y_offset	z_offset
#audio_entity_looping_sounds_tables;6;db/audio_entity_looping_sounds_tables/data__															
wh2_dlc09_chariot_arkhan_idle	Battle_Individual_Artillery_Arkhan_Chariot_Idle_Start	Battle_Individual_Artillery_Arkhan_Chariot_Idle_Stop	1.0000	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited		140.0000	0.0000	0.0000	0.0000
wh2_dlc09_chariot_arkhan_movement	Battle_Individual_Artillery_Arkhan_Chariot_Movement_Start	Battle_Individual_Artillery_Arkhan_Chariot_Movement_Stop	1.0000	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited		140.0000	0.0000	0.0000	0.0000
wh2_dlc09_chariot_arkhan_movement_rotation	Battle_Individual_Artillery_Arkhan_Chariot_Movement_Rotation_Start	Battle_Individual_Artillery_Arkhan_Chariot_Movement_Rotation_Stop	1.0000	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited		140.0000	0.0000	0.0000	0.0000
wh2_dlc09_chariot_settra_idle	Battle_Individual_Artillery_Settra_Chariot_Idle_Start	Battle_Individual_Artillery_Settra_Chariot_Idle_Stop	1.0000	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited		140.0000	0.0000	0.0000	0.0000
wh2_dlc09_chariot_settra_movement	Battle_Individual_Artillery_Settra_Chariot_Movement_Start	Battle_Individual_Artillery_Settra_Chariot_Movement_Stop	1.0000	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited		140.0000	0.0000	0.0000	0.0000
wh2_dlc09_chariot_settra_movement_rotation	Battle_Individual_Artillery_Settra_Chariot_Movement_Rotation_Start	Battle_Individual_Artillery_Settra_Chariot_Movement_Rotation_Stop	1.0000	false	true	Battle_War_Machine_Speed	Entity_Speed_Total			Battle_Ground_Type_Limited		140.0000	0.0000	0.0000	0.0000
wh2_dlc09_constructs_shimmer_idle	Battle_Individual_Foley_Tomb_Kings_Constructs_Shimmer_Start	Battle_Individual_Foley_Tomb_Kings_Constructs_Shimmer_Stop	1.0000	false	true							60.0000	0.0000	0.0000	0.0000
wh2_dlc09_constructs_shimmer_small_idle	Battle_Individual_Foley_Tomb_Kings_Constructs_Shimmer_Small_Start	Battle_Individual_Foley_Tomb_Kings_Constructs_Shimmer_Small_Stop	0.0000	false	true							40.0000	0.0000	0.0000	0.0000
wh2_dlc12_ikit_jetpack_idle	Battle_IND_Ikit_Claw_Jetpack_Idle_play	Battle_IND_Ikit_Claw_Jetpack_Idle_stop	1.0000	false	false							75.0000	0.0000	0.0000	0.0000
