environment	one_shot	type
#audio_battle_environment_one_shot_junctions_tables;0;db/audio_battle_environment_one_shot_junctions_tables/data__		
beastmen_subterranean_forest	WH3_Generic_Forest_Oneshot_Branch_Snap	main
beastmen_subterranean_forest	WH3_Generic_Forest_Oneshot_Tree_Creaks	main
beastmen_subterranean_forest	beastmen_wildlife	main
beastmen	beastmen_wildlife	main
bretonnia_cold	tomb_kings_desert_primary_nature_one_shots	main
bretonnia_cold	tomb_kings_desert_primary_wildlife_birds	main
bretonnia_cold	tomb_kings_desert_primary_wildlife_insects	main
bretonnia_cold	tomb_kings_desert_secondary_nature_one_shots	main
bretonnia_cold	tomb_kings_desert_secondary_wildlife_insects	main
bretonnia	vampire_coast_desert_island_forest_nature	forest
bretonnia	vampire_coast_desert_island_forest_wildlife	forest
bretonnia	vampire_coast_desert_island_plains_nature	main
bretonnia	vampire_coast_desert_island_plains_wildlife	main
bretonnia	vampire_coast_desert_island_sea_wildlife	sea
cathay	WH3_Faction_Cathay_Forest_Oneshot_Branches_A	forest
cathay	WH3_Faction_Cathay_Forest_Oneshot_Branches_B	forest
cathay	WH3_Faction_Cathay_Forest_Oneshot_Branches_C	forest
cathay	WH3_Faction_Cathay_Forest_Oneshot_Monkey_A	forest
cathay	WH3_Faction_Cathay_Forest_Oneshot_Monkey_B	forest
cathay	WH3_Faction_Cathay_Primary_Oneshot_Bamboo	main
cathay	WH3_Faction_Cathay_Primary_Oneshot_Flute_Swell	main
cathay	WH3_Faction_Cathay_Primary_Oneshot_Rock_Landslide	main
cathay	WH3_Faction_Cathay_Wildlife_Oneshot_Bear	main
cathay	WH3_Faction_Cathay_Wildlife_Oneshot_Dragon	main
cathay	WH3_Faction_Cathay_Wildlife_Oneshot_Monkey	main
cathay	WH3_Faction_Cathay_Wildlife_Oneshot_Parakeet	main
cave	WH3_Generic_Caves_Forest_Oneshot	forest
cave	WH3_Generic_Cave_Primary_Oneshot_Debris	main
cave	WH3_Generic_Cave_Primary_Oneshot_Explosion	main
cave	WH3_Generic_Cave_Primary_Oneshot_High	main
cave	WH3_Generic_Cave_Primary_Oneshot_Mining	main
cave	WH3_Generic_Cave_Primary_Oneshot_Sweetener_Low	main
cave	WH3_Generic_Cave_Wildlife_Oneshot_Misc_01	main
cave	WH3_Generic_Cave_Wildlife_Oneshot_Misc_02	main
chaos_volcanic	WH3_Generic_Volcanic_Forest_Oneshot_Branch_Snap	forest
chaos_volcanic	WH3_Generic_Volcanic_Forest_Oneshot_Pig	forest
chaos_volcanic	WH3_Generic_Volcanic_Forest_Oneshot_Tree_Creak	forest
chaos_volcanic	WH3_Generic_Volcanic_Forest_Oneshot_Vulture_Cluck	forest
chaos_volcanic	WH3_Faction_Khorne_Primary_Oneshot_Earth_Crack	main
chaos_volcanic	WH3_Generic_Volcanic_Primary_Oneshot_Low	main
chaos_volcanic	WH3_Generic_Volcanic_Primary_Oneshot_Quake	main
chaos_volcanic	WH3_Generic_Volcanic_Primary_Oneshot_Thunder	main
chaos_volcanic	WH3_Generic_Volcanic_Wildlife_Oneshot_Scream	main
chaos_volcanic	WH3_Generic_Volcanic_Wildlife_Oneshot_Serpent	main
chaos_volcanic	WH3_Generic_Volcanic_Wildlife_Oneshot_Vulture	main
chaos	WH3_Faction_Khorne_Forest_Oneshot_Vulture_Cluck	forest
chaos	WH3_Faction_Khorne_Forest_Oneshot_Vulture_Scream	forest
chaos	WH3_Faction_Khorne_Forest_Oneshot_Wood_Creature	forest
chaos	WH3_Faction_Khorne_Forest_Oneshot_Wood_Movement	forest
chaos	WH3_Faction_Khorne_Forest_Oneshot_Wood_Snaps	forest
chaos	WH3_Faction_Khorne_Primary_Oneshot_Earth_Crack	main
chaos	WH3_Faction_Khorne_Primary_Oneshot_Flame_Burst	main
chaos	WH3_Faction_Khorne_Primary_Oneshot_Lava_Gurgle	main
chaos	WH3_Faction_Khorne_Primary_Oneshot_Volcano_Distant	main
chaos	WH3_Faction_Khorne_Primary_Oneshot_Volcano_Explosion	main
chaos	WH3_Faction_Khorne_Wildlife_Oneshot_Giant_Spider	main
chaos	WH3_Faction_Khorne_Wildlife_Oneshot_Mutant_Bull	main
chaos	WH3_Faction_Khorne_Wildlife_Oneshot_Pig	main
chaos	WH3_Faction_Khorne_Wildlife_Oneshot_Three_Headed_Hound	main
chaos	WH3_Faction_Khorne_Wildlife_Oneshot_Vulture_A	main
chaos	WH3_Faction_Khorne_Wildlife_Oneshot_Vulture_B	main
climate_darklands	WH3_Generic_Forest_Oneshot_Branch_Snap	forest
climate_darklands	WH3_Generic_Forest_Oneshot_Foliage_Movement	forest
climate_darklands	WH3_Generic_Forest_Oneshot_Tree_Creaks	forest
climate_desert	climate_desert_forest_oneshot_animals	forest
climate_desert	climate_desert_forest_oneshot_insects	forest
climate_desert	climate_desert_forest_oneshot_nature	forest
dark_elves_beach	dark_elves_beach_forest_nature_one_shots	forest
dark_elves_beach	dark_elves_beach_forest_wildlife_birds	forest
dark_elves_beach	dark_elves_beach_forest_wildlife_distant	forest
dark_elves_beach	dark_elves_beach_forest_wildlife_insects	forest
dark_elves_beach	dark_elves_beach_forest_wildlife_mammals	forest
dark_elves_beach	dark_elves_beach_primary_wildlife_birds	main
dark_elves_beach	dark_elves_beach_primary_wildlife_insects	main
dark_elves_cold	dark_elves_cold_forest_nature_one_shots	forest
dark_elves_cold	dark_elves_cold_forest_wildlife_birds	forest
dark_elves_cold	dark_elves_cold_forest_wildlife_close	forest
dark_elves_cold	dark_elves_cold_forest_wildlife_mammals	forest
dark_elves_cold	dark_elves_cold_primary_nature_one_shots_01	main
dark_elves_cold	dark_elves_cold_primary_nature_one_shots_02	main
dark_elves_cold	dark_elves_cold_primary_wildlife_birds	main
dark_elves_cold	dark_elves_cold_primary_wildlife_mammals	main
dark_elves_desert	dark_elves_desert_forest_nature_one_shots	forest
dark_elves_desert	dark_elves_desert_forest_wildlife_birds	forest
dark_elves_desert	dark_elves_desert_forest_wildlife_insects	forest
dark_elves_desert	dark_elves_desert_forest_wildlife_mammals	forest
dark_elves_desert	dark_elves_desert_primary_nature_one_shots	main
dark_elves_desert	dark_elves_desert_primary_wildlife_birds	main
dark_elves_desert	dark_elves_desert_primary_wildlife_insects	main
dark_elves_desert	dark_elves_desert_primary_wildlife_mammals	main
dark_elves_hills	dark_elves_hills_forest_nature_one_shots	forest
dark_elves_hills	dark_elves_hills_forest_wildlife_birds	forest
dark_elves_hills	dark_elves_hills_forest_wildlife_distant	forest
dark_elves_hills	dark_elves_hills_forest_wildlife_insects	forest
dark_elves_hills	dark_elves_hills_forest_wildlife_mammals	forest
dark_elves_hills	dark_elves_hills_primary_wildlife_birds	main
dark_elves_marsh	dark_elves_marsh_forest_nature_one_shots	forest
dark_elves_marsh	dark_elves_marsh_forest_wildlife_birds	forest
dark_elves_marsh	dark_elves_marsh_forest_wildlife_insects	forest
dark_elves_marsh	dark_elves_marsh_forest_wildlife_mammals	forest
dark_elves_marsh	dark_elves_marsh_primary_nature_one_shots	main
dark_elves_marsh	dark_elves_marsh_primary_wildlife_birds	main
dark_elves_marsh	dark_elves_marsh_primary_wildlife_insects	main
dark_elves_marsh	dark_elves_marsh_primary_wildlife_mammals	main
dark_elves_qb_altar_of_darkness	dark_elves_cold_forest_nature_one_shots	forest
dark_elves_qb_altar_of_darkness	dark_elves_cold_forest_wildlife_birds	forest
dark_elves_qb_altar_of_darkness	dark_elves_cold_forest_wildlife_close	forest
dark_elves_qb_altar_of_darkness	dark_elves_cold_forest_wildlife_mammals	forest
dark_elves_qb_altar_of_darkness	dark_elves_cold_primary_nature_one_shots_01	main
dark_elves_qb_altar_of_darkness	dark_elves_cold_primary_nature_one_shots_02	main
dark_elves_qb_altar_of_darkness	dark_elves_cold_primary_wildlife_birds	main
dark_elves_qb_altar_of_darkness	dark_elves_cold_primary_wildlife_mammals	main
dark_elves_volcanic_forest	dark_elves_volcanic_forest_nature_one_shots	forest
dark_elves_volcanic_forest	dark_elves_volcanic_forest_wildlife_birds	forest
dark_elves_volcanic_forest	dark_elves_volcanic_forest_wildlife_mammals	forest
dark_elves_volcanic_forest	dark_elves_volcanic_primary_nature_one_shots_01	main
dark_elves_volcanic_forest	dark_elves_volcanic_primary_nature_one_shots_02	main
dark_elves_volcanic_forest	dark_elves_volcanic_primary_wildlife_mammals	main
dark_elves_volcanic_lava_river	dark_elves_volcanic_forest_nature_one_shots	forest
dark_elves_volcanic_lava_river	dark_elves_volcanic_forest_wildlife_birds	forest
dark_elves_volcanic_lava_river	dark_elves_volcanic_forest_wildlife_mammals	forest
dark_elves_volcanic_lava_river	dark_elves_volcanic_primary_nature_one_shots_01	main
dark_elves_volcanic_lava_river	dark_elves_volcanic_primary_nature_one_shots_02	main
dark_elves_volcanic_lava_river	dark_elves_volcanic_primary_wildlife_birds	main
dark_elves_volcanic_lava_river	dark_elves_volcanic_primary_wildlife_mammals	main
dark_elves_volcanic	dark_elves_volcanic_forest_nature_one_shots	forest
dark_elves_volcanic	dark_elves_volcanic_forest_wildlife_birds	forest
dark_elves_volcanic	dark_elves_volcanic_forest_wildlife_mammals	forest
dark_elves_volcanic	dark_elves_volcanic_primary_nature_one_shots_01	main
dark_elves_volcanic	dark_elves_volcanic_primary_nature_one_shots_02	main
dark_elves_volcanic	dark_elves_volcanic_primary_wildlife_birds	main
dark_elves_volcanic	dark_elves_volcanic_primary_wildlife_mammals	main
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_forest_nature_one_shots	forest
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_forest_wildlife_birds	forest
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_forest_wildlife_mammals	forest
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_primary_nature_one_shots_01	main
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_primary_nature_one_shots_02	main
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_primary_wildlife_birds	main
dlc10_dark_elves_qb_shrine_of_khaine	dark_elves_volcanic_primary_wildlife_mammals	main
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_nature_one_shots	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_wildlife_birds	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_wildlife_distant	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_wildlife_insects	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_forest_wildlife_mammals	forest
dlc10_dark_elves_qb_the_moonbow	dark_elves_hills_primary_wildlife_birds	main
dlc10_dark_elves_qb_the_moonbow	weather_thunder_low	static
dlc10_high_elves_qb_shadow_realm	dark_elves_beach_forest_wildlife_birds	forest
dlc10_high_elves_qb_shadow_realm	dark_elves_beach_forest_wildlife_mammals	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_forest_nature_one_shots	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_forest_wildlife_distant	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_forest_wildlife_insects	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_forest_wildlife_mammals	forest
dlc10_high_elves_qb_shadow_realm	high_elves_hills_primary_wildlife_birds	main
dlc10_high_elves_qb_star_of_avelorn	nordic_wildlife	main
dlc11_coast_desert_island	vampire_coast_tropical_island_forest_nature	forest
dlc11_coast_desert_island	vampire_coast_tropical_island_forest_wildlife	forest
dlc11_coast_desert_island	vampire_coast_tropical_island_plains_nature	main
dlc11_coast_desert_island	vampire_coast_tropical_island_plains_wildlife	main
dlc11_coast_desert_island	vampire_coast_tropical_island_sea_wildlife	sea
dlc11_coast_final_battle	vampire_coast_final_battle_plains_nature	main
dlc11_coast_final_battle	vampire_coast_final_battle_plains_wildlife	main
dlc11_coast_galleons_graveyard	vampire_coast_galleons_graveyard_plains_nature	main
dlc11_coast_galleons_graveyard	vampire_coast_galleons_graveyard_plains_wildlife	main
dlc11_coast_galleons_graveyard	vampire_coast_galleons_graveyard_sea_wildlife	sea
dlc11_coast_rocky_island	vampire_coast_desert_island_forest_nature	forest
dlc11_coast_rocky_island	vampire_coast_desert_island_forest_wildlife	forest
dlc11_coast_rocky_island	vampire_coast_desert_island_plains_nature	main
dlc11_coast_rocky_island	vampire_coast_desert_island_plains_wildlife	main
dlc11_coast_rocky_island	vampire_coast_desert_island_sea_wildlife	sea
dlc11_coast_snowy_island	vampire_coast_snowy_island_forest_nature	forest
dlc11_coast_snowy_island	vampire_coast_snowy_island_forest_wildlife	forest
dlc11_coast_snowy_island	vampire_coast_snowy_island_plains_nature	main
dlc11_coast_snowy_island	vampire_coast_snowy_island_plains_wildlife	main
dlc11_coast_snowy_island	vampire_coast_snowy_island_sea_wildlife	sea
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_jungle_forest_nature_one_shots	forest
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_jungle_forest_wildlife_birds	forest
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_jungle_forest_wildlife_distant	forest
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_jungle_forest_wildlife_insects	forest
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_jungle_forest_wildlife_mammals	forest
dlc12_lizardmen_qb_lord_kroak_mountain	lizardmen_mountain_primary_wildlife_one_shots	main
dlc12_lizardmen_qb_lord_kroak_mountain	weather_thunder_low	static
dlc12_lizardmen_qb_mask_of_heavens	lizardmen_mountain_forest_wildife_one_shots	forest
dlc12_lizardmen_qb_mask_of_heavens	lizardmen_mountain_primary_wildlife_one_shots	main
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_jungle_forest_nature_one_shots	forest
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_jungle_forest_wildlife_birds	forest
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_jungle_forest_wildlife_distant	forest
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_jungle_forest_wildlife_insects	forest
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_jungle_forest_wildlife_mammals	forest
dlc12_lizardmen_qb_plaque_of_sotek	lizardmen_mountain_primary_wildlife_one_shots	main
dlc12_lizardmen_qb_plaque_of_sotek	weather_thunder_high	static
dlc12_prophet_grassy_island	empire_wildlife	forest
dlc12_prophet_grassy_island	high_elves_beach_forest_nature_one_shots	forest
dlc12_prophet_grassy_island	high_elves_beach_forest_wildlife_mammals	main
dlc12_prophet_grassy_island	high_elves_hills_forest_wildlife_distant	main
dlc12_prophet_grassy_island	high_elves_hills_forest_wildlife_insects	main
dlc12_prophet_grassy_island	high_elves_hills_primary_wildlife_birds	main
dlc12_prophet_grassy_island	high_elves_beach_forest_wildlife_mammals	sea
dlc12_prophet_tropical_island	lizardmen_jungle_forest_nature_one_shots	forest
