payload	target_token_types	component_type	is_number_of_targets_optional	number_of_targets	specific_target_token
#campaign_payload_chaotic_plan_targeting_components_tables;1;db/campaign_payload_chaotic_plan_targeting_components_tables/data__					
wh3_dlc29_any_red_alarm_action_cost_1_payoff_remove	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_alarm_action_cost_1
wh3_dlc29_any_red_alarm_action_cost_2_payoff_remove	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_alarm_action_cost_2
wh3_dlc29_any_red_eshin_alarm_payoff_1_remove	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_eshin_alarm_1
wh3_dlc29_any_red_mors_alarm_payoff_1_remove	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_mors_alarm_1
wh3_dlc29_any_red_moulder_alarm_payoff_1_remove	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_moulder_alarm_1
wh3_dlc29_any_red_pestilens_alarm_payoff_1_remove	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_pestilens_alarm_1
wh3_dlc29_any_red_rictus_alarm_payoff_1_remove	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_rictus_alarm_1
wh3_dlc29_any_red_rival_grey_seer_alarm_payoff_1_remove	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_rival_grey_seer_alarm_1
wh3_dlc29_any_red_skryre_alarm_payoff_1_remove	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_skryre_alarm_1
wh3_dlc29_purple_economic_dangerous_treasury_target	all_tokens	chaotic_plan_target_specific_token	false	1	wh3_dlc29_purple_economic_dangerous_treasury
wh3_dlc29_purple_economic_dangerous_warpstone_target	all_tokens	chaotic_plan_target_specific_token	false	1	wh3_dlc29_purple_economic_dangerous_warpstone
wh3_dlc29_purple_military_reinforcements_target	all_tokens	chaotic_plan_target_specific_token	false	1	wh3_dlc29_purple_military_reinforcements
wh3_dlc29_skv_select_lab	all_tokens	chaotic_plan_target_tokens_and_wait_for_selected_replacements	false	1	wh3_dlc29_purple_military_lab_1
wh3_dlc29_skv_select_mercenaries	all_tokens	chaotic_plan_target_tokens_and_wait_for_selected_replacements	false	1	wh3_dlc29_purple_military_mercenaries_1
wh3_dlc29_skv_target_green_1	green	chaotic_plan_target_tokens	false	1	
wh3_dlc29_skv_target_green_2	green	chaotic_plan_target_tokens	false	2	
wh3_dlc29_skv_target_green_3	green	chaotic_plan_target_tokens	false	3	
wh3_dlc29_skv_target_green_to_replace_from_set	green	chaotic_plan_target_tokens_and_wait_for_selected_replacements	false	1	
wh3_dlc29_skv_target_plague_1_elite	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_plague_elite_1
wh3_dlc29_skv_target_plague_1	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_plague_1
wh3_dlc29_skv_target_plague_2_elite	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_plague_elite_2
wh3_dlc29_skv_target_plague_2	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_plague_2
wh3_dlc29_skv_target_plague_3_elite	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_plague_elite_3
wh3_dlc29_skv_target_plague_3	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_plague_3
wh3_dlc29_skv_target_positive_optional_2	green	chaotic_plan_target_tokens	true	2	
wh3_dlc29_skv_target_positive_optional_3	green	chaotic_plan_target_tokens	true	3	
wh3_dlc29_skv_target_positive_optional_4	green	chaotic_plan_target_tokens	true	4	
wh3_dlc29_skv_target_positive_optional_5	green	chaotic_plan_target_tokens	true	5	
wh3_dlc29_skv_target_red_1	red	chaotic_plan_target_tokens	false	1	
wh3_dlc29_skv_target_red_eshin	red	chaotic_plan_target_specific_token	false	1	wh3_dlc29_any_red_eshin_alarm_1
wh3_dlc29_target_military_action_bounty_chieftain_0	all_tokens	chaotic_plan_target_specific_token	false	1	wh3_dlc29_military_purple_bounty_chieftain_0
wh3_dlc29_target_military_action_bounty_chieftain_1	all_tokens	chaotic_plan_target_specific_token	false	1	wh3_dlc29_military_purple_bounty_chieftain_1
wh3_dlc29_target_military_action_bounty_packmaster_0	all_tokens	chaotic_plan_target_specific_token	false	1	wh3_dlc29_military_purple_bounty_packmaster_0
wh3_dlc29_target_military_action_bounty_packmaster_2	all_tokens	chaotic_plan_target_specific_token	false	1	wh3_dlc29_military_purple_bounty_packmaster_2
wh3_dlc29_target_military_action_bounty_plague_priest_0	all_tokens	chaotic_plan_target_specific_token	false	1	wh3_dlc29_military_purple_bounty_plague_priest_0
wh3_dlc29_target_military_action_bounty_plague_priest_2	all_tokens	chaotic_plan_target_specific_token	false	1	wh3_dlc29_military_purple_bounty_plague_priest_2
wh3_dlc29_target_military_action_bounty_warlock_engineer	all_tokens	chaotic_plan_target_specific_token	false	1	wh3_dlc29_military_purple_bounty_warlock_engineer
