building_chain	ownership_content_pack
#building_chain_ownership_content_pack_junctions_tables;0;db/building_chain_ownership_content_pack_junctions_tables/data__	
wh2_dlc10_hef_aesanar_camp	wh2_dlc10_alith_anar_free
wh2_dlc10_hef_handmaidens_alarielle	wh2_dlc10_queen_crone
wh2_dlc10_hef_handmaidens	wh2_dlc10_queen_crone
wh2_main_lzd_terradons_tiktakto	wh2_dlc12_tiktaqto_free
wh3_dlc24_ksl_woods	wh3_dlc24_shadows_of_change
wh3_dlc24_ksl_woods	wh3_dlc24_shadows_of_change_ksl
wh3_dlc27_hef_dragonship_aoe	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_hef_dragonship_aquatic	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_hef_dragonship_artillery	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_hef_dragonship_barracks	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_hef_dragonship_beasts	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_hef_dragonship_dragons	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_hef_dragonship_extra	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_hef_dragonship_main_building_aislinn	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_hef_dragonship_main_building	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_hef_dragonship_navigation	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_hef_dragonship_respite	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_hef_dragonship_treasury	wh3_dlc27_tides_of_torment_hef
wh3_dlc27_hef_dragonship_xp	wh3_dlc27_tides_of_torment_hef
wh_dlc06_DWARFS_ranger_hub_all	wh1_lords_and_units_2
wh_dlc06_DWARFS_ranger_hub	wh1_lords_and_units_2
