key	icon
#ui_info_ritual_target_criterias_tables;0;db/ui_info_ritual_target_criterias_tables/data__	
faction_allied	
faction_excluding_self	
faction_neutral_or_enemy	
force	
force_any	
force_any_but_self	
force_any_but_self_land	
force_any_land	
force_enemy	
force_enemy_land	
force_enemy_own_territory	
force_enemy_same_region	enemy
force_enemy_same_region_legendary_lords_excluded	enemy
force_enemy_ungarrisoned	enemy
force_foreign	
force_foreign_same_region	UI\skins\default\dlc25_college_of_magic\target_icon.png
force_foreign_same_region_si	UI\skins\default\dlc25_college_of_magic\target_icon.png
force_hef_no_war_no_legendary	
force_mage_archmage_beasts	ui\skins\default\icon_wh_main_lore_beasts.png
force_mage_archmage_death	ui\skins\default\icon_wh_main_lore_death.png
force_mage_archmage_fire	ui\skins\default\icon_wh_main_lore_fire.png
force_mage_archmage_heavens	ui\skins\default\icon_wh_main_lore_heavens.png
force_mage_archmage_life	ui\skins\default\icon_wh_main_lore_life.png
force_mage_archmage_light	ui\skins\default\icon_wh_main_lore_light.png
force_mage_archmage_metal	ui\skins\default\icon_wh_main_lore_metal.png
force_mage_archmage_shadows	ui\skins\default\icon_wh_main_lore_shadow.png
force_neutral_allied	
force_own	
force_own_10_min	
force_own_1_marauder_minimum	
force_own_allied	
force_own_allied_friendly_territory	
force_own_black_ark	
force_own_enemy_territory	
force_own_enemy_territory_not_besieging	
force_own_land	UI\skins\default\dlc25_college_of_magic\target_icon.png
force_own_ungarrisoned	
force_teclis	UI\Flags\wh2_main_hef_order_of_loremasters\mon_24.png
region	
region_any	
region_any_but_self	
region_any_port	
region_enemy	
region_enemy_walled	
region_foreign	
region_hef_no_war	
region_hef_no_war_or_siege	
region_neutral_ally	UI\skins\default\dlc25_college_of_magic\target_icon.png
region_neutral_ally_no_cults	UI\skins\default\dlc25_college_of_magic\target_icon.png
region_own	
region_own_tier_3_major	
skv_under_empire	UI\skins\default\icon_under_empire.png
