colour	culture	bmd	environment	agent_subtype_override
#campaign_battle_scenes_tables;2;db/campaign_battle_scenes_tables/data__				
100		prefabs/campaign/kislev_battle.bmd	Weather/campaign/chaos/kislev.environment	
102		prefabs/campaign/kislev_battle.bmd	Weather/campaign/combi/kislev.environment	
105		prefabs/campaign/kho_battle.bmd	Weather/campaign/chaos/khorne.environment	
109		prefabs/campaign/prologue_chs_wastes_battle_snow.bmd	Weather/campaign/prologue/prologue_midsnow.environment	wh3_prologue_general_test
11		prefabs/campaign/chaos_battle.bmd	Weather/campaign/chaos/chaos.environment	
110		prefabs/campaign/prologue_chs_wastes_battle.bmd	Weather/campaign/prologue/prologue_khorne.environment	wh3_prologue_general_test
111		prefabs/campaign/empire_battle.bmd	Weather/campaign/chaos/empire.environment	
111	wh2_main_skv_skaven	prefabs/campaign/skaven_battle.bmd	Weather/campaign/chaos/empire.environment	
111	wh_dlc03_bst_beastmen	prefabs/campaign/beastmen_battle.bmd	Weather/campaign/chaos/empire.environment	
111	wh_dlc05_wef_wood_elves	prefabs/campaign/woodelf_battle.bmd	Weather/campaign/chaos/empire.environment	
111	wh_main_brt_bretonnia	prefabs/campaign/bretonnia_battle.bmd	Weather/campaign/combi/bretonnia.environment	
111	wh_main_chs_chaos	prefabs/campaign/chaos_battle.bmd	Weather/campaign/chaos/chaos.environment	
111	wh_main_vmp_vampire_counts	prefabs/campaign/vampire_battle.bmd	Weather/campaign/chaos/sylvania.environment	
113		prefabs/campaign/empire_battle.bmd	Weather/campaign/combi/empire.environment	
113	wh2_main_skv_skaven	prefabs/campaign/skaven_battle.bmd	Weather/campaign/combi/empire.environment	
113	wh3_dlc29_nag_undead_legions	prefabs/campaign/vampire_battle.bmd	Weather/campaign/combi/sylvania.environment	
113	wh_dlc03_bst_beastmen	prefabs/campaign/beastmen_battle.bmd	Weather/campaign/combi/empire.environment	
113	wh_dlc05_wef_wood_elves	prefabs/campaign/woodelf_battle.bmd	Weather/campaign/combi/empire.environment	
113	wh_main_brt_bretonnia	prefabs/campaign/bretonnia_battle.bmd	Weather/campaign/combi/bretonnia.environment	
113	wh_main_chs_chaos	prefabs/campaign/chaos_battle.bmd	Weather/campaign/combi/chaos.environment	
113	wh_main_vmp_vampire_counts	prefabs/campaign/vampire_battle.bmd	Weather/campaign/combi/sylvania.environment	
115		prefabs/campaign/nur_battle.bmd	Weather/campaign/chaos/nurgle.environment	
120		prefabs/campaign/island_grass_battle.bmd	Weather/campaign/chaos/empire.environment	
122		prefabs/campaign/island_grass_battle.bmd	Weather/campaign/combi/empire.environment	
122	wh2_main_def_dark_elves	prefabs/campaign/black_ark_battle.bmd	Weather/campaign/combi/naggaroth.environment	wh2_main_def_black_ark
130		prefabs/campaign/island_sand_battle.bmd	Weather/campaign/chaos/lizardmen.environment	
132		prefabs/campaign/island_sand_battle.bmd	Weather/campaign/combi/lizardmen.environment	
132	wh2_main_def_dark_elves	prefabs/campaign/black_ark_battle.bmd	Weather/campaign/combi/southlands.environment	wh2_main_def_black_ark
135		prefabs/campaign/cth_desert_battle.bmd	Weather/campaign/chaos/cathay.environment	
137		prefabs/campaign/cth_desert_battle.bmd	Weather/campaign/combi/cathay.environment	
140		prefabs/campaign/island_rock_battle.bmd	Weather/campaign/chaos/empire.environment	
142		prefabs/campaign/island_rock_battle.bmd	Weather/campaign/combi/empire.environment	
142	wh2_main_def_dark_elves	prefabs/campaign/black_ark_battle.bmd	Weather/campaign/combi/naggaroth.environment	wh2_main_def_black_ark
145		prefabs/campaign/cth_pillar_battle.bmd	Weather/campaign/chaos/cathay.environment	
146		prefabs/campaign/cth_pillar_battle.bmd	Weather/campaign/combi/cathay.environment	
148		prefabs/campaign/mountains_greenskins_battle.bmd	Weather/campaign/combi/badlands.environment	
150		prefabs/campaign/island_snow_battle.bmd	Weather/campaign/chaos/norsca.environment	
152		prefabs/campaign/island_snow_battle.bmd	Weather/campaign/combi/norsca.environment	
152	wh2_main_def_dark_elves	prefabs/campaign/black_ark_battle.bmd	Weather/campaign/combi/norsca.environment	wh2_main_def_black_ark
155		prefabs/campaign/cth_dome_battle.bmd	Weather/campaign/chaos/cathay.environment	
157		prefabs/campaign/cth_dome_battle.bmd	Weather/campaign/combi/cathay.environment	
160		prefabs/campaign/island_jungle_battle.bmd	Weather/campaign/chaos/lizardmen.environment	
162		prefabs/campaign/island_jungle_battle.bmd	Weather/campaign/combi/lizardmen.environment	
162	wh2_main_def_dark_elves	prefabs/campaign/black_ark_battle.bmd	Weather/campaign/combi/lizardmen.environment	wh2_main_def_black_ark
170		prefabs/campaign/galleons_battle.bmd	Weather/campaign/combi/naggaroth.environment	
180		prefabs/campaign/underwater_battle.bmd	Weather/campaign/chaos/generic.environment	
