skill	level	token_set	pct_chance_for_extra_tokens	minimum_added_tokens	maximum_added_tokens
#chaotic_plan_schemer_skill_to_token_sets_junctions_tables;2;db/chaotic_plan_schemer_skill_to_token_sets_junctions_tables/data__					
wh3_dlc29_skill_innate_skv_schemer_assassin_1	1	wh3_dlc29_skill_innate_skv_schemer_assassin_1	0	1	1
wh3_dlc29_skill_innate_skv_schemer_grey_seer_1	1	wh3_dlc29_skill_innate_skv_schemer_grey_seer_1	0	1	1
wh3_dlc29_skill_innate_skv_schemer_warlock_1	1	wh3_dlc29_skill_innate_skv_schemer_warlock_1	0	1	1
wh3_dlc29_skill_innate_skv_schemer_warlord_1	1	wh3_dlc29_skill_innate_skv_schemer_warlord_1	0	2	2
wh3_dlc29_skill_skv_hidden_tokens_military_schemer_assassin	1	wh3_dlc29_skv_starting_green_tokens_military_schemer_assassin	0	8	8
wh3_dlc29_skill_skv_hidden_tokens_military_schemer_grey_seer	1	wh3_dlc29_skv_starting_green_tokens_military_schemer_grey_seer	0	8	8
wh3_dlc29_skill_skv_hidden_tokens_military_schemer_warlock	1	wh3_dlc29_skv_starting_green_tokens_military_schemer_warlock	0	8	8
wh3_dlc29_skill_skv_hidden_tokens_military_schemer_warlord	1	wh3_dlc29_skv_starting_green_tokens_military_schemer_warlord	0	8	8
wh3_dlc29_skill_skv_schemer_economic_01	3	wh3_dlc29_schemer_economic_line_1	0	1	1
wh3_dlc29_skill_skv_schemer_economic_02	3	wh3_dlc29_schemer_economic_line_2	0	1	1
wh3_dlc29_skill_skv_schemer_economic_03	3	wh3_dlc29_schemer_economic_line_3	0	1	1
wh3_dlc29_skill_skv_schemer_economic_04	3	wh3_dlc29_schemer_economic_line_4	0	1	1
wh3_dlc29_skill_skv_schemer_economic_06	1	wh3_dlc29_schemer_economic_line_5	0	1	1
wh3_dlc29_skill_skv_schemer_economic_06_	1	wh3_dlc29_schemer_economic_line_6	0	1	1
wh3_dlc29_skill_skv_schemer_economic_07	1	wh3_dlc29_schemer_economic_line_7	0	1	1
wh3_dlc29_skill_skv_schemer_economic_08	1	wh3_dlc29_schemer_economic_line_8	0	1	1
wh3_dlc29_skill_skv_schemer_economic_09	1	wh3_dlc29_schemer_economic_line_9	0	1	1
wh3_dlc29_skill_skv_schemer_economic_10	1	wh3_dlc29_schemer_economic_line_10	0	1	1
wh3_dlc29_skill_skv_schemer_grey_seer_unique_01	1	wh3_dlc29_skill_skv_schemer_grey_seer_unique_01_1	0	1	1
wh3_dlc29_skill_skv_schemer_grey_seer_unique_01	2	wh3_dlc29_skill_skv_schemer_grey_seer_unique_01_2	0	1	1
wh3_dlc29_skill_skv_schemer_grey_seer_unique_01	3	wh3_dlc29_skill_skv_schemer_grey_seer_unique_01_3	0	1	1
wh3_dlc29_skill_skv_schemer_grey_seer_unique_02	1	wh3_dlc29_skill_skv_schemer_grey_seer_unique_02_1	0	1	1
wh3_dlc29_skill_skv_schemer_grey_seer_unique_02	2	wh3_dlc29_skill_skv_schemer_grey_seer_unique_02_2	0	1	1
wh3_dlc29_skill_skv_schemer_grey_seer_unique_02	3	wh3_dlc29_skill_skv_schemer_grey_seer_unique_02_3	0	1	1
wh3_dlc29_skill_skv_schemer_grey_seer_unique_03	1	wh3_dlc29_skill_skv_schemer_grey_seer_unique_03	0	1	1
wh3_dlc29_skill_skv_schemer_grey_seer_unique_04	1	wh3_dlc29_skill_skv_schemer_grey_seer_unique_04	0	1	1
