agent_subtype	clan_name	forename	other_name	surname	agent_type	spawn_behaviour	spawn_via_ui
#unique_agents_tables;3;db/unique_agents_tables/data__							
wh2_dlc12_lzd_lord_kroak	2147360514	2147360514	2147360514	894850662	wizard	FACTION_LEADER	false
wh2_dlc13_emp_hunter_doctor_hertwig_van_hal	2147358913	2147344037	2147358913	1353890747	spy	FACTION_LEADER	false
wh2_dlc13_emp_hunter_jorek_grimm	2147358913	1226380347	2147358913	2147354469	engineer	FACTION_LEADER	false
wh2_dlc13_emp_hunter_kalara_of_wydrioth	2147358913	159761477	2147358913	2147358913	spy	FACTION_LEADER	false
wh2_dlc13_emp_hunter_rodrik_l_anguille	2147358913	2013931711	2147358913	1021442703	champion	FACTION_LEADER	false
wh2_dlc14_brt_henri_le_massif	2147358913	1774059156	2147358913	2147358913	champion	FACTION_LEADER	false
wh2_dlc16_skv_ghoritch	2147360732	1646918554	2147360732	2147360732	champion	FACTION_LEADER	false
wh2_dlc16_wef_ariel	2147359013	2060780146	2147359013	2147359013	wizard	FACTION_LEADER	false
wh2_dlc16_wef_coeddil	2147359013	1821577682	2147359013	2147359013	champion	FACTION_LEADER	false
wh2_dlc17_dwf_thane_ghost_artifact	2147358935	748551046	2147358935	1941370922	champion	FACTION_LEADER	false
wh2_dlc17_lzd_mon_dread_saurian_qb_boss	2147360514	1156052869	2147360514	2147360514	champion	FACTION_LEADER	false
wh2_pro08_neu_felix	2147358913	2147355015	2147358913	2147358913	champion	FACTION_LEADER	false
wh3_dlc23_chd_gorduz_backstabber		1111304278		1682132102	spy	FACTION_LEADER	false
wh3_dlc23_neu_ulrika		1001259072		247283887	wizard	FACTION_LEADER	false
wh3_dlc24_cth_saytang_the_watcher		1096256215		1896245993	champion	FACTION_LEADER	false
wh3_dlc24_ksl_the_golden_knight		732376647		2147358958	dignitary	FACTION_LEADER	false
wh3_dlc24_tze_aekold_helbrass		298760054		1110595712	champion	FACTION_LEADER	false
wh3_dlc24_tze_blue_scribes		682060162		915706158	wizard	FACTION_LEADER	false
wh3_dlc25_bst_mon_jabberslythe_qb_boss	2147358971	517769352	2147358971	2147358971	champion	FACTION_LEADER	false
wh3_dlc25_dwf_garagrim_ironfist	2147358935	861499270	2147358935	2147358935	champion	FACTION_LEADER	false
wh3_dlc25_dwf_lord_mikael_leadstrong	2147358935	291390137	2147358935	2147358935	general	FACTION_LEADER	false
wh3_dlc25_emp_theodore_bruckner	2147358913	333010223	2147358913	2147358913	champion	FACTION_LEADER	false
wh3_dlc25_grn_mon_rogue_idol_qb_boss	2147358970	1416294040	2147358970	2147358970	champion	FACTION_LEADER	false
wh3_dlc25_neu_gotrek_hero	2147358935	2147354371	2147358935	2147358935	champion	FACTION_LEADER	false
wh3_dlc25_nur_bray_shaman_wild_chieftain	1580933377	1762690696	1580933377	1580933377	wizard	FACTION_LEADER	false
wh3_dlc25_nur_castellan_chieftain	1580933377	1676908529	1580933377	1580933377	engineer	FACTION_LEADER	false
wh3_dlc25_nur_cha_exalted_great_unclean_one_nurgle_qb_boss	1580933377	1812738821	1580933377	1580933377	general	FACTION_LEADER	false
wh3_dlc25_nur_exalted_hero_chieftain	1580933377	1037772035	1580933377	1580933377	champion	FACTION_LEADER	false
wh3_dlc25_nur_fimir_balefiend_shadow_chieftain	1580933377	329867254	1580933377	1580933377	dignitary	FACTION_LEADER	false
wh3_dlc25_nur_kayzk_the_befouled	1580933377	1813524566	1580933377	1580933377	champion	FACTION_LEADER	false
wh3_dlc25_nur_skin_wolf_werekin_chieftain	1580933377	1959377886	1580933377	1580933377	champion	FACTION_LEADER	false
wh3_main_ie_nor_burplesmirk_spewpit	2147358949	2063127767	2147358949	603789142	general	FACTION_LEADER	false
wh3_main_ie_nor_killgore_slaymaim	2147358949	739309651	2147358949	889885632	champion	FACTION_LEADER	false
wh3_main_pro_ksl_frost_maiden_ice	967817108	1031025019	967817108	967817108	wizard	FACTION_LEADER	false
wh3_pro11_chs_cha_harald_hammerstorm		2147346014		1924032272	champion	FACTION_LEADER	false
wh_dlc04_vmp_vlad_von_carstein_hero		2147345130		2147343895	runesmith	FACTION_LEADER	false
wh_dlc06_dwf_master_engineer_ghost	2147358935	2147359003	2147358935	2147359010	engineer	FACTION_LEADER	false
wh_dlc06_dwf_runesmith_ghost	2147358935	2147358988	2147358935	2147358994	runesmith	FACTION_LEADER	false
wh_dlc06_dwf_thane_ghost_1	2147358935	2147358979	2147358935	2147358036	champion	FACTION_LEADER	false
wh_dlc06_dwf_thane_ghost_2	2147358935	2147358982	2147358935	2147358985	champion	FACTION_LEADER	false
wh_dlc07_brt_green_knight	2147359018	2147358939	2147359018	2147359018	champion	FACTION_LEADER	true
wh_dlc08_nor_kihar	2147358949	1444005617	2147358949	1976469121	wizard	FACTION_LEADER	false
wh_pro02_vmp_isabella_von_carstein_hero		2147345124		2147343895	runesmith	FACTION_LEADER	false
