currency_type	item_type	cost_value
#battle_currency_units_cost_values_tables;0;db/battle_currency_units_cost_values_tables/data__		
supplies_currency	wh2_dlc09_skv_cha_tretch_craventail	750.0000
supplies_currency	wh2_dlc09_tmb_art_casket_of_souls_0	1250.0000
supplies_currency	wh2_dlc09_tmb_art_screaming_skull_catapult_0	700.0000
supplies_currency	wh2_dlc09_tmb_cav_hexwraiths	1475.0000
supplies_currency	wh2_dlc09_tmb_cav_necropolis_knights_0	1425.0000
supplies_currency	wh2_dlc09_tmb_cav_necropolis_knights_1	1575.0000
supplies_currency	wh2_dlc09_tmb_cav_necropolis_knights_ror	1675.0000
supplies_currency	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	650.0000
supplies_currency	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	900.0000
supplies_currency	wh2_dlc09_tmb_cav_skeleton_horsemen_0	400.0000
supplies_currency	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	500.0000
supplies_currency	wh2_dlc09_tmb_cha_arkhan_0	1000.0000
supplies_currency	wh2_dlc09_tmb_cha_arkhan_1	1200.0000
supplies_currency	wh2_dlc09_tmb_cha_arkhan_2	1400.0000
supplies_currency	wh2_dlc09_tmb_cha_khalida_0	1100.0000
supplies_currency	wh2_dlc09_tmb_cha_khalida_1	1550.0000
supplies_currency	wh2_dlc09_tmb_cha_khalida_2	1350.0000
supplies_currency	wh2_dlc09_tmb_cha_khatep_0	550.0000
supplies_currency	wh2_dlc09_tmb_cha_khatep_1	750.0000
supplies_currency	wh2_dlc09_tmb_cha_khatep_2	1000.0000
supplies_currency	wh2_dlc09_tmb_cha_khatep_3	1250.0000
supplies_currency	wh2_dlc09_tmb_cha_liche_priest_death_0	300.0000
supplies_currency	wh2_dlc09_tmb_cha_liche_priest_death_1	500.0000
supplies_currency	wh2_dlc09_tmb_cha_liche_priest_light_0	300.0000
supplies_currency	wh2_dlc09_tmb_cha_liche_priest_light_1	500.0000
supplies_currency	wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	300.0000
supplies_currency	wh2_dlc09_tmb_cha_liche_priest_nehekhara_1	500.0000
supplies_currency	wh2_dlc09_tmb_cha_liche_priest_shadow_0	300.0000
