key	display_order	inset_level	is_battle	enabled
#help_page_index_records_tables;2;db/help_page_index_records_tables/data__				
battle_advanced_controls	54	1	true	true
battle_advisor	5	1	true	true
battle_ambush_battles	2	1	true	true
battle_armies	150	0	true	true
battle_armour	221	2	true	true
battle_army_abilities	155	1	true	true
battle_artillery	208	2	true	true
battle_battle_game	0	0	true	true
battle_battle_interface	50	0	true	true
battle_blood_for_the_blood_god	159	1	true	true
battle_camera_controls	51	1	true	true
battle_capture_locations	309	1	true	true
battle_constructed_defences	306	1	true	true
battle_deployment	1	1	true	true
battle_dragon_transformation	167	1	true	true
battle_extra_powder	158	1	true	true
battle_eye_of_tzeentch	162	1	true	true
battle_fire_at_will	226	1	true	true
battle_flanking	152	1	true	true
battle_flying_units	206	2	true	true
battle_formations	56	1	true	true
battle_gates	304	1	true	true
battle_grouping	55	1	true	true
battle_harmony	165	1	true	true
battle_infantry	202	2	true	true
battle_leadership	223	1	true	true
battle_magic_barriers	163	1	true	true
battle_major_siege_battles	300	0	true	true
battle_mastery_of_the_elemental_winds	166	1	true	true
battle_melee_combat	220	1	true	true
battle_minor_settlement_battles	301	1	true	true
battle_missile_units	204	2	true	true
battle_monsters	205	2	true	true
battle_mounted_units	203	2	true	true
battle_murderous_prowess	156	1	true	true
battle_plague_lords_blessings	160	1	true	true
battle_rallying	153	1	true	true
battle_rampaging	229	1	true	true
battle_realm_of_souls	157	1	true	true
battle_reign_of_chaos	164	1	true	true
battle_reinforcements	154	1	true	true
battle_sensuous_seductions	161	1	true	true
battle_siege_weapons	307	1	true	true
battle_skirmishing	225	1	true	true
battle_spells	227	1	true	true
battle_storm_of_magic_battles	4	1	true	true
battle_supplies	310	1	true	true
battle_survival_battles	3	1	true	true
battle_tactical_map	58	1	true	true
battle_terrain	6	1	true	true
battle_the_general	151	1	true	true
battle_towers	305	1	true	true
battle_unit_abilities	228	1	true	true
battle_unit_cards	57	1	true	true
battle_unit_details_panel	59	1	true	true
battle_unit_movement	53	1	true	true
battle_unit_selection	52	1	true	true
battle_unit_types	201	1	true	true
battle_units	200	0	true	true
battle_victory_locations	308	1	true	true
battle_vigour	224	1	true	true
battle_visibility	7	1	true	true
battle_walls	303	1	true	true
battle_weapon_types	222	2	true	true
battle_winds_of_magic	8	1	true	true
battle_wizards	207	2	true	true
campaign_advisor	43	1	false	true
campaign_age_of_reckoning	722	2	false	true
campaign_allegiance	1221	2	false	true
campaign_alliances	1220	1	false	true
campaign_amanar	603	2	false	false
campaign_amber	824	2	false	true
campaign_ambushes	1710	1	false	true
campaign_ariel	822	2	false	true
campaign_armies	1600	0	false	true
campaign_armies_at_sea	1622	2	false	true
campaign_army_movement	1620	1	false	true
campaign_army_panel	1684	1	false	true
campaign_artefact_vault	725	2	false	true
campaign_asrai_lookouts	826	2	false	true
campaign_astromancy	543	2	false	true
campaign_asur_domination	514	2	false	true
campaign_atamans	323	2	false	true
campaign_athel_tamarha	508	2	false	true
campaign_attrition	25	2	false	true
campaign_autoresolving	1702	2	false	true
campaign_bankruptcy	1003	2	false	true
campaign_banners_and_marks	1683	1	false	true
campaign_battles	1700	0	false	true
campaign_beast_paths	1633	2	false	true
campaign_beastmen	840	1	false	true
campaign_bestial_rage	841	2	false	true
campaign_big_names	363	2	false	true
campaign_black_arks	521	2	false	true
campaign_blessed_spawnings	542	2	false	true
campaign_blessing_lady	804	2	false	true
campaign_blood_hosts	243	2	false	true
campaign_blood_voyage	524	2	false	true
campaign_bloodgrounds	842	2	false	true
campaign_bloodletting	244	2	false	true
campaign_bloodlines	762	2	false	true
campaign_books_of_nagash	583	2	false	true
campaign_bretonnia	800	1	false	true
campaign_bretonnian_desert_thirst	806	2	false	true
campaign_bretonnian_vows	805	2	false	true
campaign_building_panel	1685	1	false	true
campaign_building_slots	1361	2	false	true
campaign_buildings	1360	1	false	true
campaign_campaign_controls	40	1	false	true
campaign_campaign_game	0	0	false	true
campaign_campaign_map	20	1	false	true
campaign_canopic_jars	581	2	false	true
campaign_cathay	340	1	false	true
campaign_changing_of_the_ways	303	2	false	true
campaign_chaos	180	0	false	true
campaign_chaos_artefacts	781	2	false	false
campaign_chaos_corruption	1382	2	false	true
campaign_chaos_cults	183	1	false	true
campaign_chaos_dwarfs	380	1	false	true
campaign_chaos_gifts	781	2	false	true
campaign_chaos_rifts	153	1	false	true
campaign_character_details	1510	1	false	true
campaign_character_details_panel	1511	1	false	true
campaign_character_info_panel	1513	1	false	true
campaign_character_skills	1509	1	false	true
campaign_characters	1500	0	false	true
campaign_chd_economy	381	2	false	true
campaign_chieftains	263	2	false	true
campaign_chivalry	801	2	false	true
campaign_cloak_of_skulls	246	2	false	true
campaign_colleges_of_magic	707	2	false	true
campaign_commandments	1324	2	false	true
campaign_compass	342	2	false	true
campaign_confederation	1244	1	false	true
campaign_contracts	364	2	false	true
campaign_corruption	1380	1	false	true
campaign_cyclical_buildings	262	2	false	true
campaign_da_plan	744	2	false	true
campaign_daemonic_glory	221	2	false	true
campaign_daemons_of_chaos	220	1	false	true
campaign_dark_authority	782	2	false	true
campaign_dark_elf_loyalty	1508	2	false	true
campaign_dark_elves	520	1	false	true
campaign_dark_elves_possession_tzarkan	526	2	false	true
campaign_dark_fortress	783	2	false	true
campaign_day_of_awakening	585	2	false	true
campaign_death_night	525	2	false	true
campaign_dedication	222	2	false	true
campaign_defence_great_plan	556	2	false	true
