invalid_usage_flag	special_ability
#special_ability_to_invalid_usage_flags_tables;0;db/special_ability_to_invalid_usage_flags_tables/data__	
health_above_50%	wh2_dlc09_character_abilities_curse_of_djaf
health_above_50%	wh2_dlc09_character_abilities_curse_of_khsar
engaged_in_melee	wh2_dlc09_character_abilities_stay_here_ill_get_help
climbing	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded
manning_equipment	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded
climbing	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades
manning_equipment	wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades
climbing	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded
manning_equipment	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded
climbing	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection
manning_equipment	wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection
climbing	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded
manning_equipment	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded
climbing	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting
manning_equipment	wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting
climbing	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded
manning_equipment	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm_upgraded
climbing	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm
manning_equipment	wh2_dlc09_spell_nehekhara_sakhmets_incantation_of_the_skullstorm
climbing	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded
manning_equipment	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded
climbing	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation
manning_equipment	wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation
climbing	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded
manning_equipment	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded
climbing	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance
manning_equipment	wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance
engaged_in_melee	wh2_dlc09_unit_abilities_death_from_above
climbing	wh2_dlc10_item_abilities_star_of_avelorn
manning_equipment	wh2_dlc10_item_abilities_star_of_avelorn
climbing	wh2_dlc10_item_bound_assault_of_stone
climbing	wh2_dlc10_lord_abilities_deadly_mislead
engaged_in_melee	wh2_dlc10_lord_abilities_deadly_mislead
manning_equipment	wh2_dlc10_lord_abilities_deadly_mislead
on_a_platform	wh2_dlc10_lord_abilities_deadly_mislead
climbing	wh2_dlc10_lord_abilities_mislead
engaged_in_melee	wh2_dlc10_lord_abilities_mislead
manning_equipment	wh2_dlc10_lord_abilities_mislead
on_a_platform	wh2_dlc10_lord_abilities_mislead
climbing	wh2_dlc10_quest_abilities_magic_fiery_convocation
climbing	wh2_dlc10_spell_bound_magic_fiery_convocation
engaged_in_melee	wh2_dlc10_unit_abilities_frost_breath
engaged_in_melee	wh2_dlc10_unit_abilities_frost_wyrm_breath
grounded	wh2_dlc10_unit_abilities_frost_wyrm_breath
climbing	wh2_dlc11_character_abilities_cackle_fruit
engaged_in_melee	wh2_dlc11_character_abilities_cackle_fruit
manning_equipment	wh2_dlc11_character_abilities_cackle_fruit
climbing	wh2_dlc11_character_abilities_pyromaniac
engaged_in_melee	wh2_dlc11_character_abilities_pyromaniac
manning_equipment	wh2_dlc11_character_abilities_pyromaniac
climbing	wh2_dlc11_hero_abilities_bomb_throw
engaged_in_melee	wh2_dlc11_hero_abilities_bomb_throw
manning_equipment	wh2_dlc11_hero_abilities_bomb_throw
climbing	wh2_dlc11_item_abilities_captain_roths_moondial
climbing	wh2_dlc11_lord_abilities_song_of_enthrallment
climbing	wh2_dlc11_lord_abilities_spearfishers_net
climbing	wh2_dlc11_spell_beasts_transformation_of_kadon
climbing	wh2_dlc11_spell_bound_the_purple_sun_of_xereus
climbing	wh2_dlc11_spell_deep_denizens_of_the_deep
climbing	wh2_dlc11_spell_deep_fog_of_the_damned_upgraded
climbing	wh2_dlc11_spell_deep_fog_of_the_damned
climbing	wh2_dlc11_spell_deep_ghost_ship_upgraded
climbing	wh2_dlc11_spell_deep_ghost_ship
climbing	wh2_dlc11_spell_deep_krakens_pull_upgraded
climbing	wh2_dlc11_spell_deep_krakens_pull
climbing	wh2_dlc11_spell_deep_spiteful_shot_upgraded
climbing	wh2_dlc11_spell_deep_spiteful_shot
climbing	wh2_dlc11_spell_deep_tidecall_upgraded
climbing	wh2_dlc11_spell_deep_tidecall
climbing	wh2_dlc11_spell_vampires_drowned_dead_upgraded
climbing	wh2_dlc11_spell_vampires_drowned_dead
engaged_in_melee	wh2_dlc12_lord_abilities_drop_sphere_of_tepok_upgraded
engaged_in_melee	wh2_dlc12_lord_abilities_drop_sphere_of_tepok
engaged_in_melee	wh2_dlc12_unit_abilities_drop_rocks_character
engaged_in_melee	wh2_dlc12_unit_abilities_drop_rocks_of_chotec
engaged_in_melee	wh2_dlc12_unit_abilities_drop_rocks_of_sundering
climbing	wh2_dlc13_character_abilities_big_boom
engaged_in_melee	wh2_dlc13_character_abilities_big_boom
manning_equipment	wh2_dlc13_character_abilities_big_boom
climbing	wh2_dlc13_character_ability_ishas_rain
climbing	wh2_dlc13_character_ability_shatter
on_a_platform	wh2_dlc13_character_ability_shatter
climbing	wh2_dlc14_character_abilities_cracklebomb
engaged_in_melee	wh2_dlc14_character_abilities_cracklebomb
manning_equipment	wh2_dlc14_character_abilities_cracklebomb
on_a_platform	wh2_dlc14_lord_abilities_tzarkan_mp
phase_is_deployment	wh2_dlc14_lord_abilities_tzarkan_mp
phase_is_the_end_phase	wh2_dlc14_lord_abilities_tzarkan_mp
on_a_platform	wh2_dlc14_lord_abilities_tzarkan_snikch
phase_is_deployment	wh2_dlc14_lord_abilities_tzarkan_snikch
phase_is_the_end_phase	wh2_dlc14_lord_abilities_tzarkan_snikch
on_a_platform	wh2_dlc14_lord_abilities_tzarkan_spite_mp
phase_is_deployment	wh2_dlc14_lord_abilities_tzarkan_spite_mp
phase_is_the_end_phase	wh2_dlc14_lord_abilities_tzarkan_spite_mp
on_a_platform	wh2_dlc14_lord_abilities_tzarkan_spite
phase_is_deployment	wh2_dlc14_lord_abilities_tzarkan_spite
phase_is_the_end_phase	wh2_dlc14_lord_abilities_tzarkan_spite
on_a_platform	wh2_dlc14_lord_abilities_tzarkan
phase_is_deployment	wh2_dlc14_lord_abilities_tzarkan
phase_is_the_end_phase	wh2_dlc14_lord_abilities_tzarkan
climbing	wh2_dlc14_spell_bound_warpfireball
manning_equipment	wh2_dlc14_spell_bound_warpfireball
climbing	wh2_dlc14_spell_stealth_warp_stars_upgraded
manning_equipment	wh2_dlc14_spell_stealth_warp_stars_upgraded
climbing	wh2_dlc14_spell_stealth_warp_stars
manning_equipment	wh2_dlc14_spell_stealth_warp_stars
climbing	wh2_dlc14_unit_abilities_doppelgang
engaged_in_melee	wh2_dlc14_unit_abilities_doppelgang
manning_equipment	wh2_dlc14_unit_abilities_doppelgang
on_a_platform	wh2_dlc14_unit_abilities_doppelgang
climbing	wh2_dlc14_weapon_abilities_whirl_of_weeping_blades
manning_equipment	wh2_dlc14_weapon_abilities_whirl_of_weeping_blades
on_a_platform	wh2_dlc14_weapon_abilities_whirl_of_weeping_blades
climbing	wh2_dlc15_hero_abilities_swamp_breath
engaged_in_melee	wh2_dlc15_hero_abilities_swamp_breath
climbing	wh2_dlc15_lord_abilities_dont_even_try_it
climbing	wh2_dlc15_spell_beasts_transformation_of_kadon
climbing	wh2_dlc15_spell_bound_chain_lightning
climbing	wh2_dlc15_spell_bound_gaze_of_nagash
manning_equipment	wh2_dlc15_spell_bound_gaze_of_nagash
climbing	wh2_dlc15_spell_bound_wind_of_death
flying_over_invalid_location	wh2_dlc15_unit_abilities_emberstorm
flying_over_platform	wh2_dlc15_unit_abilities_emberstorm
grounded	wh2_dlc15_unit_abilities_emberstorm
engaged_in_melee	wh2_dlc15_unit_abilities_noxious_breath_imrik
grounded	wh2_dlc15_unit_abilities_noxious_breath_imrik
engaged_in_melee	wh2_dlc15_unit_abilities_sun_dragon_breath_imrik
grounded	wh2_dlc15_unit_abilities_sun_dragon_breath_imrik
morale_is_wavering_or_lower	wh2_dlc15_unit_passive_gorduz_poison
morale_is_wavering_or_lower	wh2_dlc15_unit_passive_nightgoblin_poison
morale_is_wavering_or_lower	wh2_dlc15_unit_passive_padded_shield
morale_is_wavering_or_lower	wh2_dlc15_unit_passive_sorcery_weapon
climbing	wh2_dlc16_hero_abilities_evisceration
manning_equipment	wh2_dlc16_hero_abilities_evisceration
on_a_platform	wh2_dlc16_hero_abilities_evisceration
climbing	wh2_dlc16_item_abilities_acorns_of_the_oak_of_ages
climbing	wh2_dlc16_item_abilities_dreaming_cloak_i
climbing	wh2_dlc16_item_abilities_dreaming_cloak_ii
climbing	wh2_dlc16_item_abilities_dreaming_cloak_iii
climbing	wh2_dlc16_spell_bound_death_frenzy
climbing	wh2_dlc16_spell_bound_vampires_lesser_raise_dead
phase_is_deployment	wh2_dlc16_spell_bound_vampires_lesser_raise_dead
climbing	wh2_dlc16_unit_abilities_warp_lightning_rod
climbing	wh2_dlc17_spell_bound_lesser_chain_lightning
climbing	wh2_dlc17_spell_bound_savage_dominion
climbing	wh2_dlc17_spell_bound_urannons_thunderbolt_upgraded
climbing	wh2_dlc17_spell_bound_urannons_thunderbolt
climbing	wh2_dlc17_spell_heavens_comet_of_casandora_bound_skink_oracle
climbing	wh2_main_character_abilities_concealment_bombs
engaged_in_melee	wh2_main_character_abilities_concealment_bombs
manning_equipment	wh2_main_character_abilities_concealment_bombs
climbing	wh2_main_hero_abilities_doomrocket
