pooled_resource	set
#pooled_resource_set_resource_junctions_tables;0;db/pooled_resource_set_resource_junctions_tables/data__	
brt_chivalry	brt_chivalry
wh3_dlc20_chs_champions_campaign_progress	wh3_dlc20_champions_progress
wh3_dlc26_kho_arbaal_wrath_of_khorne_progress	wh3_dlc26_kho_arbaal_wrath_of_khorne_progress
wh3_dlc26_kho_skull_throne_progress	wh3_dlc26_kho_skull_throne_progress
wh3_main_dae_khorne_points	wh3_main_dae_khorne_points
wh3_main_dae_nurgle_points	wh3_main_dae_nurgle_points
wh3_main_dae_slaanesh_points	wh3_main_dae_slaanesh_points
wh3_main_dae_tzeentch_points	wh3_main_dae_tzeentch_points
wh3_main_dae_undivided_points	wh3_main_dae_undivided_points
wh3_main_ksl_support_tracker_ice_court	wh3_main_operation_set_ksl_ice_court_support
wh3_main_ksl_support_tracker_orthodoxy	wh3_main_operation_set_ksl_orthodoxy_support
