key	value
#_kv_winds_of_magic_params_tables;0;db/_kv_winds_of_magic_params_tables/data__	
ascendancy_transition_duration_s	4.0000
base_multiplier_for_estimated_max_recharge	1.3300
campaign_ui_max_depletion_modifier	100.0000
campaign_ui_min_depletion_modifier	0.0000
custom_battle_pool_initial_amount	80.0000
custom_battle_pool_initial_mana_available_ratio	0.1500
magical_charge_capacity	30.0000
magical_charge_transition_duration_s	30.0000
pool_gamble_max	10.0000
pool_gamble_min	-10.0000
pool_max_amount	100.0000
random_aoe_interval_max	30.0000
random_aoe_interval_min	10.0000
restored_points_base	0.1000
storm_of_magic_random_aoe_distance_offset	10.0000
storm_of_magic_random_aoe_targeting_distribution_unit_distance	30.0000
