group_id	align_orientation_to_target_unit	orient_when_ground_targeting
#battle_vortex_composite_scene_groups_tables;1;db/battle_vortex_composite_scene_groups_tables/data__		
drowned_dead	false	true
drowned_dead_start	false	true
ghost_ship	false	true
ghost_ship_wind	false	true
wh2_dlc10_gaze_of_khaine	false	true
wh2_dlc10_star_of_avelorn	false	true
wh2_dlc11_abilities_beyond_the_realm	false	true
wh2_dlc11_abilities_beyond_the_realm_start	false	true
wh2_dlc11_abilities_storm_of_the_night	false	true
wh2_dlc11_denizens_of_the_deep	false	true
wh2_dlc11_denizens_of_the_deep_start	false	true
wh2_dlc11_fog_of_the_damned	false	true
wh2_dlc12_abilities_invocation_of_sotek	false	true
wh2_dlc13_abilities_storm_of_xholankha	false	true
wh2_dlc14_abilities_seismic_snare	false	true
wh2_dlc14_abilities_warp_quake	false	true
wh2_dlc14_spell_ruin_flensing_ruin	false	true
wh2_dlc14_spell_stealth_veil_of_shadows	false	true
wh2_dlc16_abilities_dreaming_cloak	false	true
wh2_dlc16_abilities_roused_to_wrath	false	true
wh2_dlc17_ability_ancestral_rune_of_grimnir_axe	false	true
wh2_dlc17_ability_ancestral_rune_of_grugni	false	true
wh2_dlc17_ability_ancestral_rune_of_valaya	false	true
wh2_dlc17_ability_rune_of_doom	false	true
wh2_dlc17_ability_rune_of_wrath_and_ruin_windup	false	true
wh2_dlc17_battle_khorne_portal_start	false	true
wh2_main_spell_high_magic_tempest	false	true
wh3_abilities_gnoblar_traps	false	true
wh3_dlc20_ability_spear_of_slaupnir	false	true
wh3_dlc20_ability_storm_rage	false	true
wh3_dlc20_fate_of_bjuna	false	true
wh3_dlc20_purple_sun_of_xereus_wind_up	false	true
wh3_dlc20_spirit_leech	false	true
wh3_dlc23_abilities_flame_storm_start	false	true
wh3_dlc23_abilities_flaming_sword_of_rhuin	false	true
wh3_dlc23_abilities_hashut_burning_wrath_vort	false	true
wh3_dlc23_abilities_hashut_dark_subjugation	false	true
wh3_dlc23_abilities_hashut_flames_of_azgorh	false	true
wh3_dlc23_abilities_hashut_flames_of_azgorh_windup	false	true
wh3_dlc23_abilities_hashut_hell_hammer_wind_up	false	true
wh3_dlc23_ash_storm	false	true
wh3_dlc23_blazing_body	false	true
wh3_dlc23_bolts_of_burning_windup	false	true
wh3_dlc23_darkened_mist	false	true
wh3_dlc23_hashut_curse_of_hashut	true	true
wh3_dlc23_lamassu_passive	false	true
