key	max_active_set_count	should_save_presets	optional_icon
#initiative_set_categories_tables;4;db/initiative_set_categories_tables/data__			
DLC20_KHORNE_INITIATIVES	-1	false	
DLC20_NURGLE_INITIATIVES	-1	false	
DLC20_SLAANESH_INITIATIVES	-1	false	
DLC20_TZEENTCH_INITIATIVES	-1	false	
DLC20_UNDIVIDED_INITIATIVES	-1	false	
DLC23_CATEGORY_BULL_CENTAURS_INITIATIVES	-1	false	
DLC23_CATEGORY_FLYING_BEASTS_INITIATIVES	-1	false	
DLC23_CATEGORY_KDAAI_INITIATIVES	-1	false	
DLC23_CATEGORY_MELEE_INFANTRY_INITIATIVES	-1	false	
DLC23_CATEGORY_MISSILE_INFANTRY_INITIATIVES	-1	false	
DLC23_CATEGORY_WARMAHINES_INITIATIVES	-1	false	
DLC26_DA_PLAN	-1	false	
DLC26_WRATH_OF_KHORNE	-1	false	
DLC27_ASUR_DOMINATION_FOCUS_COLONIES	-1	false	
DLC27_ASUR_DOMINATION_FOCUS_DRAGONSHIPS	-1	false	
DLC27_ASUR_DOMINATION_FOCUS_OUTPOSTS	-1	false	
ETERNAL_DANCE_OF_ENVY_INITIATIVES	4	true	UI\skins\default\dlc27_sla_the_eternal_dance\icon_dance_2.png
ETERNAL_DANCE_OF_EXCESS_INITIATIVES	4	true	UI\skins\default\dlc27_sla_the_eternal_dance\icon_dance_1.png
ETERNAL_DANCE_OF_GREED_INITIATIVES	4	true	UI\skins\default\dlc27_sla_the_eternal_dance\icon_dance_3.png
ETERNAL_DANCE_OF_PRIDE_INITIATIVES	4	true	UI\skins\default\dlc27_sla_the_eternal_dance\icon_dance_4.png
KAIROS_FRAGMENTS_OF_SORCERY	-1	false	
OFFER_TO_THE_MAW	-1	false	
PATH_TO_GLORY_BOON	-1	false	
PATH_TO_GLORY_MARK	-1	false	
STANDARD_INITIATIVES	-1	false	
