key	campaign_key	faction_key	resource_filepath	is_benchmark
#campaign_cinematic_resources_tables;3;db/campaign_cinematic_resources_tables/data__				
bloodthirster_reveal	wh3_main_prologue	wh3_prologue_kislev_expedition	script/campaign/wh3_main_prologue/factions/wh3_prologue_kislev_expedition/_cutscene/managers/bloodthirster_reveal.CindySceneManager	false
campaign_benchmark_01	wh3_main_chaos		script/benchmarks/campaign_benchmark/scenes/scene_file_01.CindyScene	true
campaign_benchmark_ie_01	wh3_main_combi		script/benchmarks/ie_benchmark/scenes/scene_file_01.CindyScene	true
campaign_benchmark_prologue	wh3_main_prologue		script/benchmarks/prologue_benchmark/scenes/prologue_scene.CindyScene	true
chd_astragoth	wh3_main_chaos	wh3_dlc23_chd_astragoth	script/campaign/wh3_main_chaos/factions/wh3_dlc23_chd_astragoth/managers/chd_astragoth_m01.CindySceneManager	false
chd_drazhoath	wh3_main_chaos	wh3_dlc23_chd_legion_of_azgorh	script/campaign/wh3_main_chaos/factions/wh3_dlc23_chd_legion_of_azgorh/managers/chd_drazhoath_m01.CindySceneManager	false
chd_zhatan	wh3_main_chaos	wh3_dlc23_chd_zhatan	script/campaign/wh3_main_chaos/factions/wh3_dlc23_chd_zhatan/managers/chd_zhatan_m01.CindySceneManager	false
chs_azazel	wh3_main_chaos	wh3_dlc20_chs_azazel	script/campaign/wh3_main_chaos/factions/wh3_dlc20_chs_azazel/managers/chs_azazel.CindySceneManager	false
chs_festus	wh3_main_chaos	wh3_dlc20_chs_festus	script/campaign/wh3_main_chaos/factions/wh3_dlc20_chs_festus/managers/chs_festus.CindySceneManager	false
chs_prince	wh3_main_chaos	wh3_main_dae_daemon_prince	script/campaign/wh3_main_chaos/factions/wh3_main_dae_daemon_prince/managers/chs_prince.CindySceneManager	false
chs_skarbrand	wh3_main_chaos	wh3_main_kho_exiles_of_khorne	script/campaign/wh3_main_chaos/factions/wh3_main_kho_exiles_of_khorne/managers/chs_skarbrand.CindySceneManager	false
chs_valkia	wh3_main_chaos	wh3_dlc20_chs_valkia	script/campaign/wh3_main_chaos/factions/wh3_dlc20_chs_valkia/managers/chs_valkia.CindySceneManager	false
chs_vilitch	wh3_main_chaos	wh3_dlc20_chs_vilitch	script/campaign/wh3_main_chaos/factions/wh3_dlc20_chs_vilitch/managers/chs_vilitch.CindySceneManager	false
citadel_reveal_01	wh3_main_prologue	wh3_prologue_kislev_expedition	script/campaign/wh3_main_prologue/factions/wh3_prologue_kislev_expedition/_cutscene/managers/citadel_reveal_01.CindySceneManager	false
cth_miaoying	wh3_main_chaos	wh3_main_cth_the_northern_provinces	script/campaign/wh3_main_chaos/factions/wh3_main_cth_the_northern_provinces/managers/cth_miaoying.CindySceneManager	false
cth_yuanbo	wh3_main_chaos	wh3_dlc24_cth_the_celestial_court	script/campaign/wh3_main_chaos/factions/wh3_dlc24_cth_the_celestial_court/managers/cth_yuan_bo_m01.CindySceneManager	false
cth_zhaoming	wh3_main_chaos	wh3_main_cth_the_western_provinces	script/campaign/wh3_main_chaos/factions/wh3_main_cth_the_western_provinces/managers/cth_zhaoming.CindySceneManager	false
dwf_malakai	wh3_main_chaos	wh3_dlc25_dwf_malakai	script/campaign/wh3_main_chaos/factions/wh3_dlc25_dwf_malakai/managers/dwf_malakai.CindySceneManager	false
emp_elspeth	wh3_main_chaos	wh_main_emp_wissenland	script/campaign/wh3_main_chaos/factions/wh_main_emp_wissenland/managers/emp_elspeth.CindySceneManager	false
intro_sh01	wh3_main_prologue	wh3_prologue_kislev_expedition	script/campaign/wh3_main_prologue/factions/wh3_prologue_kislev_expedition/_cutscene/scenes/intro_sh01.CindyScene	false
ksl_boris	wh3_main_chaos	wh3_main_ksl_ursun_revivalists	script/campaign/wh3_main_chaos/factions/wh3_main_ksl_ursun_revivalists/managers/ksl_boris.CindySceneManager	false
ksl_ice_court	wh3_main_chaos	wh3_main_ksl_the_ice_court	script/campaign/wh3_main_chaos/factions/wh3_main_ksl_the_ice_court/managers/ksl_ice_court.CindySceneManager	false
ksl_kostaltyn	wh3_main_chaos	wh3_main_ksl_the_great_orthodoxy	script/campaign/wh3_main_chaos/factions/wh3_main_ksl_the_great_orthodoxy/managers/ksl_kostaltyn.CindySceneManager	false
ksl_motherostankya	wh3_main_chaos	wh3_dlc24_ksl_daughters_of_the_forest	script/campaign/wh3_main_chaos/factions/wh3_dlc24_ksl_daughters_of_the_forest/managers/ksl_mother_ostankya_m01.CindySceneManager	false
ngl_kugath	wh3_main_chaos	wh3_main_nur_poxmakers_of_nurgle	script/campaign/wh3_main_chaos/factions/wh3_main_nur_poxmakers_of_nurgle/managers/ngl_kugath.CindySceneManager	false
nur_tamurkhan	wh3_main_chaos	wh3_dlc25_nur_tamurkhan	script/campaign/wh3_main_chaos/factions/wh3_dlc25_nur_tamurkhan/managers/nur_tamurkhan.CindySceneManager	false
ogr_greasus	wh3_main_chaos	wh3_main_ogr_goldtooth	script/campaign/wh3_main_chaos/factions/wh3_main_ogr_goldtooth/managers/ogr_greasus.CindySceneManager	false
ogr_skrag	wh3_main_chaos	wh3_main_ogr_disciples_of_the_maw	script/campaign/wh3_main_chaos/factions/wh3_main_ogr_disciples_of_the_maw/managers/ogr_skrag.CindySceneManager	false
petrenko_attack_01	wh3_main_prologue	wh3_prologue_kislev_expedition	script/campaign/wh3_main_prologue/factions/wh3_prologue_kislev_expedition/_cutscene/managers/petrenko_attack_01.CindySceneManager	false
prologue_intro_2	wh3_main_prologue	wh3_prologue_kislev_expedition	script/campaign/wh3_main_prologue/factions/wh3_prologue_kislev_expedition/_cutscene/scenes/kislev_shelter_sh01.CindyScene	false
prologue_intro_3	wh3_main_prologue	wh3_prologue_kislev_expedition	script/campaign/wh3_main_prologue/factions/wh3_prologue_kislev_expedition/_cutscene/managers/petrenko_siege_01.CindySceneManager	false
questbattlemarker_01	wh3_main_prologue	wh3_prologue_kislev_expedition	script/campaign/wh3_main_prologue/factions/wh3_prologue_kislev_expedition/_cutscene/scenes/questbattlemarker_01.CindyScene	false
realm_kh_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_kh_m01.CindySceneManager	false
realm_ng_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_ng_m01.CindySceneManager	false
realm_pre_kh_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_pre_kh_m01.CindySceneManager	false
realm_pre_ng_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_pre_ng_m01.CindySceneManager	false
realm_pre_sl_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_pre_sl_m01.CindySceneManager	false
realm_pre_tz_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_pre_tz_m01.CindySceneManager	false
realm_sl_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_sl_m01.CindySceneManager	false
realm_tz_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_tz_m01.CindySceneManager	false
sla_nkari	wh3_main_chaos	wh3_main_sla_seducers_of_slaanesh	script/campaign/wh3_main_chaos/factions/wh3_main_sla_seducers_of_slaanesh/managers/sla_nkari.CindySceneManager	false
tze_kairos	wh3_main_chaos	wh3_main_tze_oracles_of_tzeentch	script/campaign/wh3_main_chaos/factions/wh3_main_tze_oracles_of_tzeentch/managers/tze_kairos.CindySceneManager	false
tze_thechangeling	wh3_main_chaos	wh3_dlc24_tze_the_deceivers	script/campaign/wh3_main_chaos/factions/wh3_dlc24_tze_the_deceivers/managers/tze_changeling_m01.CindySceneManager	false
wh3_camp_flyover_badlands_dwarf_holds_01	wh3_main_combi	wh2_dlc15_grn_bonerattlaz	script/campaign/main_warhammer/flyby_theatres/managers/wh3_camp_flyover_badlands_dwarf_holds_01.CindySceneManager	false
