key	show_order	category_icon
#mortuary_cult_categories_tables;3;db/mortuary_cult_categories_tables/data__		
wh2_dlc09_arcane_items	5	
wh2_dlc09_armour	2	
wh2_dlc09_enchanted_items	3	
wh2_dlc09_regiments_of_renown	0	
wh2_dlc09_talismans	4	
wh2_dlc09_weapons	1	
wh2_dlc10_armour	2	UI\skins\default\equipment_items_armour.png
wh2_dlc10_enchanted_items	4	UI\skins\default\equipment_items_enchanted.png
wh2_dlc10_talismans	3	UI\skins\default\equipment_items_talisman.png
wh2_dlc10_weapons	1	UI\skins\default\equipment_items_weapon.png
wh2_dlc17_artifact_vault	0	UI\skins\default\artifact_vault_tab_icon_vault.png
wh2_dlc17_runes_banner	6	UI\skins\default\artifact_vault_tab_icon_banner_rune.png
wh2_dlc17_runes_character	5	UI\skins\default\artifact_vault_tab_icon_character_rune.png
