key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour
#battlefield_engines_tables;22;db/battlefield_engines_tables/data__																	
test_war_machine			Generic_No_Crew_Rotate	wm_grudge_thrower	wh_main_dwf_grudge_thrower	grn_doomdiver_catapult	wh_main_artillery_medium										all_riders_shooting
test_war_machine_chariot			Generic_No_Crew_Rotate	wm_grudge_thrower	wh_main_dwf_grudge_thrower	grn_doomdiver_catapult	wh_main_artillery_medium										all_riders_shooting
wh2_dlc09_tmb_art_screaming_skull_catapult	warmachines\engines\tmb_skull_catapult/tmb_screaming_skull_catapult_01_destroyed.wsmodel	tmb_skull_catapult_destruct	Generic_3_Crew	wm_catapult01	wh2_dlc09_tmb_screaming_skull	tmb_skull_catapult	wh2_dlc09_tmb_art_screaming_skull_catapult										all_riders_shooting
wh2_dlc09_tmb_chariot	warmachines\chariot\tmb_basic_chariot\tmb_basic_chariot_01_destroyed.rigid_model_v2	tmb_tomb_chariot_destruct	Generic_No_Crew_Rotate	wm_tomb_chariot01		tmb_tomb_chariot	wh2_dlc09_tmb_vehicle_chariot			ap_draughtposition	warmachines\chariot\tmb_basic_chariot\tech						all_riders_shooting
wh2_dlc09_tmb_chariot_arkhan	warmachines\chariot\tmb_arkhan_chariot\tmb_arkhan_chariot_01_destroyed.rigid_model_v2	tmb_tomb_chariot_arkhan_destruct	Generic_No_Crew_Rotate	wm_arkhan_tomb_chariot01		tmb_tomb_chariot_arkhan	wh2_dlc09_tmb_vehicle_chariot_arkhan			ap_draughtposition	warmachines\chariot\tmb_arkhan_chariot\tech						all_riders_shooting
wh2_dlc09_tmb_chariot_general	warmachines\chariot\tmb_general_chariot\tmb_general_chariot_01_destroyed.rigid_model_v2	tmb_tomb_chariot_general_destruct	Generic_No_Crew_Rotate	wm_tomb_chariot01		tmb_tomb_chariot_general	wh2_dlc09_tmb_vehicle_chariot			ap_draughtposition	warmachines\chariot\tmb_general_chariot\tech						all_riders_shooting
wh2_dlc09_tmb_chariot_settra	warmachines\chariot\tmb_chariot_of_the_gods\tmb_chariot_of_the_gods_01_destroyed.rigid_model_v2	tmb_tomb_chariot_settra_destruct	Generic_No_Crew_Rotate	wm_tomb_chariot01		tmb_tomb_chariot_settra	wh2_dlc09_tmb_vehicle_chariot_settra			ap_draughtposition	warmachines\chariot\tmb_chariot_of_the_gods\tech						all_riders_shooting
wh2_dlc09_tmb_veh_casket_of_souls	warmachines/engines/tmb_casket_of_souls/tmb_casket_of_souls_destroyed.rigid_model_v2	tmb_casket_of_souls_destruct	Generic_No_Crew_Rotate	wm_casket_souls01		tmb_casket_of_souls	wh2_dlc09_tmb_inf_casket_of_souls				warmachines\engines\tmb_casket_of_souls\tech						all_riders_shooting
wh2_dlc11_cst_art_carronade	warmachines/engines/cst_carrionade/cst_carrionade_01_destroyed.wsmodel	cst_carrionade_destruct	Generic_3_Crew	wm_great_cannon01	wh2_dlc11_cst_carronade	cst_carrionade	wh2_dlc11_cst_art_carronade										all_riders_shooting
wh2_dlc11_cst_art_mortar	warmachines\engines\cst_mortar\cst_mortar_destroyed_01.wsmodel	cst_mortar_destruct	Generic_3_Crew	wm_mortar01	wh2_dlc11_cst_mortar	cst_mortar	wh2_dlc11_cst_art_mortar										all_riders_shooting
