key	description	show_in_uied	can_player_set	unnamed colour group_1
#ui_colours_tables;3;db/ui_colours_tables/data__				
alliance_ally	Colour used for indicating allies in battle/campaign	true	true	68CEFF
alliance_destroyed	Colour used for indicating destroyed factions/armies in battle/campaign	true	false	808080
alliance_enemy	Colour used for indicating enemies in battle/campaign	true	true	FF2D2D
alliance_neutral	Colour used for indicating neutrality in battle/campaign	true	true	BEBEBE
alliance_player	Colour used for indicating player owned in battle/campaign	true	true	A2EC17
alliance_uniform_ally_primary	These are for alliance colouring mode for battle units uniform colouring	false	false	3232DC
alliance_uniform_ally_secondary	These are for alliance colouring mode for battle units uniform colouring	false	false	545486
alliance_uniform_ally_tertiary	These are for alliance colouring mode for battle units uniform colouring	false	false	808080
alliance_uniform_enemy_primary	These are for alliance colouring mode for battle units uniform colouring	false	false	DC3232
alliance_uniform_enemy_secondary	These are for alliance colouring mode for battle units uniform colouring	false	false	7A2B2B
alliance_uniform_enemy_tertiary	These are for alliance colouring mode for battle units uniform colouring	false	false	808080
alliance_uniform_player_primary	These are for alliance colouring mode for battle units uniform colouring	false	false	DCDC32
alliance_uniform_player_secondary	These are for alliance colouring mode for battle units uniform colouring	false	false	9B9B66
alliance_uniform_player_tertiary	These are for alliance colouring mode for battle units uniform colouring	false	false	808080
ancillary_crafted	placeholder	true	false	808000
ancillary_rare	placeholder	true	false	1C6BA7
ancillary_uncommon	placeholder	true	false	246E00
ancillary_unique	placeholder	true	false	4B096F
approved	placeholder	false	false	55FFFF
battle_attack_target	Colour used in battle for lines shown connecting unit to target when attacking, and for first person projectile trajectory	false	false	C80000
black	Generic colour usesd by UI for text tags, fonts, images, etc. 	true	false	000000
bloodgrounds_highlight	Colour used for bloodgrounds region highlighting	false	false	DC0000
bloodgrounds_highlight_other_region	Colour used in preview to contrast preview region (so region not in preview)	false	false	FFFFFF
blue	Negative. Generic colour usesd by UI for text tags, fonts, images, etc. 	true	false	2D2DFF
building_highlight_outline_colour	Colour used for highlight outlines on toggleable buildings mouseover	false	false	FFB400
campaign_movement_path	Colour for campaign movement paths	false	false	406616
