campaign_group	transported_military_force_unit_pool
#campaign_group_transported_military_force_unit_pools_tables;0;db/campaign_group_transported_military_force_unit_pools_tables/data__	
grn_faction_boost_pool_faction_azagh	grn_faction_boost_pool_faction_azagh
grn_faction_boost_pool_faction_gorbad	grn_faction_boost_pool_faction_gorbad
grn_faction_boost_pool_faction_grimgor	grn_faction_boost_pool_faction_grimgor
grn_faction_boost_pool_faction_grom	grn_faction_boost_pool_faction_grom
grn_faction_boost_pool_faction_skarsnik	grn_faction_boost_pool_faction_skarsnik
grn_faction_boost_pool_faction_wurzagh	grn_faction_boost_pool_faction_wurzagh
grn_faction_boost_pool_province_albion	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_ancient_giant_lands	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_argwylon	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_ashen_coast	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_atalan_mountains	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_avelorn	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_averland	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_axe_bite_pass	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_aymara_swamps	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_barrier_idols	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_barrows_of_cuileux	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_bastonne	grn_faction_boost_pool_province_bastonne
grn_faction_boost_pool_province_black_blood_pass	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_black_mountains	grn_faction_boost_pool_province_black_mountains
grn_faction_boost_pool_province_black_water	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_blightwater	grn_faction_boost_pool_province_blightwater
grn_faction_boost_pool_province_blood_river_valley	grn_faction_boost_pool_province_blood_river_valley
grn_faction_boost_pool_province_bloodfire_falls	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_bone_road	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_broken_lands_of_tian_li	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_broken_teeth	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_caledor	grn_faction_boost_pool_province_caledor
grn_faction_boost_pool_province_carcassonne	grn_faction_boost_pool_province_carcassonne
grn_faction_boost_pool_province_celestial_lake	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_celestial_riverlands	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_central_great_bastion	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_central_jungles	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_chimera_plateau	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_chrace	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_coast_of_araby	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_coast_of_lyonesse	grn_faction_boost_pool_province_coast_of_lyonesse
grn_faction_boost_pool_province_copper_desert	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_cothique	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_crater_of_the_waking_dead	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_culchan_plains	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_dawns_landing	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_deadrock_gap	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_deadwood	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_death_pass	grn_faction_boost_pool_province_death_pass
grn_faction_boost_pool_province_devils_backbone	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_doom_glades	grn_faction_boost_pool_province_doom_glades
grn_faction_boost_pool_province_eagle_gate	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_eastern_badlands	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_eastern_border_princes	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_eastern_colonies	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_eastern_great_bastion	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_eastern_oblast	grn_faction_boost_pool_province_eastern_oblast
grn_faction_boost_pool_province_eastern_steppes	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_eataine	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_eight_peaks	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_ellyrion	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_estalia	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_forest_of_arden	grn_faction_boost_pool_province_forest_of_arden
grn_faction_boost_pool_province_forest_of_chalons	grn_faction_boost_pool_province_forest_of_chalons
grn_faction_boost_pool_province_forest_of_gloom	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_forests_of_the_moon	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_frigid_wasteland	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_gash_kadrak	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_gianthome_mountains	grn_faction_boost_pool_province_gianthome_mountains
grn_faction_boost_pool_province_gisoreux_gap	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_gnoblar_country	grn_faction_boost_pool_province_gnoblar_country
grn_faction_boost_pool_province_goromadny_mountains	grn_faction_boost_pool_province_goromadny_mountains
grn_faction_boost_pool_province_granite_hills	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_great_desert_of_araby	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_great_mortis_delta	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_griffon_gate	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_gryphon_wood	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_gunpowder_road	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_headhunters_jungle	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_heart_of_the_jungle	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_helspire_mountains	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_hochland	grn_faction_boost_pool_province_hochland
grn_faction_boost_pool_province_ice_tooth_mountains	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_imperial_road	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_iron_coast	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_iron_foothills	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_iron_mountains	grn_faction_boost_pool_province_iron_mountains
grn_faction_boost_pool_province_ironfrost_glacier	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_ironsand_desert	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_irrana_mountains	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_isthmus_of_lustria	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_ivory_road	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_jade_river_delta	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_jungles_of_chian	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_jungles_of_green_mist	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_jungles_of_pahualaxa	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_kdatha	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_kingdom_of_beasts	grn_faction_boost_pool_province_kingdom_of_beasts
grn_faction_boost_pool_province_land_of_assassins	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_land_of_the_dead	grn_faction_boost_pool_province_generic
grn_faction_boost_pool_province_land_of_the_dervishes	grn_faction_boost_pool_province_generic
