environment	type	reverb
#audio_battle_environment_reverb_junctions_tables;0;db/audio_battle_environment_reverb_junctions_tables/data__		
beastmen	forest	forest
beastmen	plains	plains
beastmen	urban	urban
bretonnia_cold	forest	forest
bretonnia_cold	plains	plains
bretonnia_cold	urban	urban
bretonnia	forest	forest
bretonnia	plains	plains
bretonnia	urban	urban
cathay	forest	forest
cathay	plains	plains
cathay	urban	urban
cave	plains	underground
chaos	forest	forest
chaos	plains	plains
chaos	urban	urban
dark_elves_beach	forest	forest
dark_elves_beach	plains	plains
dark_elves_beach	urban	urban
dark_elves_cold	forest	forest
dark_elves_cold	plains	plains
dark_elves_cold	urban	urban
dark_elves_desert	forest	forest
dark_elves_desert	plains	plains
dark_elves_desert	urban	urban
dark_elves_hills	forest	forest
dark_elves_hills	plains	plains
dark_elves_hills	urban	urban
dark_elves_marsh	forest	forest
dark_elves_marsh	plains	plains
dark_elves_marsh	urban	urban
dark_elves_qb_altar_of_darkness	forest	forest
dark_elves_qb_altar_of_darkness	plains	plains
dark_elves_qb_altar_of_darkness	urban	urban
dark_elves_volcanic_forest	forest	forest
dark_elves_volcanic_forest	plains	plains
dark_elves_volcanic_forest	urban	urban
dark_elves_volcanic_lava_river	forest	forest
dark_elves_volcanic_lava_river	plains	plains
dark_elves_volcanic_lava_river	urban	urban
dark_elves_volcanic	forest	forest
dark_elves_volcanic	plains	plains
dark_elves_volcanic	urban	urban
dlc10_dark_elves_qb_shrine_of_khaine	forest	forest
dlc10_dark_elves_qb_shrine_of_khaine	plains	plains
dlc10_dark_elves_qb_shrine_of_khaine	urban	urban
dlc10_dark_elves_qb_the_moonbow	forest	forest
dlc10_dark_elves_qb_the_moonbow	plains	plains
dlc10_dark_elves_qb_the_moonbow	urban	urban
dlc10_high_elves_qb_shadow_realm	forest	forest
dlc10_high_elves_qb_shadow_realm	plains	plains
dlc10_high_elves_qb_shadow_realm	urban	urban
dlc10_high_elves_qb_star_of_avelorn	forest	forest
dlc10_high_elves_qb_star_of_avelorn	plains	plains
dlc10_high_elves_qb_star_of_avelorn	urban	urban
dlc11_coast_desert_island	forest	forest
dlc11_coast_desert_island	plains	plains
dlc11_coast_desert_island	urban	urban
dlc11_coast_final_battle	forest	forest
dlc11_coast_final_battle	plains	plains
dlc11_coast_final_battle	urban	urban
dlc11_coast_galleons_graveyard	forest	forest
dlc11_coast_galleons_graveyard	plains	plains
dlc11_coast_galleons_graveyard	urban	urban
dlc11_coast_rocky_island	forest	forest
dlc11_coast_rocky_island	plains	plains
dlc11_coast_rocky_island	urban	urban
dlc11_coast_snowy_island	forest	forest
dlc11_coast_snowy_island	plains	plains
dlc11_coast_snowy_island	urban	urban
dlc12_lizardmen_qb_lord_kroak_mountain	forest	forest
dlc12_lizardmen_qb_lord_kroak_mountain	plains	plains
dlc12_lizardmen_qb_lord_kroak_mountain	urban	urban
dlc12_lizardmen_qb_mask_of_heavens	forest	forest
dlc12_lizardmen_qb_mask_of_heavens	plains	plains
dlc12_lizardmen_qb_mask_of_heavens	urban	urban
dlc12_lizardmen_qb_plaque_of_sotek	forest	forest
dlc12_lizardmen_qb_plaque_of_sotek	plains	plains
dlc12_lizardmen_qb_plaque_of_sotek	urban	urban
dlc12_prophet_grassy_island	forest	forest
dlc12_prophet_grassy_island	plains	plains
dlc12_prophet_grassy_island	urban	urban
dlc12_prophet_tropical_island	forest	forest
dlc12_prophet_tropical_island	plains	plains
dlc12_prophet_tropical_island	urban	urban
dlc12_skaven_qb_storm_daemon	forest	forest
dlc12_skaven_qb_storm_daemon	plains	plains
dlc12_skaven_qb_storm_daemon	urban	urban
dlc13_lizardmen_qb_amber_bow	forest	forest
dlc13_lizardmen_qb_amber_bow	plains	plains
dlc13_lizardmen_qb_amber_bow	urban	urban
dlc13_lizardmen_qb_final_battle	forest	forest
dlc13_lizardmen_qb_final_battle	plains	plains
dlc13_lizardmen_qb_final_battle	urban	urban
dlc13_lizardmen_qb_golden_tributes	forest	forest
dlc13_lizardmen_qb_golden_tributes	plains	plains
dlc13_lizardmen_qb_golden_tributes	urban	urban
dlc13_lizardmen_qb_ogham_shard	forest	forest
dlc13_lizardmen_qb_ogham_shard	plains	plains
dlc13_lizardmen_qb_ogham_shard	urban	urban
dlc14_bretonnia_qb_guardian_of_lyonesse	forest	forest
dlc14_bretonnia_qb_guardian_of_lyonesse	plains	plains
dlc14_bretonnia_qb_guardian_of_lyonesse	urban	urban
dlc14_bretonnia_qb_sword_of_lyonesse	forest	forest
dlc14_bretonnia_qb_sword_of_lyonesse	plains	plains
dlc14_bretonnia_qb_sword_of_lyonesse	urban	urban
dlc14_bretonnia_qb_vanquisher_of_undead	forest	forest
dlc14_bretonnia_qb_vanquisher_of_undead	plains	plains
dlc14_bretonnia_qb_vanquisher_of_undead	urban	urban
dlc14_dark_elves_qb_warpsword_of_khaine	forest	forest
dlc14_dark_elves_qb_warpsword_of_khaine	plains	plains
dlc14_dark_elves_qb_warpsword_of_khaine	urban	urban
dlc17_beastmen_taurox_qb_rune_tortured_axes	forest	forest
dlc17_beastmen_taurox_qb_rune_tortured_axes	plains	plains
dlc17_beastmen_taurox_qb_rune_tortured_axes	urban	urban
dlc17_dwarves_thorek_qb_klad_brakak	forest	forest
dlc17_dwarves_thorek_qb_klad_brakak	plains	plains
dlc17_dwarves_thorek_qb_klad_brakak	urban	urban
dlc17_dwarves_thorek_qb_the_lost_vault	plains	underground
dlc17_final_battle_heart_of_the_dark	forest	forest
dlc17_final_battle_heart_of_the_dark	plains	plains
dlc17_final_battle_heart_of_the_dark	urban	urban
dlc17_lizardmen_oxotyl_qb_the_golden_blowpipe_of_ptoohee	forest	forest
dlc17_lizardmen_oxotyl_qb_the_golden_blowpipe_of_ptoohee	plains	plains
dlc17_lizardmen_oxotyl_qb_the_golden_blowpipe_of_ptoohee	urban	urban
dwarf	forest	forest
dwarf	plains	plains
dwarf	urban	urban
empire	forest	forest
empire	plains	plains
empire	urban	urban
forge	forest	forest
forge	plains	plains
forge	urban	urban
greenskin	forest	forest
greenskin	plains	plains
greenskin	urban	urban
high_elves_beach	forest	forest
high_elves_beach	plains	plains
high_elves_beach	urban	urban
high_elves_hills	forest	forest
