subculture	can_make_confederations	can_make_vassals
#diplomatic_action_subculture_restrictions_tables;1;db/diplomatic_action_subculture_restrictions_tables/data__		
wh2_dlc09_sc_tmb_tomb_kings	false	true
wh2_main_rogue	false	false
wh2_main_rogue_chaos	false	false
wh2_main_sc_def_dark_elves	true	true
wh2_main_sc_hef_high_elves	true	true
wh2_main_sc_lzd_lizardmen	true	true
wh2_main_sc_skv_skaven	true	true
wh3_main_sc_cth_cathay	true	true
wh3_main_sc_dae_daemons	true	true
wh3_main_sc_kho_khorne	true	true
wh3_main_sc_ksl_kislev	true	true
wh3_main_sc_nur_nurgle	true	true
wh3_main_sc_ogr_ogre_kingdoms	true	true
wh3_main_sc_sla_slaanesh	true	true
wh3_main_sc_tze_tzeentch	true	true
wh_dlc03_sc_bst_beastmen	true	false
wh_dlc05_sc_wef_wood_elves	true	true
wh_dlc08_sc_nor_norsca	true	true
wh_main_sc_brt_bretonnia	true	true
wh_main_sc_chs_chaos	false	true
wh_main_sc_dwf_dwarfs	true	true
wh_main_sc_emp_empire	true	true
wh_main_sc_grn_greenskins	true	true
wh_main_sc_grn_savage_orcs	false	true
wh_main_sc_teb_teb	false	true
wh_main_sc_vmp_vampire_counts	true	true
