battle_type	weighting_type	army_size	era	max_infantry	max_cavalry	max_artillery	max_small_ship	max_frigate	max_line_of_battle	id
#battle_type_setup_limits_tables;1;db/battle_type_setup_limits_tables/data__										
capture_point	artillery_heavy	large	early	3	5	12	0	0	0	12
capture_point	artillery_heavy	large	late	3	5	12	0	0	0	58
capture_point	artillery_heavy	large	middle	3	5	12	0	0	0	46
capture_point	artillery_heavy	medium	early	2	4	8	0	0	0	11
capture_point	artillery_heavy	medium	late	2	4	8	0	0	0	57
capture_point	artillery_heavy	medium	middle	2	4	8	0	0	0	45
capture_point	artillery_heavy	small	early	1	2	4	0	0	0	10
capture_point	artillery_heavy	small	late	1	2	4	0	0	0	56
capture_point	artillery_heavy	small	middle	1	2	4	0	0	0	44
capture_point	balanced	large	early	13	4	3	0	0	0	18
capture_point	balanced	large	late	13	4	3	0	0	0	64
capture_point	balanced	large	middle	7	7	6	0	0	0	52
capture_point	balanced	medium	early	9	3	2	0	0	0	17
capture_point	balanced	medium	late	9	3	2	0	0	0	63
capture_point	balanced	medium	middle	9	3	2	0	0	0	51
capture_point	balanced	small	early	3	2	2	0	0	0	16
capture_point	balanced	small	late	3	2	2	0	0	0	62
capture_point	balanced	small	middle	3	2	2	0	0	0	50
capture_point	cavalry_heavy	large	early	5	12	3	0	0	0	15
capture_point	cavalry_heavy	large	late	5	12	3	0	0	0	61
capture_point	cavalry_heavy	large	middle	5	12	3	0	0	0	49
capture_point	cavalry_heavy	medium	early	4	8	2	0	0	0	14
capture_point	cavalry_heavy	medium	late	4	8	2	0	0	0	60
capture_point	cavalry_heavy	medium	middle	4	8	2	0	0	0	48
capture_point	cavalry_heavy	small	early	2	4	1	0	0	0	13
capture_point	cavalry_heavy	small	late	2	4	1	0	0	0	59
capture_point	cavalry_heavy	small	middle	2	4	1	0	0	0	47
capture_point	infantry_heavy	large	early	12	5	3	0	0	0	8
capture_point	infantry_heavy	large	late	12	5	3	0	0	0	55
capture_point	infantry_heavy	large	middle	12	5	3	0	0	0	43
capture_point	infantry_heavy	medium	early	8	4	2	0	0	0	7
capture_point	infantry_heavy	medium	late	8	4	2	0	0	0	54
capture_point	infantry_heavy	medium	middle	8	4	2	0	0	0	42
capture_point	infantry_heavy	small	early	4	2	1	0	0	0	6
capture_point	infantry_heavy	small	late	4	2	1	0	0	0	53
capture_point	infantry_heavy	small	middle	4	2	1	0	0	0	41
classic	artillery_heavy	large	early	9	6	5	0	0	0	21
classic	artillery_heavy	large	late	9	6	5	0	0	0	76
classic	artillery_heavy	large	middle	9	6	5	0	0	0	73
classic	artillery_heavy	medium	early	8	3	3	0	0	0	20
classic	artillery_heavy	medium	late	8	3	3	0	0	0	75
classic	artillery_heavy	medium	middle	2	4	8	0	0	0	72
classic	artillery_heavy	small	early	1	2	4	0	0	0	19
classic	artillery_heavy	small	late	1	2	4	0	0	0	74
classic	artillery_heavy	small	middle	1	2	4	0	0	0	71
classic	balanced	large	early	20	20	20	0	0	0	28
classic	balanced	large	late	20	20	20	0	0	0	90
classic	balanced	large	middle	13	4	3	0	0	0	87
classic	balanced	medium	early	20	20	20	0	0	0	26
classic	balanced	medium	late	20	20	20	0	0	0	89
classic	balanced	medium	middle	9	3	2	0	0	0	85
classic	balanced	small	early	3	2	2	0	0	0	25
classic	balanced	small	late	3	2	2	0	0	0	88
classic	balanced	small	middle	3	2	2	0	0	0	84
classic	cavalry_heavy	large	early	8	10	2	0	0	0	24
classic	cavalry_heavy	large	late	8	10	2	0	0	0	83
classic	cavalry_heavy	large	middle	5	12	3	0	0	0	80
classic	cavalry_heavy	medium	early	5	7	2	0	0	0	23
classic	cavalry_heavy	medium	late	4	8	2	0	0	0	82
classic	cavalry_heavy	medium	middle	4	8	2	0	0	0	79
classic	cavalry_heavy	small	early	2	4	1	0	0	0	22
classic	cavalry_heavy	small	late	2	4	1	0	0	0	81
classic	cavalry_heavy	small	middle	2	4	1	0	0	0	78
classic	infantry_heavy	large	early	15	3	2	0	0	0	5
classic	infantry_heavy	large	late	15	3	2	0	0	0	70
classic	infantry_heavy	large	middle	12	5	3	0	0	0	67
classic	infantry_heavy	medium	early	10	2	2	0	0	0	1
classic	infantry_heavy	medium	late	10	2	2	0	0	0	69
classic	infantry_heavy	medium	middle	8	4	2	0	0	0	66
classic	infantry_heavy	small	early	4	2	1	0	0	0	3
classic	infantry_heavy	small	late	4	2	1	0	0	0	68
classic	infantry_heavy	small	middle	4	2	1	0	0	0	65
naval	artillery_heavy	large	early	9	6	5	0	0	0	126
naval	artillery_heavy	large	late	9	6	5	0	0	0	132
naval	artillery_heavy	large	middle	9	6	5	0	0	0	129
naval	artillery_heavy	medium	early	8	3	3	0	0	0	125
naval	artillery_heavy	medium	late	8	3	3	0	0	0	131
naval	artillery_heavy	medium	middle	8	3	3	0	0	0	128
naval	artillery_heavy	small	early	1	3	3	0	0	0	124
naval	artillery_heavy	small	late	1	2	4	0	0	0	130
naval	artillery_heavy	small	middle	1	2	4	0	0	0	127
naval	balanced	large	early	20	20	20	0	0	0	144
naval	balanced	large	late	20	20	20	0	0	0	150
naval	balanced	large	middle	7	7	6	0	0	0	147
naval	balanced	medium	early	20	20	20	0	0	0	143
naval	balanced	medium	late	20	20	20	0	0	0	149
naval	balanced	medium	middle	5	5	4	0	0	0	146
naval	balanced	small	early	1	0	9	0	0	0	142
naval	balanced	small	late	2	0	8	0	0	0	148
naval	balanced	small	middle	3	2	2	0	0	0	145
naval	cavalry_heavy	large	early	8	10	2	0	0	0	135
naval	cavalry_heavy	large	late	8	10	2	0	0	0	141
naval	cavalry_heavy	large	middle	5	12	3	0	0	0	138
naval	cavalry_heavy	medium	early	5	7	2	0	0	0	134
naval	cavalry_heavy	medium	late	5	7	2	0	0	0	140
naval	cavalry_heavy	medium	middle	4	8	2	0	0	0	137
naval	cavalry_heavy	small	early	2	4	1	0	0	0	133
naval	cavalry_heavy	small	late	2	4	1	0	0	0	139
naval	cavalry_heavy	small	middle	2	4	1	0	0	0	136
naval	infantry_heavy	large	early	15	3	2	0	0	0	117
naval	infantry_heavy	large	late	15	3	2	0	0	0	123
naval	infantry_heavy	large	middle	12	5	3	0	0	0	120
naval	infantry_heavy	medium	early	10	2	2	0	0	0	116
naval	infantry_heavy	medium	late	10	2	2	0	0	0	122
naval	infantry_heavy	medium	middle	8	4	2	0	0	0	119
naval	infantry_heavy	small	early	4	2	1	0	0	0	115
naval	infantry_heavy	small	late	4	2	1	0	0	0	121
naval	infantry_heavy	small	middle	4	2	1	0	0	0	118
siege	artillery_heavy	large	early	3	5	12	0	0	0	34
siege	artillery_heavy	large	late	3	5	12	0	0	0	102
siege	artillery_heavy	large	middle	3	5	12	0	0	0	99
siege	artillery_heavy	medium	early	2	4	8	0	0	0	33
siege	artillery_heavy	medium	late	2	4	8	0	0	0	101
siege	artillery_heavy	medium	middle	2	4	8	0	0	0	98
siege	artillery_heavy	small	early	1	2	4	0	0	0	32
siege	artillery_heavy	small	late	1	2	4	0	0	0	100
siege	artillery_heavy	small	middle	1	2	4	0	0	0	97
siege	balanced	large	early	20	20	20	0	0	0	40
siege	balanced	large	late	20	20	20	0	0	0	114
siege	balanced	large	middle	7	7	6	0	0	0	111
siege	balanced	medium	early	20	20	20	0	0	0	39
siege	balanced	medium	late	20	20	20	0	0	0	113
siege	balanced	medium	middle	20	20	20	0	0	0	110
siege	balanced	small	early	3	2	2	0	0	0	38
siege	balanced	small	late	3	2	2	0	0	0	112
siege	balanced	small	middle	3	2	2	0	0	0	109
siege	cavalry_heavy	large	early	5	12	3	0	0	0	37
siege	cavalry_heavy	large	late	5	12	3	0	0	0	108
siege	cavalry_heavy	large	middle	5	12	3	0	0	0	105
siege	cavalry_heavy	medium	early	4	8	2	0	0	0	36
siege	cavalry_heavy	medium	late	4	8	2	0	0	0	107
siege	cavalry_heavy	medium	middle	4	8	2	0	0	0	104
siege	cavalry_heavy	small	early	2	4	1	0	0	0	35
siege	cavalry_heavy	small	late	2	4	1	0	0	0	106
siege	cavalry_heavy	small	middle	2	4	1	0	0	0	103
siege	infantry_heavy	large	early	12	5	3	0	0	0	31
siege	infantry_heavy	large	late	12	5	3	0	0	0	96
siege	infantry_heavy	large	middle	12	5	3	0	0	0	93
siege	infantry_heavy	medium	early	8	4	2	0	0	0	30
siege	infantry_heavy	medium	late	8	4	2	0	0	0	95
siege	infantry_heavy	medium	middle	8	4	2	0	0	0	92
siege	infantry_heavy	small	early	4	2	1	0	0	0	29
siege	infantry_heavy	small	late	4	2	1	0	0	0	94
siege	infantry_heavy	small	middle	4	2	1	0	0	0	91
