ritual	completed_awareness	started_event	active_awareness
#audio_ritual_dialogue_events_tables;2;db/audio_ritual_dialogue_events_tables/data__			
wh2_dlc11_ritual_bloodlines_blood_dragon		campaign_vo_cs_vmp_empower_bloodline_blood_dragon	
wh2_dlc11_ritual_bloodlines_lahmian		campaign_vo_cs_vmp_empower_bloodline_lahmian	
wh2_dlc11_ritual_bloodlines_necrarch		campaign_vo_cs_vmp_empower_bloodline_necrarch	
wh2_dlc11_ritual_bloodlines_strigoi		campaign_vo_cs_vmp_empower_bloodline_strigoi	
wh2_dlc11_ritual_bloodlines_von_carstein		campaign_vo_cs_vmp_empower_bloodline_von_carstein	
wh2_main_ritual_grn_waaagh	campaign_vo_cs_grn_waaagh_complete		campaign_vo_cs_grn_waaagh_in_progress
wh3_dlc26_ritual_kho_the_skull_throne_1_1		campaign_vo_skull_throne_tier1	
wh3_dlc26_ritual_kho_the_skull_throne_1_2		campaign_vo_skull_throne_tier1	
wh3_dlc26_ritual_kho_the_skull_throne_1_3		campaign_vo_skull_throne_tier1	
wh3_dlc26_ritual_kho_the_skull_throne_1_4		campaign_vo_skull_throne_tier1	
wh3_dlc26_ritual_kho_the_skull_throne_2_1		campaign_vo_skull_throne_tier2	
wh3_dlc26_ritual_kho_the_skull_throne_2_2		campaign_vo_skull_throne_tier2	
wh3_dlc26_ritual_kho_the_skull_throne_2_3		campaign_vo_skull_throne_tier2	
wh3_dlc26_ritual_kho_the_skull_throne_3_1		campaign_vo_skull_throne_tier3	
wh3_dlc26_ritual_kho_the_skull_throne_3_2		campaign_vo_skull_throne_tier3	
wh3_dlc26_ritual_kho_the_skull_throne_4_1		campaign_vo_skull_throne_tier4	
wh3_dlc27_nor_trap_foreign_slot		campaign_vo_nor_treachery	
wh3_dlc27_ritual_sla_create_cults_dechala		campaign_vo_cs_sla_proliferate_cults	
wh3_dlc29_vmp_ritual_confederate_lord_ghorst		campaign_vo_cs_vmp_confederate_ghorst	
wh3_dlc29_vmp_ritual_confederate_lord_kemmler		campaign_vo_cs_vmp_confederate_kemmler	
wh3_dlc29_vmp_ritual_confederate_lord_mannfred		campaign_vo_cs_vmp_confederate_mannfred	
wh3_dlc29_vmp_ritual_confederate_lord_neferata		campaign_vo_cs_vmp_confederate_neferata	
wh3_dlc29_vmp_ritual_confederate_lord_vlad_isabella		campaign_vo_cs_vmp_confederate_von_carstein	
wh3_main_ritual_sla_create_cults		campaign_vo_cs_sla_proliferate_cults	
wh3_main_ritual_sla_pleasure_arena		campaign_vo_sla_pleasurable_act_arena	
wh3_main_ritual_sla_pleasure_hunt		campaign_vo_sla_pleasurable_act_hunt	
wh3_main_ritual_sla_pleasure_party		campaign_vo_sla_pleasurable_act_party	
