key	category	model	audio_material	hit_points	gun_type	onscreen_name	ignition_threshold	radar_icon	visible_in_public_ted	fortwall_penetration_chance	collision_3d	destruct_thresholds	joiner	auxiliary	burn_rate	height_map_mesh	ground_type	can_burn	audio_count_as_urban	ability_radius	shares_reload_between_emitters	togleable_icon_path	audio_construction_type_switch	audio_faction_switch	tower_group	destructible
#battlefield_buildings_tables;29;db/battlefield_buildings_tables/data__																										
beech_mushrooms_a	generic	beech_mushrooms_a	rock	500			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
beech_mushrooms_b	generic	beech_mushrooms_b	rock	500			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
beech_mushrooms_c	generic	beech_mushrooms_c	rock	500			100		true	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
blk_barricade	generic	blk_barricade	rock	3000			100		false	0	true		false	false	1.0000	false	wooden_floor	false	false	-1.0000	false				default_value	default
blk_barricade_frost_pillar_01	generic	blk_barricade_frost_pillar_01	rock	2000			100		false	0	true		false	false	1.0000	false	wooden_floor	false	false	32.0000	false				default_value	default
blk_barricade_frostbite_01	generic	blk_barricade_frostbite_01	rock	2000			100		false	0	true		false	false	1.0000	false	wooden_floor	false	false	32.0000	false				default_value	default
blk_barricade_ice_01	generic	blk_barricade_ice_01	rock	3000			100		false	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
blk_barricade_ice_block_01	generic	blk_barricade_ice_block_01	rock	12000			100		false	0	true		false	false	1.0000	false	wooden_floor	false	false	32.0000	false				default_value	default
blk_barricade_icicles_01	generic	blk_barricade_icicles_01	rock	2000			100		false	0	true		false	false	1.0000	false	wooden_floor	false	false	32.0000	false				default_value	default
blk_barricade_sheet_of_ice_01	generic	blk_barricade_sheet_of_ice_01	rock	2000			100		false	0	true		false	false	1.0000	false	wooden_floor	false	false	32.0000	false				default_value	default
blk_barricade_test_01	generic	blk_barricade	rock	2500		building	100		false	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
blk_barricade_test_02	generic	blk_barricade	rock	4000		building	100		false	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
blk_bridge_01	bridge	blk_bridge_01	rock	15			100		false	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	false				default_value	default
blk_cube10x10_01	generic	blk_cube10x10_01	rock	15			100		false	0	true		false	false	1.0000	false	rock	false	false	0.0000	false				default_value	default
blk_cube10x10_01_30m	generic	blk_cube10x10_01_30m	rock	15			100		false	0	true		false	false	1.0000	false	rock	false	false	0.0000	false				default_value	default
blk_ksl_tower_30m_01	generic	glb_tower_wood_01	rock	4000	wh3_settlement_tower_ksl_crossbow		100		false	0	true		false	false	1.0000	false	wooden_floor	false	false	0.0000	true				default_value	default
