art_set_id	agent_type	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
#campaign_character_art_sets_tables;6;db/campaign_character_art_sets_tables/data__								
wh2_dlc09_art_set_skv_tretch_craventail	general				false	true	wh2_dlc09_skv_tretch_craventail	1.0000
wh2_dlc09_art_set_tmb_arkhan	general				false	true	wh2_dlc09_tmb_arkhan	1.0000
wh2_dlc09_art_set_tmb_khalida	general				false	true	wh2_dlc09_tmb_khalida	1.0000
wh2_dlc09_art_set_tmb_khatep	general				false	true	wh2_dlc09_tmb_khatep	1.0000
wh2_dlc09_art_set_tmb_liche_priest_01	wizard				false	true	wh2_dlc09_tmb_liche_priest_nehekhara	1.0000
wh2_dlc09_art_set_tmb_liche_priest_01_death	wizard				false	true	wh2_dlc09_tmb_liche_priest_death	1.0000
wh2_dlc09_art_set_tmb_liche_priest_01_light	wizard				false	true	wh2_dlc09_tmb_liche_priest_light	1.0000
wh2_dlc09_art_set_tmb_liche_priest_01_shadow	wizard				false	true	wh2_dlc09_tmb_liche_priest_shadow	1.0000
wh2_dlc09_art_set_tmb_liche_priest_02	wizard				false	true	wh2_dlc09_tmb_liche_priest_nehekhara	1.0000
wh2_dlc09_art_set_tmb_liche_priest_02_death	wizard				false	true	wh2_dlc09_tmb_liche_priest_death	1.0000
wh2_dlc09_art_set_tmb_liche_priest_02_light	wizard				false	true	wh2_dlc09_tmb_liche_priest_light	1.0000
wh2_dlc09_art_set_tmb_liche_priest_02_shadow	wizard				false	true	wh2_dlc09_tmb_liche_priest_shadow	1.0000
wh2_dlc09_art_set_tmb_liche_priest_03	wizard				false	true	wh2_dlc09_tmb_liche_priest_nehekhara	1.0000
wh2_dlc09_art_set_tmb_liche_priest_03_death	wizard				false	true	wh2_dlc09_tmb_liche_priest_death	1.0000
wh2_dlc09_art_set_tmb_liche_priest_03_light	wizard				false	true	wh2_dlc09_tmb_liche_priest_light	1.0000
wh2_dlc09_art_set_tmb_liche_priest_03_shadow	wizard				false	true	wh2_dlc09_tmb_liche_priest_shadow	1.0000
wh2_dlc09_art_set_tmb_liche_priest_04	wizard				false	true	wh2_dlc09_tmb_liche_priest_nehekhara	1.0000
wh2_dlc09_art_set_tmb_liche_priest_04_death	wizard				false	true	wh2_dlc09_tmb_liche_priest_death	1.0000
wh2_dlc09_art_set_tmb_liche_priest_04_light	wizard				false	true	wh2_dlc09_tmb_liche_priest_light	1.0000
wh2_dlc09_art_set_tmb_liche_priest_04_shadow	wizard				false	true	wh2_dlc09_tmb_liche_priest_shadow	1.0000
wh2_dlc09_art_set_tmb_liche_priest_05	wizard				false	true	wh2_dlc09_tmb_liche_priest_nehekhara	1.0000
wh2_dlc09_art_set_tmb_liche_priest_05_death	wizard				false	true	wh2_dlc09_tmb_liche_priest_death	1.0000
wh2_dlc09_art_set_tmb_liche_priest_05_light	wizard				false	true	wh2_dlc09_tmb_liche_priest_light	1.0000
wh2_dlc09_art_set_tmb_liche_priest_05_shadow	wizard				false	true	wh2_dlc09_tmb_liche_priest_shadow	1.0000
wh2_dlc09_art_set_tmb_necrotect_01	engineer				false	true	wh2_dlc09_tmb_necrotect	1.0000
wh2_dlc09_art_set_tmb_necrotect_01_ritual	engineer				false	true	wh2_dlc09_tmb_necrotect_ritual	1.0000
wh2_dlc09_art_set_tmb_necrotect_02	engineer				false	true	wh2_dlc09_tmb_necrotect	1.0000
wh2_dlc09_art_set_tmb_necrotect_02_ritual	engineer				false	true	wh2_dlc09_tmb_necrotect_ritual	1.0000
wh2_dlc09_art_set_tmb_necrotect_03	engineer				false	true	wh2_dlc09_tmb_necrotect	1.0000
wh2_dlc09_art_set_tmb_necrotect_03_ritual	engineer				false	true	wh2_dlc09_tmb_necrotect_ritual	1.0000
wh2_dlc09_art_set_tmb_necrotect_04	engineer				false	true	wh2_dlc09_tmb_necrotect	1.0000
wh2_dlc09_art_set_tmb_necrotect_04_ritual	engineer				false	true	wh2_dlc09_tmb_necrotect_ritual	1.0000
wh2_dlc09_art_set_tmb_settra	general				false	true	wh2_dlc09_tmb_settra	1.0000
wh2_dlc09_art_set_tmb_tomb_king_01	general				false	true	wh2_dlc09_tmb_tomb_king	1.0000
wh2_dlc09_art_set_tmb_tomb_king_02	general				false	true	wh2_dlc09_tmb_tomb_king	1.0000
wh2_dlc09_art_set_tmb_tomb_king_03	general				false	true	wh2_dlc09_tmb_tomb_king	1.0000
