sa_display_key	wind_up_aura_vfx	wind_up_weapon_vfx
#special_ability_displays_tables;0;db/special_ability_displays_tables/data__		
beasts_long	wh_dlc03_beasts_aura_casting_long	wh_dlc03_beasts_cast_long
beasts_medium	wh_dlc03_beasts_aura_casting_medium	wh_dlc03_beasts_cast_medium
beasts_short	wh_dlc03_beasts_aura_casting_short	wh_dlc03_beasts_cast_short
big_waaagh_long	wh_main_big_waaagh_aura_casting_long	wh_main_big_waaagh_cast_long
big_waaagh_medium	wh_main_big_waaagh_aura_casting_medium	wh_main_big_waaagh_cast_medium
big_waaagh_short	wh_main_big_waaagh_aura_casting_short	wh_main_big_waaagh_cast_short
dark_magic_long	wh2_main_dark_aura_casting_long	wh2_main_dark_cast_long
dark_magic_medium	wh2_main_dark_aura_casting_medium	wh2_main_dark_cast_medium
dark_magic_short	wh2_main_dark_aura_casting_short	wh2_main_dark_cast_short
death_long	wh_main_death_aura_casting_long	wh_main_death_cast_long
death_medium	wh_main_death_aura_casting_medium	wh_main_death_cast_medium
death_short	wh_main_death_aura_casting_short	wh_main_death_cast_short
deep_long	wh2_dlc11_deep_aura_casting_long	wh2_dlc11_deep_cast_long
deep_medium	wh2_dlc11_deep_aura_casting_medium	wh2_dlc11_deep_cast_medium
deep_short	wh2_dlc11_deep_aura_casting_short	wh2_dlc11_deep_cast_short
fire_long	wh_main_fire_aura_casting_long	wh_main_fire_cast_long
fire_medium	wh_main_fire_aura_casting_medium	wh_main_fire_cast_medium
fire_short	wh_main_fire_aura_casting_short	wh_main_fire_cast_short
great_maw_long	wh3_main_great_maw_aura_casting_long	wh3_main_great_maw_cast_long
great_maw_medium	wh3_main_great_maw_aura_casting_medium	wh3_main_great_maw_cast_medium
great_maw_short	wh3_main_great_maw_aura_casting_short	wh3_main_great_maw_cast_short
hags_long	wh3_dlc24_ostankya_casting_long	wh3_dlc24_ostankya_casting_long
hags_medium	wh3_dlc24_ostankya_casting_medium	wh3_dlc24_ostankya_casting_medium
hags_short	wh3_dlc24_ostankya_casting_short	wh3_dlc24_ostankya_casting_short
hashut_long	wh3_dlc23_hashut_aura_casting_long	wh3_dlc23_hashut_weapon_casting_long
hashut_medium	wh3_dlc23_hashut_aura_casting_medium	wh3_dlc23_hashut_weapon_casting_medium
hashut_short	wh3_dlc23_hashut_aura_casting_short	wh3_dlc23_hashut_weapon_casting_short
heavens_long	wh_main_heavens_aura_casting_long	wh_main_heavens_cast_long
heavens_medium	wh_main_heavens_aura_casting_medium	wh_main_heavens_cast_medium
heavens_short	wh_main_heavens_aura_casting_short	wh_main_heavens_cast_short
high_magic_long	wh2_main_high_aura_casting_long	wh2_main_high_cast_long
high_magic_long_phoenix	wh2_main_high_aura_casting_long_phoenix	wh2_main_high_cast_long
high_magic_medium	wh2_main_high_aura_casting_medium	wh2_main_high_cast_medium
high_magic_short	wh2_main_high_aura_casting_short	wh2_main_high_cast_short
ice_long	wh3_main_ice_aura_casting_long	wh3_main_ice_cast_long
ice_medium	wh3_main_ice_aura_casting_medium	wh3_main_ice_cast_medium
ice_short	wh3_main_ice_aura_casting_short	wh3_main_ice_cast_short
life_long	wh_dlc05_life_aura_casting_long	wh_dlc05_life_cast_long
life_medium	wh_dlc05_life_aura_casting_medium	wh_dlc05_life_cast_medium
life_short	wh_dlc05_life_aura_casting_short	wh_dlc05_life_cast_short
light_long	wh_main_light_aura_casting_long	wh_main_light_cast_long
light_medium	wh_main_light_aura_casting_medium	wh_main_light_cast_medium
light_short	wh_main_light_aura_casting_short	wh_main_light_cast_short
lil_waaagh_long	wh_main_lil_waaagh_aura_casting_long	wh_main_lil_waaagh_cast_long
lil_waaagh_medium	wh_main_lil_waaagh_aura_casting_medium	wh_main_lil_waaagh_cast_medium
lil_waaagh_short	wh_main_lil_waaagh_aura_casting_short	wh_main_lil_waaagh_cast_short
metal_long	wh_main_metal_aura_casting_long	wh_main_metal_cast_long
metal_medium	wh_main_metal_aura_casting_medium	wh_main_metal_cast_medium
metal_short	wh_main_metal_aura_casting_short	wh_main_metal_cast_short
mists_long	wh3_dlc27_lore_of_mists_casting_long	wh3_dlc27_lore_of_mists_weapon_cast_long
mists_medium	wh3_dlc27_lore_of_mists_casting_medium	wh3_dlc27_lore_of_mists_weapon_cast_medium
mists_short	wh3_dlc27_lore_of_mists_casting_short	wh3_dlc27_lore_of_mists_weapon_cast_short
nehekhara_long	wh2_dlc09_nehekhara_aura_casting_long	wh2_dlc09_nehekhara_cast_long
nehekhara_medium	wh2_dlc09_nehekhara_aura_casting_medium	wh2_dlc09_nehekhara_cast_medium
nehekhara_short	wh2_dlc09_nehekhara_aura_casting_short	wh2_dlc09_nehekhara_cast_short
nurgle_long	wh3_main_nurgle_aura_casting_long	wh3_main_nurgle_cast_long
nurgle_medium	wh3_main_nurgle_aura_casting_medium	wh3_main_nurgle_cast_medium
nurgle_short	wh3_main_nurgle_aura_casting_short	wh3_main_nurgle_cast_short
plague_long	wh2_main_plague_aura_casting_long	wh2_main_plague_cast_long
plague_medium	wh2_main_plague_aura_casting_medium	wh2_main_plague_cast_medium
plague_short	wh2_main_plague_aura_casting_short	wh2_main_plague_cast_short
ruin_long	wh2_main_ruin_aura_casting_long	wh2_main_ruin_cast_long
ruin_medium	wh2_main_ruin_aura_casting_medium	wh2_main_ruin_cast_medium
ruin_short	wh2_main_ruin_aura_casting_short	wh2_main_ruin_cast_short
shadow_long	wh_dlc05_shadow_aura_casting_long	wh_dlc05_shadow_cast_long
shadow_medium	wh_dlc05_shadow_aura_casting_medium	wh_dlc05_shadow_cast_medium
shadow_short	wh_dlc05_shadow_aura_casting_short	wh_dlc05_shadow_cast_short
slaanesh_long	wh3_main_slaanesh_aura_casting_long	wh3_main_slaanesh_cast_long
slaanesh_medium	wh3_main_slaanesh_aura_casting_medium	wh3_main_slaanesh_cast_medium
slaanesh_short	wh3_main_slaanesh_aura_casting_short	wh3_main_slaanesh_cast_short
soulfire		wh_main_generic_cast_short
stealth_long	wh2_dlc14_stealth_aura_casting_long	wh2_dlc14_stealth_cast_long
stealth_medium	wh2_dlc14_stealth_aura_casting_medium	wh2_dlc14_stealth_cast_medium
stealth_short	wh2_dlc14_stealth_aura_casting_short	wh2_dlc14_stealth_cast_short
tempest_long	wh3_main_tempest_aura_casting_long	wh3_main_tempest_cast_long
tempest_medium	wh3_main_tempest_aura_casting_medium	wh3_main_tempest_cast_medium
tempest_short	wh3_main_tempest_aura_casting_short	wh3_main_tempest_cast_short
tzeentch_long	wh3_main_tzeentch_aura_casting_long	wh3_main_tzeentch_cast_long
tzeentch_medium	wh3_main_tzeentch_aura_casting_medium	wh3_main_tzeentch_cast_medium
tzeentch_short	wh3_main_tzeentch_aura_casting_short	wh3_main_tzeentch_cast_short
vampires_long	wh_main_vampires_aura_casting_long	wh_main_vampires_cast_long
vampires_medium	wh_main_vampires_aura_casting_medium	wh_main_vampires_cast_medium
vampires_short	wh_main_vampires_aura_casting_short	wh_main_vampires_cast_short
war_altar_light_long	wh_dlc04_light_ability_aura_casting_long	wh_main_light_cast_long
wild_long	wh_dlc03_wild_aura_casting_long	wh_dlc03_wild_cast_long
wild_medium	wh_dlc03_wild_aura_casting_medium	wh_dlc03_wild_cast_medium
wild_short	wh_dlc03_wild_aura_casting_short	wh_dlc03_wild_cast_short
yang_long	wh3_main_yang_aura_casting_long	wh3_main_yang_cast_long
yang_medium	wh3_main_yang_aura_casting_medium	wh3_main_yang_cast_medium
yang_short	wh3_main_yang_aura_casting_short	wh3_main_yang_cast_short
yin_long	wh3_main_yin_aura_casting_long	wh3_main_yin_cast_long
yin_medium	wh3_main_yin_aura_casting_medium	wh3_main_yin_cast_medium
yin_short	wh3_main_yin_aura_casting_short	wh3_main_yin_cast_short
