context	priority	profile
#cai_personality_deal_evaluation_profile_context_overrides_junctions_tables;0;db/cai_personality_deal_evaluation_profile_context_overrides_junctions_tables/data__		
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_bretonnia
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_bretonnia_major
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_bretonnia_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_cathay
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_cathay_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_chaos
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_chaos_dwarf
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_chaos_dwarf_major
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_chaos_dwarf_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_chaos_dwarf_unfriendly
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_chaos_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_conclave_of_sorcerers
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_darkelf
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_darkelf_major
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_darkelf_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_darkelf_unfriendly
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_default
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_dwarf
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_dwarf_major
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_dwarf_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_dwarf_unfriendly
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_empire
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_empire_major
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_empire_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_empire_unfriendly
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_greenskin
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_greenskin_major
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_greenskin_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_greenskin_unfriendly
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_highelf
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_highelf_major
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_highelf_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_highelf_unfriendly
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_kislev
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_kislev_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_lizardmen
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_lizardmen_major
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_lizardmen_minor
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_lizardmen_unfriendly
cai_faction_status_context_type_standard_regionless	2	wh3_deal_eval_profile_minor
