key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/data__								
wh2_dlc09_books_of_nagash_reward_1		First Book of Nagash	faction	1	books_of_nagash.png	false	false	true
wh2_dlc09_books_of_nagash_reward_2		Second Book of Nagash	faction	1	books_of_nagash.png	false	false	true
wh2_dlc09_books_of_nagash_reward_3		Third Book of Nagash	faction	1	books_of_nagash.png	false	false	true
wh2_dlc09_books_of_nagash_reward_3_army		Third Book of Nagash	force	1	books_of_nagash.png	false	false	true
wh2_dlc09_books_of_nagash_reward_3_region_occupy		Third Book of Nagash	region	1	books_of_nagash.png	false	false	true
wh2_dlc09_books_of_nagash_reward_3_region_sack		Third Book of Nagash	region	1	books_of_nagash.png	false	false	true
wh2_dlc09_books_of_nagash_reward_4		Fourth Book of Nagash	faction	1	books_of_nagash.png	false	false	true
wh2_dlc09_books_of_nagash_reward_5		Fifth Book of Nagash	faction	1	books_of_nagash.png	false	false	true
wh2_dlc09_books_of_nagash_reward_6		Sixth Book of Nagash	faction	1	books_of_nagash.png	false	false	true
wh2_dlc09_books_of_nagash_reward_7		Seventh Book of Nagash	faction	1	books_of_nagash.png	false	false	true
wh2_dlc09_books_of_nagash_reward_8		Eighth Book of Nagash	faction	1	books_of_nagash.png	false	false	true
wh2_dlc09_books_of_nagash_reward_9		Ninth Book of Nagash	faction	1	books_of_nagash.png	false	false	true
wh2_dlc09_bundle_anc_magic_standard_banner_of_the_hidden_dead		Banner of the Hidden Dead	character	1	public_order.png	true	false	true
wh2_dlc09_bundle_anc_magic_standard_standard_of_the_undying_legion		Standard of the Undying Legion	character	1	public_order.png	true	false	true
wh2_dlc09_bundle_book_rogue_army			force	0		true	false	true
wh2_dlc09_bundle_captives_enslave_tomb_kings	Binding the souls of its enemies has improved this army's replenishment.	Bind Souls	force	1	replenishment.png	true	false	true
wh2_dlc09_bundle_captives_release_tomb_kings	This army marches on.	Endless March	force	1	campaign_movement.png	true	false	true
wh2_dlc09_bundle_force_siege_equipment_tmb			force	0		true	false	true
wh2_dlc09_bundle_quest_battle_full_hide			force	0		true	false	true
wh2_dlc09_bundle_stance_army_ambush_settlement_tomb_kings	Buried among the desert sands, the Tomb Kings’ guardians lie in wait for their prey, whilst also replenishing their own numbers.	Stance: Entombed Beneath the Sands	force	1	icon_effects_fortify.png	true	false	true
wh2_dlc09_bundle_tmb_final_battle_army_abilities_arkhan			force	0		true	false	true
wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage			force	0		true	false	true
wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm			force	0		true	false	true
wh2_dlc09_bundle_tretch_retreat	Tretch has scurried away, ready for a counterattack on his own terms!	Fighting On His Own Terms	force	1	melee.png	true	false	true
wh2_dlc09_bundle_tretch_treaty_broken	Tretch has launched a surprise attack - back-stabbing is an art form!	Surprise Attack	faction	1	subterfuge.png	true	false	true
wh2_dlc09_decrease_army_cap_1			faction	0		true	false	true
wh2_dlc09_decrease_army_cap_2			faction	0		true	false	true
wh2_dlc09_decrease_army_cap_3			faction	0		true	false	true
wh2_dlc09_decrease_army_cap_4			faction	0		true	false	true
wh2_dlc09_decrease_army_cap_5			faction	0		true	false	true
wh2_dlc09_decrease_army_cap_6			faction	0		true	false	true
wh2_dlc09_decrease_army_cap_7			faction	0		true	false	true
wh2_dlc09_decrease_army_cap_8			faction	0		true	false	true
wh2_dlc09_dilemma_increase_cap_liche_priest_hero		Hero Capacity Increase	faction	1	wizard.png	true	false	true
wh2_dlc09_dilemma_increase_cap_necrotect_hero		Hero Capacity Increase	faction	1	necrotect.png	true	false	true
wh2_dlc09_dilemma_increase_cap_tomb_prince_hero		Hero Capacity Increase	faction	1	tomb_prince.png	true	false	true
wh2_dlc09_disable_crafting			faction	0		true	false	true
wh2_dlc09_edict_tmb_worship_of_asaph		Worship of Asaph	province	1	edict_tmb_worship_of_asaph.png	true	false	true
wh2_dlc09_edict_tmb_worship_of_djaf		Worship of Djaf	province	1	edict_tmb_worship_of_djaf.png	true	false	true
wh2_dlc09_edict_tmb_worship_of_khsar		Worship of Khsar	province	1	edict_tmb_worship_of_khsar.png	true	false	true
wh2_dlc09_edict_tmb_worship_of_phakth		Worship of Phakth	province	1	edict_tmb_worship_of_phakth.png	true	false	true
wh2_dlc09_edict_tmb_worship_of_ptra		Worship of Ptra	province	1	edict_tmb_worship_of_ptra.png	true	false	true
wh2_dlc09_effect_black_pyramid	The power of Nagash, emanating from his Black Pyramid, imbues your legion with endless energy and endurance.	Restless Legion	faction	1	books_of_nagash.png	true	false	true
wh2_dlc09_faction_trait_tomb_kings			faction	1	food.png	false	false	true
wh2_dlc09_great_vortex_tmb_arkhan_tomb_blade_of_arkhan_stage_3a		Ancient Artifacts	faction	1	technology.png	true	false	true
wh2_dlc09_great_vortex_tmb_arkhan_tomb_blade_of_arkhan_stage_3b		Mark of the Necromancer	faction	1	diplomacy.png	true	false	true
wh2_dlc09_lord_trait_tmb_arkhan	Arkhan the Black is the first and most loyal of the evil Nagash's followers. Arkhan helped lead the coup which brought the arch-necromancer to power, and he was the first, after his lord, to imbibe the Elixir of Life.	Mortarch	faction	1	character.png	false	false	true
wh2_dlc09_lord_trait_tmb_khalida	Khalida Neferher, the Warrior-Queen of Lybaras, is highly respected across all the lands of Nehekhara. Her intelligence and bravery are as legendary as her intense sense of honour and justice.	Warrior-Queen of Lybaras	faction	1	character.png	false	false	true
wh2_dlc09_lord_trait_tmb_khatep	Khatep is the Grand Hierophant of Khemri, the head of the Mortuary Cult's hieratic council, and he alone knows all its secrets and unwritten lore. Khatep is the oldest and wisest of all the Liche Priests and the first member of their order to truly deny death's embrace, if not the ravages of time.	Liche Lord of Khemri	faction	1	character.png	false	false	true
