key	owner_bundle	faction_swapping_id	hidden_settlement_override	terrain_patch_area	unnamed colour group_1
#regions_tables;0;db/regions_tables/data__					
wh3_dlc20_chaos_region_black_pit		emp	false		896406
wh3_dlc20_chaos_region_chantillon		emp	false		8C2670
wh3_dlc20_chaos_region_citadel_of_lead		emp	false		2F1138
wh3_dlc20_chaos_region_fort_sollace		emp	false		66F670
wh3_dlc20_chaos_region_grung_zint		emp	false		268CC1
wh3_dlc20_chaos_region_losteriksons_landing		emp	false		11382F
wh3_dlc20_chaos_region_neuland		emp	false		382F11
wh3_dlc20_chaos_region_river_reik		emp	false		000000
wh3_dlc20_chaos_region_tancred_castle		emp	false		706670
wh3_dlc20_chaos_region_wreckers_point		emp	false		F67066
wh3_dlc20_chaos_region_zanbaijin		emp	false		B9C324
wh3_dlc20_combi_region_dragons_death		emp	false		DE2A34
wh3_dlc20_combi_region_glacial_gardens		emp	false		BD0EC8
wh3_dlc20_combi_region_glacier_encampment		emp	false		4B7817
wh3_dlc20_combi_region_krudenwald		emp	false		CF7259
wh3_dlc23_chaos_region_anurells_tomb		emp	false		165798
wh3_dlc23_chaos_region_deadrock_gap		emp	false		174EA3
wh3_dlc23_chaos_region_desolation_of_drakenmoor		emp	false		925C39
wh3_dlc23_chaos_region_flayed_rock		emp	false		194023
wh3_dlc23_chaos_region_gash_kadrak		emp	false		0B6238
wh3_dlc23_chaos_region_pillars_of_grungni		emp	false		1836E0
wh3_dlc23_chaos_region_the_haunted_forest		emp	false		163DCC
wh3_dlc23_combi_region_blasted_expanse		emp	false		391464
wh3_dlc23_combi_region_fort_dorznye_vort		emp	false		394501
wh3_dlc23_combi_region_gash_kadrak		emp	false		454545
wh3_dlc23_combi_region_river_ruin		emp	false		000000
wh3_dlc23_combi_region_uzkulak_port		emp	false		23437B
wh3_main_chaos_region_altar_of_spawns		emp	false		3FB61E
wh3_main_chaos_region_altar_of_the_crimson_harvest		emp	false		A0547F
wh3_main_chaos_region_altdorf		emp	false		FB04FA
wh3_main_chaos_region_amblepeak		emp	false		8A7EAA
wh3_main_chaos_region_bay_of_blades		emp	false		F70EF8
wh3_main_chaos_region_bechafen		emp	false		304454
wh3_main_chaos_region_black_fang		emp	false		8FCCC9
wh3_main_chaos_region_black_fortress		emp	false		36B790
wh3_main_chaos_region_black_gulch		emp	true		804102
wh3_main_chaos_region_black_rock		emp	false		F3AD26
wh3_main_chaos_region_blackstone_tower		emp	false		C2FCF6
wh3_main_chaos_region_blizzardpeak		emp	false		69F26D
wh3_main_chaos_region_blood_haven		emp	false		1EC07C
wh3_main_chaos_region_blood_mountain		emp	false		E5EC61
wh3_main_chaos_region_bloodpeak		emp	false		0F7398
