key	auto_target	camera_offset_x	camera_offset_y	camera_offset_z	half_accuracy_arc	half_horizontal_fire_arc	half_vertical_fire_arc_elevation	near_clipping_plane	reload_time	track_projectile_distance	turn_delay	half_vertical_fire_arc_declination	allow_direct_control	show_trajectory
#first_person_engines_tables;3;db/first_person_engines_tables/data__														
Generic_2_Crew_Rotate	false	0.0000	8.0000	-12.0000	1.0000	10.0000	1.0000	-1.0000	10.0000	7.0000	0.5000	-1.0000	false	true
Generic_3_Crew	false	0.0000	8.0000	-12.0000	1.0000	10.0000	1.0000	-1.0000	10.0000	7.0000	0.5000	-1.0000	false	true
Generic_3_Crew_Rotate	false	0.0000	8.0000	-12.0000	1.0000	10.0000	1.0000	-1.0000	10.0000	7.0000	0.5000	-1.0000	false	true
brt_field_trebuchet	false	0.0000	10.0000	-11.0000	1.0000	10.0000	25.0000	-1.0000	20.0000	8.0000	0.5000	-15.0000	true	false
chd_war_machines	false	0.0000	5.0000	-10.0000	1.0000	10.0000	1.0000	-1.0000	12.0000	6.0000	0.5000	-1.0000	false	false
chs_hellcannon	false	0.0000	5.0000	-10.0000	1.0000	10.0000	1.0000	-1.0000	12.0000	6.0000	0.5000	-1.0000	true	false
cst_queen_bess	false	0.0000	15.0000	-17.0000	1.0000	10.0000	60.0000	-1.0000	18.0000	7.0000	0.5000	-6.0000	true	false
dwf_cannon	false	0.0000	2.2000	-5.0000	1.0000	10.0000	15.0000	-1.0000	22.0000	6.0000	0.5000	-6.0000	true	false
dwf_flame_cannon	false	0.0000	2.2000	-5.0000	1.0000	10.0000	17.0000	-1.0000	10.0000	9.0000	0.5000	-5.0000	true	false
dwf_goblin_hewer	false	0.0000	2.2000	-5.0000	1.0000	10.0000	17.0000	-1.0000	10.0000	9.0000	0.5000	-5.0000	true	false
dwf_grudge_thrower	false	0.0000	2.2000	-5.0000	1.0000	10.0000	40.0000	-1.0000	20.0000	8.0000	0.5000	-5.0000	true	false
dwf_organ_gun	false	0.0000	2.2000	-5.0000	1.0000	10.0000	15.0000	-1.0000	12.0000	4.0000	0.5000	-5.0000	true	false
emp_great_cannon	false	0.0000	2.2000	-5.0000	1.0000	10.0000	14.0000	-1.0000	22.0000	6.0000	0.5000	-6.0000	true	false
emp_helblaster_volley_gun	false	0.0000	2.3000	-5.0000	1.0000	10.0000	15.0000	-1.0000	10.0000	4.0000	0.5000	-6.0000	true	false
emp_helstorm_rocket_battery	false	0.0000	2.2000	-5.0000	1.0000	10.0000	40.0000	-1.0000	17.0000	8.0000	0.5000	-5.0000	true	false
emp_mortar	false	0.0000	2.2000	-5.0000	1.0000	10.0000	46.0000	-1.0000	20.0000	8.0000	0.5000	3.0000	true	false
emp_steamtank	false	1.9000	4.7000	-9.0000	1.0000	10.0000	14.0000	-1.0000	11.0000	8.0000	0.5000	-6.0000	true	false
grn_doom_diver	false	0.0000	4.0000	-7.0000	1.0000	10.0000	1.0000	-1.0000	18.0000	7.0000	0.5000	-1.0000	true	false
grn_goblin_rock_lobber	false	0.0000	5.5000	-11.0000	1.0000	10.0000	30.0000	-1.0000	18.0000	8.0000	0.5000	-15.0000	true	false
wh2_main_skv_art_plagueclaw_catapult	false	0.0000	11.0000	-6.0000	1.0000	10.0000	30.0000	-1.0000	18.0000	14.0000	0.5000	-30.0000	true	false
wh2_main_skv_art_warp_lightning_cannon	false	0.0000	6.0000	-6.0000	1.0000	10.0000	15.0000	-1.0000	21.0000	2.0000	0.5000	-20.0000	true	false
wh3_main_cth_art_fire_rain_rocket_battery	false	0.0000	3.2000	-4.0000	1.0000	15.0000	40.0000	-1.0000	20.0000	8.0000	0.5000	-5.0000	true	false
wh3_main_cth_art_grand_cannon	false	0.0000	3.2000	-4.0000	1.0000	15.0000	15.0000	-1.0000	22.0000	6.0000	0.5000	-5.0000	true	false
wh3_main_cth_veh_sky_junk	false	0.5000	3.0000	1.7000	1.0000	15.0000	40.0000	-1.0000	20.0000	8.0000	0.5000	-40.0000	true	false
wh3_main_kho_veh_skullcannon	false	0.5000	5.0000	-9.0000	1.0000	15.0000	15.0000	-1.0000	11.0000	8.0000	0.5000	-5.0000	true	false
wh3_main_ksl_art_little_grom	false	0.0000	6.2000	-10.0000	1.0000	15.0000	40.0000	-1.0000	16.0000	8.0000	0.5000	-2.0000	true	false
wh3_main_ogr_veh_gnoblar_scraplauncher	false	0.5000	10.0000	-8.0000	1.0000	15.0000	40.0000	-1.0000	17.0000	8.0000	0.5000	-3.0000	true	false
wh3_main_ogr_veh_ironblaster	false	0.5000	8.0000	-5.0000	1.0000	15.0000	15.0000	-1.0000	16.0000	8.0000	0.5000	-5.0000	true	false
wh_dlc06_dwf_art_bolt_thrower	false	0.0000	1.8000	-2.3000	1.0000	10.0000	22.0000	-1.0000	12.0000	4.0000	0.5000	-7.0000	true	false
