key	is_gds_driven
#cai_task_management_system_task_generators_tables;0;db/cai_task_management_system_task_generators_tables/data__	
CAI_GDS_TMS_TASK_GENERATOR_DEFEND_ALL_SETTLEMENTS_WHEN_ENEMY_FORCES_IN_OUR_TERRTORY	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_ATTACK_ALL_ENEMY_AGENTS	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_ATTACK_ALL_ENEMY_FORCES	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_ATTACK_ALL_ENEMY_SETTLEMENTS	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_ATTACK_ALL_NEARBY_ENEMY_AGENTS	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_ATTACK_ALL_NEARBY_ENEMY_FORCES	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_ATTACK_ALL_NEARBY_ENEMY_SETTLEMENTS	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_ATTACK_NEARBY_SETTLEMENT_IF_FRIENDLY_ARMY_PRESENT	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_ATTACK_SETTLEMENTS_NEAR_FLAGGED_REGIONS_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_DEPLOY_IN_ALL_FLAGGED_REGIONS_OWNED_BY_ANOTHER_SUBCULTURED_FACTION	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_DEPLOY_IN_NEARBY_ENEMY_REGION_LOW_ON_CORRUPTION_ANY	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_DEPLOY_IN_NEARBY_ENEMY_REGION_LOW_ON_CORRUPTION_KHORNE	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_DEPLOY_IN_NEARBY_ENEMY_REGION_LOW_ON_CORRUPTION_NURGLE	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_DEPLOY_IN_NEARBY_ENEMY_REGION_LOW_ON_CORRUPTION_SLAANESH	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_DEPLOY_IN_NEARBY_ENEMY_REGION_LOW_ON_CORRUPTION_TZEENTCH	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_DEPLOY_IN_NEARBY_REGION	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_DEPLOY_IN_UNDISCOVERED_FACTIONS_REGIONS_AFTER_TURN_50_AND_STRONG	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_DEPLOY_IN_UNDISCOVERED_FACTIONS_REGIONS_WHEN_HAVE_NO_PORTS	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_EMBED_IN_NEARBY_ARMY	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_TARGET_ARMY_SPREAD_PLAGUE_BUBOES	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_TARGET_ARMY_SPREAD_PLAGUE_ROT	true
CAI_TMS_GDS_TASK_GENERATOR_AGENT_TARGET_SETTLEMENT_SPREAD_PLAGUE_ROT	true
CAI_TMS_GDS_TASK_GENERATOR_ASSIST_FORCE	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES_ON_EASY	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES_ON_HARD	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES_ON_LEGENDARY	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES_ON_NORMAL	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_FORCES_ON_VERYHARD	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS_ON_EASY	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS_ON_HARD	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS_ON_LEGENDARY	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS_ON_NORMAL	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ALL_ENEMY_HUMAN_SETTLEMENTS_ON_VERYHARD	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_CHAOS_CORRUPTED_REGIONS_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_DARK_FORTRESS	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ENEMY_ARMIES_IN_PERSONALITY_REGION_GROUP_1_EARLY	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ENEMY_ARMIES_IN_PERSONALITY_REGION_GROUP_2_MID	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ENEMY_ARMIES_IN_PERSONALITY_REGION_GROUP_3_LATE	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ENEMY_HUMAN_FORCES_IF_HUMAN_IN_REALM	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ENEMY_HUMAN_SETTLEMENTS_IF_HUMAN_IN_REALM	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ENEMY_LAST_SETTLEMENT	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ENEMY_SETTLEMENTS_IN_PERSONALITY_REGION_GROUP_1_EARLY	true
CAI_TMS_GDS_TASK_GENERATOR_ATTACK_ENEMY_SETTLEMENTS_IN_PERSONALITY_REGION_GROUP_2_MID	true
