key	icon	order	mp_cap
#ui_unit_group_parents_tables;1;db/ui_unit_group_parents_tables/data__			
artillery_war_machines	artillery_field_gun	10	0
campaign_exclusives	campaign_exclusive	99	0
cavalry_chariots	cavalry	5	0
commander	commander	1	0
constructs	wh2_dlc09_tmb_constructs	8	0
flying_war_machine	dwf_gyrocopter	8	0
heroes_agents	hero	2	0
infantry	infantry_sword	3	0
missile_cavalry_chariots	missile_cavalry_bow	6	0
missile_infantry	missile_infantry_bow	4	0
missile_monster_beasts	wh2_main_lzd_dinosaur_missile	9	0
monster_beasts	monstrous_infantry	7	0
