armory_item	effect	effect_scope	value
#armory_items_to_effects_tables;0;db/armory_items_to_effects_tables/data__			
wh3_main_dae_cha_daemon_prince_arm_l_armoured_1	wh_main_effect_character_stat_melee_attack	character_to_character_own	18.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_1	wh_main_effect_character_stat_melee_defence	character_to_character_own	18.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_1	wh_main_effect_character_stat_physical_resistance	character_to_character_own	5.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_2	wh_main_effect_character_stat_armour	character_to_character_own	10.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_2	wh_main_effect_character_stat_melee_attack	character_to_character_own	10.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_2	wh_main_effect_character_stat_melee_defence	character_to_character_own	10.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_3	wh_main_effect_character_stat_armour	character_to_character_own	15.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_3	wh_main_effect_character_stat_melee_defence	character_to_character_own	7.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_3	wh_main_effect_character_stat_physical_resistance	character_to_character_own	5.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_4	wh_main_effect_character_stat_armour	character_to_character_own	20.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_4	wh_main_effect_character_stat_melee_defence	character_to_character_own	7.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_4	wh_main_effect_character_stat_weapon_strength_base_mult	character_to_character_own	10.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_5	wh_main_effect_character_stat_armour	character_to_character_own	20.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_5	wh_main_effect_character_stat_melee_defence	character_to_character_own	7.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_5	wh_main_effect_character_stat_weapon_strength_ap_damage_mult	character_to_character_own	10.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_6	wh_main_effect_character_stat_armour	character_to_character_own	20.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_6	wh_main_effect_character_stat_fire_resistance	character_to_character_own	5.0000
wh3_main_dae_cha_daemon_prince_arm_l_armoured_6	wh_main_effect_character_stat_melee_defence	character_to_character_own	10.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_1	wh_main_effect_character_stat_melee_defence	character_to_character_own	5.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_2	wh_main_effect_character_stat_fire_resistance	character_to_character_own	5.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_2	wh_main_effect_character_stat_melee_defence	character_to_character_own	8.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_2	wh_main_effect_character_stat_weapon_strength_base_mult	character_to_character_own	8.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_3	wh_main_effect_character_stat_magic_resistance	character_to_character_own	5.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_3	wh_main_effect_character_stat_melee_attack	character_to_character_own	8.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_3	wh_main_effect_character_stat_melee_defence	character_to_character_own	8.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_4	wh_main_effect_character_stat_armour	character_to_character_own	20.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_4	wh_main_effect_character_stat_melee_defence	character_to_character_own	8.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_4	wh_main_effect_character_stat_physical_resistance	character_to_character_own	5.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_5	wh_main_effect_character_stat_armour	character_to_character_own	10.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_5	wh_main_effect_character_stat_melee_attack	character_to_character_own	3.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_5	wh_main_effect_character_stat_melee_defence	character_to_character_own	10.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_6	wh_main_effect_character_stat_melee_attack	character_to_character_own	3.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_6	wh_main_effect_character_stat_melee_defence	character_to_character_own	5.0000
wh3_main_dae_cha_daemon_prince_arm_l_base_6	wh_main_effect_character_stat_weapon_strength_ap_damage_mult	character_to_character_own	5.0000
wh3_main_dae_cha_daemon_prince_arm_l_bird_1	wh3_main_effect_ability_enable_infernal_gateway	character_to_character_own	1.0000
