crafting_recipe	allied_effect_list	enemy_effect_list
#crafting_recipe_unit_effects_tables;0;db/crafting_recipe_unit_effects_tables/data__		
wh3_dlc24_recipe_agonys_succession	empty	wh3_dlc24_recipe_agonys_succession
wh3_dlc24_recipe_bears_bulwark	wh3_dlc24_recipe_bears_bulwark	empty
wh3_dlc24_recipe_craven_scent	empty	wh3_dlc24_recipe_craven_scent
wh3_dlc24_recipe_deadeyes_sting	wh3_dlc24_recipe_deadeyes_sting	empty
wh3_dlc24_recipe_ember_dread	wh3_dlc24_recipe_ember_dread	empty
wh3_dlc24_recipe_entropous	empty	wh3_dlc24_recipe_entropous
wh3_dlc24_recipe_fragmentii	empty	wh3_dlc24_recipe_fragmentii
wh3_dlc24_recipe_frostwyverns_toil	wh3_dlc24_recipe_frostwyverns_toil	empty
wh3_dlc24_recipe_gait_of_thorns	empty	wh3_dlc24_recipe_gait_of_thorns
wh3_dlc24_recipe_hags_denial	wh3_dlc24_recipe_hags_denial	empty
wh3_dlc24_recipe_harrowing_coil	empty	wh3_dlc24_recipe_harrowing_coil
wh3_dlc24_recipe_hushed_cast	empty	wh3_dlc24_recipe_hushed_cast
wh3_dlc24_recipe_incarnates_wrath	wh3_dlc24_recipe_incarnates_wrath	empty
wh3_dlc24_recipe_inversus	empty	wh3_dlc24_recipe_inversus
wh3_dlc24_recipe_leshys_embrace	wh3_dlc24_recipe_leshys_embrace	empty
wh3_dlc24_recipe_rats_grit	wh3_dlc24_recipe_rats_grit	empty
wh3_dlc24_recipe_spectres_miasma	wh3_dlc24_recipe_spectres_miasma	empty
wh3_dlc24_recipe_spirited_away	wh3_dlc24_recipe_spirited_away	empty
wh3_dlc24_recipe_typhlosis	empty	wh3_dlc24_recipe_typhlosis
wh3_dlc24_recipe_unburdened_step	wh3_dlc24_recipe_unburdened_step	empty
wh3_dlc24_recipe_whiff_of_madness	empty	wh3_dlc24_recipe_whiff_of_madness
wh3_dlc24_recipe_wraith_sight	wh3_dlc24_recipe_wraith_sight	empty
